1903,6868
1904,6808
1905,6825
1906,6837
1907,6825
1908,6837
1909,6844
1910,6865
1911,6850
1912,6820
1913,6828
1914,6839
1915,6870
1916,6858
1917,6854
1918,6883
1919,6913
1920,6872
1921,6896
1922,6865
1923,6872
1924,6884
1925,6844
1926,6849
1927,6882
1928,6849
1929,6857
1930,6845
1931,6873
1932,6884
1933,6923
1934,6884
1935,6902
1936,6916
1937,6948
1938,6941
1939,6948
1940,6942
1941,6907
1942,6962
1943,6927
1944,6932
1945,6995
1946,7001
1947,6979
1948,7001
1949,6979
1950,6957
1951,7005
1952,6998
1953,7013
1954,6974
1955,7006
1956,7026
1957,6997
1958,7017
1959,6995
1960,7033
1961,7023
1962,7032
1963,6963
1964,6986
1965,7003
1966,6995
1967,7022
1968,7003
1969,7024
1970,7055
1971,7051
1972,7084
1973,7086
1974,7043
1975,7060
1976,7015
1977,6995
1978,7072
1979,7048
1980,7000
1981,7003
1982,7053
1983,7112
1984,7094
1985,7064
1986,7059
1987,7081
1988,7043
1989,7036
1990,NA
1991,7089
1992,7100
1993,7124
1994,7078
1995,7087
1996,7159
1997,7136
1998,7177
1999,7112
2000,7077
2001,7100
2002,7084
2003,7125
2004,7125
2005,7173
2006,7146
2007,7106
2008,7139
2009,7176
2010,7183
2011,7223
2012,7197
2013,7168
2014,7179
2015,7157
2016,7183
2017,7204
2018,7221
