data	j 785	y54j 68y4j6	5-6 4	hrh	5h -	3	t564	t54 66	y6y	t6 5h	(5y	g51	(	6	98 j7-0	06654h	60
5d_-kkcùf	0.356426723610756	0.380152310071702	0.0306944207412024	0.334137638848017	0.298147485608469	0.975073793297568	0.129099504745855	0.973451663994064	0.334792719284834	0.0751565260418877	0.322897933010729	0.129033714279026	0.722966330196726	0.580654367692078	0.644502528016206	0.352827235332827	0.511778286438001
npèt	0.801750949101246	0.535593104115636	0.258351312473067	0.599475573145688	0.0763319665667417	0.504558103160623	0.367963830290116	0.440540211857668	0.158066366765388	0.609574253877002	0.550590276177951	0.232864384033621	0.637065775537391	0.424098276140436	0.662053737304139	0.0217541227637467	0.299053946391647
5PY4(*3	0.875199970420953	0.0825428101366147	0.253659010703906	0.507762246807195	0.856444177031262	0.291594962324086	0.616538655402613	0.388475672176377	0.914254939740854	0.449607330807756	0.628469388494906	0.436558212905713	0.951198610265672	0.956459387015831	0.0113483457928278	0.611559621193868	0.127393349941781
k	0.235214515530521	0.50917637648828	0.0303152651414629	0.305595242012361	0.470145996588881	0.356776179776951	0.569840649303474	0.720070419680388	0.875026990189028	0.97246313990283	0.936423978578332	0.810603455355391	0.903046784946495	0.667091730522105	0.0282601148338295	0.276666638740528	0.747503427028951
t v^ptok!R/; 	0.251801918471682	0.871383805557867	0.285183681272061	0.552739436194454	0.863766301215097	0.182656918760194	0.977603710051043	0.204845724382198	0.751690583305025	0.751475804910098	0.938399878874186	0.218163132174348	0.523463794277572	0.987156468237196	0.630938391969655	0.495061607430081	0.815474132321848
ojt*	0.907412839750932	0.857498273276021	0.370137361785406	0.76678484779183	0.213299689296413	0.521214352529346	0.0851731095099456	0.868227767553325	0.0711706993343434	0.70186429888193	0.700568035764899	0.7467824290166	0.570332959002042	0.23270290523468	0.126423339798572	0.816262268500797	0.466363859676536
lmtki	0.344288940919619	0.308219131305663	0.218449898667526	0.700869668247368	0.932538878977527	0.396198994630489	0.710306820874376	0.124235068279782	0.56608643523601	0.887647287670482	0.0375011938139768	0.282378766400105	0.757492159558571	0.506567258021703	0.990910788272054	0.326205008250378	0.61003856679129
1h6-(587 t	0.308709890328272	0.717202505490233	0.777934118812417	0.604807545422864	0.588458968776734	0.940112596977594	0.788662314418432	0.133046934771924	0.891405172730758	0.915119678712577	0.401136527896346	0.996068607925829	0.049077648050296	0.157657286859101	0.598183619914656	0.439531332356748	0.11995300831499
r154 (54 86	0.0861033910635205	0.243889357950567	0.848801588667359	0.972183114768299	0.311829870889657	0.434854970574638	0.0240613698880671	0.273335646139236	0.902686361056168	0.73479376111027	0.232132726965829	0.471097756642369	0.511949019774828	0.934158039531663	0.60125450357768	0.972297241140637	0.63149263296722
(h4 	0.336373953934809	0.521412085356266	0.281632887739949	0.67004516763179	0.0199332367594847	0.867732114278491	0.973477443505332	0.883197938525362	0.334509105447652	0.793947578560618	0.465167375556954	0.508757674191867	0.983758014396725	0.100582744588671	0.501301982240787	0.789637338939369	0.967382850752139
2	0.65083934802851	0.915695024588	0.0376667088550816	0.514003854683931	0.274761574286474	0.652108809243866	0.689393057486628	0.262205073769319	0.871958663956254	0.709490850507154	0.854477673591409	0.672918329289054	0.141693817710263	0.00543057257281332	0.273084303937691	0.39570748778882	0.303196826092465
 m(yk	0.798331012769621	0.806128809071498	0.519974578571807	0.0237856823099186	0.396426673475168	0.75979784245693	0.0589336105092753	0.763144123705766	0.16086904822931	0.301000258395631	0.321186481311644	0.0091434029302796	0.0346149352313591	0.276366137673702	0.686099471259438	0.0548240244354505	0.909361338008149
 -546 -3 -3	0.981561422839383	0.755973696318293	0.328878596436459	0.233341270249666	0.14569201922932	0.458105216271765	0.191023237667199	0.775603857680909	0.146769440956804	0.86812372109824	0.601678275863019	0.782019307745586	0.955614654474782	0.836058192741214	0.454550085076576	0.181788519803465	0.325277631599655
nz^à  t 	0.920089977342539	0.249031996586174	0.105577675363886	0.805216649434891	0.505774902707566	0.619612431793644	0.337662179244335	0.672829320507873	0.387228581340173	0.209795853201976	0.0403285073621635	0.540614252108851	0.43362855410287	0.160204078494507	0.924783730297701	0.116837628312753	0.58763473928668
kzjù	0.418651623550921	0.668434005412235	0.845525871017258	0.567468950919516	0.111441846749533	0.411424602517146	0.0743349602270699	0.583730221710347	0.0105008018078939	0.918789674284249	0.808643595994088	0.33578972219198	0.536848200622412	0.898842910125025	0.333954421105444	0.0390509357521919	0.159857705429294
. Glk(ôepjg$	0.3266193089274	0.806668730531573	0.87265879590923	0.934940869880726	0.548967615908753	0.250539517744596	0.75436043048449	0.597444122305604	0.343955002787363	0.560987092777944	0.134929631392942	0.958047956861493	0.870429681664852	0.66286672214456	0.441523248613101	0.437073092741238	0.265031623006715
rmlgj*lr ,	0.462672931523031	0.74679446664976	0.151929368261195	0.165870989887449	0.90931621240424	0.423706631494886	0.337742032589001	0.184993498717115	0.0792523932129463	0.071353352835237	0.525247607449536	0.647744088759121	0.158725526449032	0.203927461340644	0.20055683200405	0.897053444943847	0.506954538974894
