------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.2 date format M/d/yyyy Filter LowFrequencyExtension -----------
Serial Number: TAS1D47140221
Start Time 14:15:00
Start Date 1/30/2019
Epoch Period (hh:mm:ss) 00:01:00
Download Time 23:43:27
Download Date 2/18/2007
Current Memory Address: 0
Current Battery Voltage: 4.08     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3,vectormagnitude,timestamp
39,27,6,48,2019-01-30 14:15:00
1,1,0,1,2019-01-30 14:16:00
0,0,0,0,2019-01-30 14:17:00
2527,1428,4187,5095,2019-01-30 14:18:00
3205,1526,3974,5329,2019-01-30 14:19:00
2186,1578,5075,5747,2019-01-30 14:20:00
2614,1887,5387,6278,2019-01-30 14:21:00
3784,3033,3608,6044,2019-01-30 14:22:00
2317,2316,4275,5386,2019-01-30 14:23:00
1496,1715,2210,3172,2019-01-30 14:24:00
695,310,2251,2376,2019-01-30 14:25:00
3694,3957,4999,7368,2019-01-30 14:26:00
2235,3130,3697,5335,2019-01-30 14:27:00
2668,2670,4045,5533,2019-01-30 14:28:00
2217,3068,4572,5936,2019-01-30 14:29:00
3355,3208,3330,5713,2019-01-30 14:30:00
2506,3040,3553,5305,2019-01-30 14:31:00
1688,1965,3486,4343,2019-01-30 14:32:00
2259,1909,2364,3786,2019-01-30 14:33:00
750,1117,1132,1758,2019-01-30 14:34:00
2396,1877,2138,3720,2019-01-30 14:35:00
2890,2562,3748,5382,2019-01-30 14:36:00
3476,4602,5011,7640,2019-01-30 14:37:00
3592,2559,3626,5710,2019-01-30 14:38:00
4134,1347,2194,4870,2019-01-30 14:39:00
3798,1646,2112,4647,2019-01-30 14:40:00
3602,2120,2536,4889,2019-01-30 14:41:00
2785,1708,2559,4150,2019-01-30 14:42:00
3472,1987,2343,4636,2019-01-30 14:43:00
3676,3972,4592,7098,2019-01-30 14:44:00
2953,2977,4983,6513,2019-01-30 14:45:00
3882,4797,5607,8338,2019-01-30 14:46:00
3875,6019,5624,9103,2019-01-30 14:47:00
1994,2393,3458,4654,2019-01-30 14:48:00
3028,2068,6711,7647,2019-01-30 14:49:00
1801,1456,4655,5199,2019-01-30 14:50:00
1915,2054,4907,5654,2019-01-30 14:51:00
2026,2951,3537,5032,2019-01-30 14:52:00
1724,2302,2469,3790,2019-01-30 14:53:00
2197,2956,3410,5019,2019-01-30 14:54:00
762,783,1116,1562,2019-01-30 14:55:00
1963,1781,2568,3691,2019-01-30 14:56:00
1757,2733,2212,3931,2019-01-30 14:57:00
3127,3466,4015,6157,2019-01-30 14:58:00
2923,3801,4550,6610,2019-01-30 14:59:00
791,745,1625,1955,2019-01-30 15:00:00
789,603,1366,1689,2019-01-30 15:01:00
846,1598,2177,2830,2019-01-30 15:02:00
1094,1367,3344,3775,2019-01-30 15:03:00
1421,1970,3995,4675,2019-01-30 15:04:00
606,808,2012,2251,2019-01-30 15:05:00
1171,1837,3239,3903,2019-01-30 15:06:00
1324,1142,3034,3502,2019-01-30 15:07:00
390,646,789,1092,2019-01-30 15:08:00
2657,4202,4945,7012,2019-01-30 15:09:00
1761,1480,4052,4659,2019-01-30 15:10:00
3144,3847,5448,7373,2019-01-30 15:11:00
1557,1429,1412,2542,2019-01-30 15:12:00
259,19,15,260,2019-01-30 15:13:00
234,141,50,278,2019-01-30 15:14:00
313,174,51,362,2019-01-30 15:15:00
214,26,20,216,2019-01-30 15:16:00
427,123,41,446,2019-01-30 15:17:00
152,41,17,158,2019-01-30 15:18:00
466,81,25,474,2019-01-30 15:19:00
170,4,22,171,2019-01-30 15:20:00
177,16,14,178,2019-01-30 15:21:00
287,185,185,388,2019-01-30 15:22:00
307,207,241,442,2019-01-30 15:23:00
9,53,0,54,2019-01-30 15:24:00
700,404,820,1151,2019-01-30 15:25:00
379,320,364,615,2019-01-30 15:26:00
2025,1271,3067,3889,2019-01-30 15:27:00
760,784,574,1234,2019-01-30 15:28:00
911,477,1498,1817,2019-01-30 15:29:00
1757,879,1029,2218,2019-01-30 15:30:00
298,338,198,492,2019-01-30 15:31:00
900,473,1290,1643,2019-01-30 15:32:00
399,221,334,565,2019-01-30 15:33:00
605,793,877,1328,2019-01-30 15:34:00
1134,1027,1696,2284,2019-01-30 15:35:00
424,557,495,857,2019-01-30 15:36:00
234,262,461,580,2019-01-30 15:37:00
135,166,63,223,2019-01-30 15:38:00
531,388,335,738,2019-01-30 15:39:00
939,1271,2060,2596,2019-01-30 15:40:00
621,974,1243,1697,2019-01-30 15:41:00
299,369,735,875,2019-01-30 15:42:00
1127,1117,2875,3284,2019-01-30 15:43:00
2286,926,4847,5438,2019-01-30 15:44:00
846,931,1525,1977,2019-01-30 15:45:00
847,462,376,1035,2019-01-30 15:46:00
158,93,215,283,2019-01-30 15:47:00
1,1,4,4,2019-01-30 15:48:00
353,446,451,726,2019-01-30 15:49:00
1395,909,1717,2392,2019-01-30 15:50:00
246,147,504,580,2019-01-30 15:51:00
534,420,629,926,2019-01-30 15:52:00
492,401,288,697,2019-01-30 15:53:00
0,0,0,0,2019-01-30 15:54:00
35,222,179,287,2019-01-30 15:55:00
54,62,208,224,2019-01-30 15:56:00
71,40,171,189,2019-01-30 15:57:00
99,45,205,232,2019-01-30 15:58:00
188,92,361,417,2019-01-30 15:59:00
125,210,379,451,2019-01-30 16:00:00
60,46,156,173,2019-01-30 16:01:00
84,71,342,359,2019-01-30 16:02:00
157,350,486,619,2019-01-30 16:03:00
1301,1534,2800,3448,2019-01-30 16:04:00
147,57,294,334,2019-01-30 16:05:00
269,131,410,508,2019-01-30 16:06:00
718,454,653,1071,2019-01-30 16:07:00
1076,928,2443,2826,2019-01-30 16:08:00
1252,1159,2400,2945,2019-01-30 16:09:00
196,130,462,518,2019-01-30 16:10:00
1507,897,3530,3942,2019-01-30 16:11:00
6,3,7,10,2019-01-30 16:12:00
4360,1369,4342,6304,2019-01-30 16:13:00
70,0,257,266,2019-01-30 16:14:00
1721,1900,3005,3950,2019-01-30 16:15:00
1089,561,2820,3075,2019-01-30 16:16:00
1339,1245,3201,3686,2019-01-30 16:17:00
957,1324,2432,2930,2019-01-30 16:18:00
1124,551,3138,3378,2019-01-30 16:19:00
856,882,2497,2783,2019-01-30 16:20:00
480,942,1875,2153,2019-01-30 16:21:00
805,729,1431,1796,2019-01-30 16:22:00
1191,2727,3151,4334,2019-01-30 16:23:00
3154,4022,4541,6837,2019-01-30 16:24:00
2203,2476,3260,4649,2019-01-30 16:25:00
157,108,654,681,2019-01-30 16:26:00
395,319,666,837,2019-01-30 16:27:00
368,361,342,619,2019-01-30 16:28:00
0,0,1,1,2019-01-30 16:29:00
194,232,592,665,2019-01-30 16:30:00
20,283,295,409,2019-01-30 16:31:00
0,0,0,0,2019-01-30 16:32:00
1416,1144,2366,2985,2019-01-30 16:33:00
56,48,317,325,2019-01-30 16:34:00
1944,491,1105,2289,2019-01-30 16:35:00
444,705,841,1184,2019-01-30 16:36:00
43,164,331,372,2019-01-30 16:37:00
270,146,333,453,2019-01-30 16:38:00
0,2,2,3,2019-01-30 16:39:00
76,21,195,210,2019-01-30 16:40:00
747,872,715,1353,2019-01-30 16:41:00
3206,3807,4407,6648,2019-01-30 16:42:00
2236,2957,3226,4914,2019-01-30 16:43:00
304,313,644,778,2019-01-30 16:44:00
1335,1307,1451,2366,2019-01-30 16:45:00
326,294,90,448,2019-01-30 16:46:00
1671,1228,3375,3961,2019-01-30 16:47:00
2754,3498,3824,5869,2019-01-30 16:48:00
2721,3445,2812,5213,2019-01-30 16:49:00
2522,2937,3086,4951,2019-01-30 16:50:00
1113,1709,2341,3105,2019-01-30 16:51:00
2838,1784,1879,3843,2019-01-30 16:52:00
688,902,663,1314,2019-01-30 16:53:00
79,207,283,359,2019-01-30 16:54:00
1320,1173,1495,2314,2019-01-30 16:55:00
2323,3570,4949,6529,2019-01-30 16:56:00
2882,4401,3521,6330,2019-01-30 16:57:00
2128,5154,3466,6565,2019-01-30 16:58:00
3173,4700,5785,8101,2019-01-30 16:59:00
3788,5097,6246,8907,2019-01-30 17:00:00
