------------ Data File Created By ActiGraph GT3X+ ActiLife v6.13.3 Firmware v1.7.0 date format M/d/yyyy Filter LowFrequencyExtension -----------
Serial Number: TAS1E25150485
Start Time 17:00:00
Start Date 9/11/2017
Epoch Period (hh:mm:ss) 00:01:00
Download Time 00:10:49
Download Date 2/12/2007
Current Memory Address: 0
Current Battery Voltage: 4.14     Mode = 12
--------------------------------------------------
Axis1,Axis2,Axis3,vectormagnitude,timestamp
0,0,0,0,2017-09-11 17:00:00
0,0,0,0,2017-09-11 17:01:00
0,0,2,2,2017-09-11 17:02:00
0,0,0,0,2017-09-11 17:03:00
0,0,0,0,2017-09-11 17:04:00
0,0,0,0,2017-09-11 17:05:00
0,0,0,0,2017-09-11 17:06:00
0,0,0,0,2017-09-11 17:07:00
0,0,0,0,2017-09-11 17:08:00
0,0,0,0,2017-09-11 17:09:00
0,0,0,0,2017-09-11 17:10:00
0,0,0,0,2017-09-11 17:11:00
0,0,0,0,2017-09-11 17:12:00
0,0,0,0,2017-09-11 17:13:00
0,0,0,0,2017-09-11 17:14:00
0,0,0,0,2017-09-11 17:15:00
0,0,0,0,2017-09-11 17:16:00
0,0,0,0,2017-09-11 17:17:00
0,0,0,0,2017-09-11 17:18:00
0,0,0,0,2017-09-11 17:19:00
0,0,0,0,2017-09-11 17:20:00
0,0,0,0,2017-09-11 17:21:00
0,0,0,0,2017-09-11 17:22:00
0,0,0,0,2017-09-11 17:23:00
0,0,0,0,2017-09-11 17:24:00
0,0,0,0,2017-09-11 17:25:00
0,0,0,0,2017-09-11 17:26:00
0,0,0,0,2017-09-11 17:27:00
0,0,0,0,2017-09-11 17:28:00
0,0,0,0,2017-09-11 17:29:00
0,0,0,0,2017-09-11 17:30:00
0,0,0,0,2017-09-11 17:31:00
0,0,0,0,2017-09-11 17:32:00
0,0,0,0,2017-09-11 17:33:00
0,0,0,0,2017-09-11 17:34:00
0,0,0,0,2017-09-11 17:35:00
0,0,0,0,2017-09-11 17:36:00
0,1,3,3,2017-09-11 17:37:00
0,0,0,0,2017-09-11 17:38:00
0,0,0,0,2017-09-11 17:39:00
0,0,0,0,2017-09-11 17:40:00
0,0,0,0,2017-09-11 17:41:00
0,0,0,0,2017-09-11 17:42:00
0,0,0,0,2017-09-11 17:43:00
0,0,0,0,2017-09-11 17:44:00
0,0,0,0,2017-09-11 17:45:00
0,0,0,0,2017-09-11 17:46:00
0,0,0,0,2017-09-11 17:47:00
0,0,0,0,2017-09-11 17:48:00
