"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10","Rep 11","Rep 12","Rep 13","Rep 14","Rep 15","Rep 16","Rep 17","Rep 18","Rep 19","Rep 20","Rep 21","Rep 22","Rep 23","Rep 24","Rep 25","Rep 26","Rep 27","Rep 28","Rep 29","Rep 30"
"Entity 1.NumberIn","OUTPUT VALUE","Number In","Entity","Entity 1",227,238,236,239,253,262,227,194,259,269,233,237,257,236,253,249,256,253,235,229,260,223,232,201,256,199,244,245,236,223
"Entity 1.NumberOut","OUTPUT VALUE","Number Out","Entity","Entity 1",225,236,235,238,252,260,226,190,253,265,232,236,251,235,250,247,256,250,233,226,258,218,229,198,255,198,242,243,236,220
"Resource 1.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Resource 1",227,238,236,239,253,262,227,194,259,269,233,237,256,236,253,249,256,252,235,229,260,223,232,201,256,199,244,245,236,223
"Resource 1.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Resource 1",0.480280794320685,0.498387449280734,0.488068791363849,0.500641193245798,0.523404121028393,0.533319141109487,0.479273232483649,0.387711782966752,0.529986117685707,0.56870287940244,0.484012506607889,0.487101895845984,0.521971672388112,0.492261282345151,0.532273082958624,0.519030138382034,0.536784302704612,0.527353617111731,0.489753644218896,0.470175635370923,0.545125740055192,0.471675940081133,0.486709123044061,0.424420514827642,0.517693250043671,0.419056595146277,0.507829473489368,0.499931515093667,0.490866693615696,0.47073399352509
"Resource 2.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Resource 2",226,237,236,239,252,261,227,192,255,267,232,237,253,235,252,249,256,250,234,227,260,220,230,200,256,199,243,243,236,222
"Resource 2.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Resource 2",0.450081070050344,0.486559389263004,0.479961511866565,0.484611057173256,0.516181773082376,0.535070366296755,0.482950719967479,0.399452893612106,0.523244782020076,0.557907823180968,0.478244406247635,0.483493297344801,0.528613079876642,0.487244102670862,0.523187727634196,0.515973017364925,0.538379597669759,0.526068358449492,0.490021223635659,0.471380141313546,0.549254501202758,0.454126538958501,0.479683037318273,0.417571024266064,0.527692173194138,0.406769678891596,0.504384861142958,0.505888891674064,0.501897331823108,0.453503168503801
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",225,236,235,238,252,260,226,190,253,265,232,236,251,235,250,247,256,250,233,226,258,218,229,198,255,198,242,243,236,220
"Entity 1.NVATime","TALLY AVERAGE","NVA Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.OtherTime","TALLY AVERAGE","Other Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Entity 1.TotalTime","TALLY AVERAGE","Total Time","Entity","Entity 1",2.13423360921929,2.22215752819738,2.20175649356166,2.15819525075809,2.22604369409912,2.31380145918226,2.24980531166921,2.03936356439201,2.21678243325785,2.2960083821964,2.2312036803941,2.14309994403645,2.32999793943721,2.26767109872885,2.30387644914858,2.18389070545338,2.29776307768321,2.23337576458784,2.2714055955056,2.17879528759743,2.35683380817724,2.17762827074267,2.19439750355532,2.16981403179613,2.24986742423162,2.14682899746249,2.26521076372283,2.197408677571,2.28946798513737,2.22880809255643
