"STATION","STATION_NAME","STATE","LONGITUDE","LATITUDE","ELEVATION","YRS","maxobs","yr50","HUC","TD","FFP","MCMT","MWMT","PPTWT","RH","MAT"
"USC00480027","AFTON","WY",-110.933,42.733,1893,41,3.256,3.064,"17040105",25.3999996185303,70,-8.80000019073486,16.7000007629395,94,46,3.70000004768372
"USS0012M26S","AGUA CANYON","UT",-112.27,37.52,2713,23,5.793,5.41,"16030002",21.8999996185303,76,-5.69999980926514,16.2000007629395,186,51,4.30000019073486
"USC00420050","ALLEN S RANCH","UT",-109.143,40.892,1673,21,1.245,1.101,"14040106",27.7000007629395,130,-5.30000019073486,22.3999996185303,29,47,8.30000019073486
"USC00420061","ALPINE","UT",-111.777,40.451,1526,32,2.059,1.867,"16020201",26.6000003814697,163,-2.79999995231628,23.7000007629395,129,56,10
"USC00420072","ALTA","UT",-111.633,40.6,2661,40,18.577,19.391,"16020204",22.2999992370605,88,-7.5,14.8000001907349,413,65,2.29999995231628
"USC00420074","ALTAMONT","UT",-110.283,40.361,1943,43,2.011,2.442,"14060003",28.1000003814697,119,-7.80000019073486,20.2999992370605,49,49,6.40000009536743
"USC00050214","ALTENBERN","CO",-108.383,39.5,1731,48,2.969,2.729,"14010005",26.6000003814697,137,-5.09999990463257,21.5,79,52,8
"USC00420086","ALTON","UT",-112.482,37.44,2146,40,4.596,4.596,"15010003",22.1000003814697,101,-3.5,18.6000003814697,119,48,6.90000009536743
"USC00420168","ANGLE","UT",-111.961,38.249,1951,19,1.676,1.293,"16030002",23.7000007629395,91,-4.19999980926514,19.5,28,41,7.19999980926514
"USC00420336","ARCHES NATIONAL PARK HQS","UT",-109.619,38.617,1259,29,0.67,0.766,"14030005",29.2000007629395,175,-3.09999990463257,26.1000003814697,38,53,11.8000001907349
"USC00260438","ARTHUR 4 NW","NV",-115.184,40.782,1918,26,4.07,4.309,"16060007",23.7000007629395,112,-3.90000009536743,19.7999992370605,107,52,7.09999990463257
"USC00290692","AZTEC RUINS NATIONAL MONUMENT","NM",-108,36.834,1720,38,0.766,0.766,"14080104",25.8999996185303,148,-2.70000004768372,23.2000007629395,62,47,10.1999998092651
"USC00420449","BARTHOLOMEW POWERHOU","UT",-111.5,40.167,1567,20,3.16,3.543,"16020202",26.2999992370605,142,-4.5,21.7000007629395,204,56,8.19999980926514
"USC00420487","BEAR LAKE STATE PARK","UT",-111.4,41.966,1829,24,2.681,4.022,"16010201",26.5,79,-8,18.5,84,46,4.80000019073486
"USC00420506","BEAR RIVER REFUGE","UT",-112.267,41.467,1284,12,1.628,1.58,"16010204",28.5,163,-4.19999980926514,24.2000007629395,85,56,9.80000019073486
"USC00420527","BEAVER CANYON PH","UT",-112.482,38.267,2217,38,5.841,5.458,"16030007",22.3999996185303,101,-3.90000009536743,18.5,114,48,6.5
"USS0011K13S","BEAVER DAMS","UT",-111.56,39.14,2435,37,6.272,4.884,"16030004",22.6000003814697,94,-5.5,17.2000007629395,188,52,5.09999990463257
"USS0011J46S","BEAVER DIVIDE","UT",-111.1,40.61,2524,39,5.315,5.506,"16020203",23.3999996185303,62,-7.40000009536743,16,233,48,3.40000009536743
"USC00420519","BEAVER","UT",-112.633,38.283,1808,12,1.197,1.341,"16030007",24.2000007629395,120,-2.79999995231628,21.3999996185303,63,45,8.69999980926514
"USC00480603","BEDFORD 3 SE","WY",-110.917,42.87,1958,37,4.453,4.74,"17040105",25.1000003814697,66,-8.89999961853027,16.2000007629395,150,45,3.40000009536743
"USS0011H08S","BEN LOMOND PEAK","UT",-111.94,41.38,2438,39,18.434,20.541,"16020102",23.8999996185303,110,-5.80000019073486,18.1000003814697,515,59,5.19999980926514
"USS0011H30S","BEN LOMOND TRAIL","UT",-111.92,41.38,1777,37,8.523,10.581,"16020102",24.6000003814697,116,-5.09999990463257,19.5,377,55,6.40000009536743
"USC00100803","BERN","ID",-111.385,42.335,1818,25,3.926,4.213,"16010201",26.6000003814697,89,-8.19999980926514,18.2999992370605,104,49,4.69999980926514
"USS0014K02S","BERRY CREEK","NV",-114.62,39.32,2774,37,9.959,8.906,"16060008",19.8999996185303,73,-6.40000009536743,13.5,180,62,2.09999990463257
"USC00020750","BETATAKIN","AZ",-110.533,36.683,2221,39,1.963,1.963,"14080204",24.5,152,-2,22.5,73,53,9.89999961853027
"USS0012L07S","BIG FLAT","UT",-112.36,38.3,3154,39,9.289,9.863,"16030007",21.2000007629395,62,-7.5,13.6999998092651,268,56,2.09999990463257
"USC00420688","BIG WATER","UT",-111.664,37.08,1250,16,0.479,0.575,"14070006",27.6000003814697,186,0.100000001490116,27.7000007629395,34,51,13.8000001907349
"USC00420716","BIRDSEYE","UT",-111.533,39.867,1747,12,3.304,3.112,"16020202",25.7999992370605,99,-5.80000019073486,19.8999996185303,119,44,6.90000009536743
"USC00480761","BITTER CREEK 4 NE","WY",-108.517,41.583,2048,14,1.101,1.053,"14040105",26.2999992370605,86,-7.30000019073486,19,21,47,5.30000019073486
"USS0011L04S","BLACK FLAT UM CK","UT",-111.6,38.68,2884,37,5.075,4.836,"14070003",20.7999992370605,44,-6.90000009536743,13.8999996185303,150,48,2.5
"USC00420730","BLACK ROCK","UT",-112.953,38.708,1494,38,1.724,1.436,"16030007",26.8999996185303,134,-3.29999995231628,23.6000003814697,40,45,9.69999980926514
"USC00420738","BLANDING","UT",-109.481,37.615,1841,28,2.011,2.011,"14080201",26.3999996185303,152,-3.20000004768372,23.1000003814697,83,52,9.89999961853027
"USC00420757","BLOWHARD MOUNTAIN RADAR","UT",-112.865,37.596,3260,35,15.657,15.609,"16030006",19.6000003814697,66,-7.40000009536743,12.3000001907349,253,60,1.39999997615814
"USC00420788","BLUFF","UT",-109.558,37.283,1316,33,0.814,0.67,"14080201",28.1000003814697,175,-1.60000002384186,26.5,53,49,12.6000003814697
"USC00420802","BONANZA","UT",-109.183,40.017,1661,15,2.586,2.346,"14050007",31.2999992370605,150,-7.5,23.8999996185303,33,51,8.80000019073486
"USC00050825","BONHAM RESERVOIR","CO",-107.898,39.102,3002,25,9.672,10.677,"14010005",21.7000007629395,57,-8.39999961853027,13.3000001907349,249,54,1.5
"USC00480915","BORDER 3 N","WY",-111.033,42.25,1865,24,3.112,3.783,"16010102",26.2000007629395,70,-9,17.2000007629395,102,47,3.79999995231628
"USS0014G01S","BOSTETTER RANGER STATION","ID",-114.19,42.16,2286,36,14.268,9.911,"17040212",23.8999996185303,86,-6.69999980926514,17.2000007629395,260,59,4.19999980926514
"USC00420849","BOULDER","UT",-111.42,37.905,2036,40,2.921,2.442,"14070005",24.5,137,-3.09999990463257,21.3999996185303,58,52,8.69999980926514
"USC00420820","BOUNTIFUL VAL VERDA","UT",-111.89,40.854,1384,32,1.963,1.867,"16020204",26.7000007629395,173,-2.20000004768372,24.5,125,58,10.5
"USS0012L04S","BOX CREEK","UT",-112.02,38.51,2996,38,6.512,6.751,"16030002",22.5,74,-6.40000009536743,16,195,54,3.59999990463257
"USC00420900","BRIAN HEAD","UT",-112.847,37.693,2978,21,14.556,16.519,"16030006",20.1000003814697,71,-7.09999990463257,13,253,60,2
"USC00420928","BRIGHAM CITY WASTE PLANT","UT",-112.044,41.52,1289,32,1.724,1.819,"16010204",28.1000003814697,159,-4.30000019073486,23.7999992370605,123,55,9.60000038146973
"USC00021001","BRIGHT ANGEL RANGER STATION","AZ",-112.067,36.214,2560,41,8.187,8.666,"15010001",20.7000007629395,112,-2.70000004768372,18,223,53,6.90000009536743
"USS0011J57S","BRIGHTON","UT",-111.58,40.6,2667,31,9.576,10.581,"16020204",22.7000007629395,83,-7,15.6999998092651,335,60,3.09999990463257
"USS0010J30S","BROWN DUCK","UT",-110.59,40.58,3231,39,10.007,9.863,"14060003",22.2999992370605,32,-10.3999996185303,11.8999996185303,228,45,-0.200000002980232
"USC00051017","BROWNS PARK REFUGE","CO",-108.917,40.8,1632,16,1.005,1.293,"14040106",27.5,116,-6,21.5,29,44,7.80000019073486
"USW00023159","BRYCE CANYON AIRPORT","UT",-112.15,37.7,2313,13,3.208,4.453,"16030002",22.8999996185303,77,-5.30000019073486,17.6000003814697,80,46,5.40000009536743
"USC00421008","BRYCE CANYON NATIONAL PARK HEADQUARTERS","UT",-112.168,37.641,2412,43,5.219,5.267,"16030002",22.7999992370605,75,-5.59999990463257,17.2000007629395,95,47,5
"USS0011K31S","BUCK FLAT","UT",-111.44,39.13,2874,39,8.14,8.858,"14060009",21.3999996185303,56,-7.30000019073486,14.1000003814697,234,52,2.5
"USC00481131","BUCKBOARD MARINA","WY",-109.597,41.247,1853,15,0.862,0.862,"14040106",26.6000003814697,109,-6,20.6000003814697,24,47,6.80000019073486
"USS0011H37S","BUG LAKE","UT",-111.42,41.68,2423,39,9.097,9.576,"16010201",23.7999992370605,75,-7.09999990463257,16.7000007629395,255,55,3.70000004768372
"USC00421020","BULLFROG BASIN","UT",-110.72,37.53,1165,29,0.575,0.862,"14070001",28.6000003814697,201,0.5,29.2000007629395,33,57,14.8000001907349
"USW00024133","BURLEY MUNICIPAL AIRPORT","ID",-113.767,42.539,1267,30,0.862,1.005,"17040209",25.2999992370605,128,-3.70000004768372,21.6000003814697,69,52,8.5
"USC00261358","CALIENTE","NV",-114.517,37.617,1341,29,0.91,1.101,"15010013",23.5,163,1.20000004768372,24.7000007629395,57,47,12.3000001907349
"USC00421144","CALLAO","UT",-113.713,39.9,1320,33,1.245,1.005,"16020306",27.2000007629395,148,-3,24.2000007629395,24,49,10.1000003814697
"USC00421149","CALLISTER RANCH","UT",-112.667,40.683,1299,12,1.101,1.436,"16020305",27.6000003814697,162,-2.40000009536743,25.2000007629395,58,54,10.6999998092651
"USS0009M02S","CAMP JACKSON","UT",-109.49,37.81,2733,32,8.906,7.852,"14080201",22.2000007629395,109,-5.5,16.7000007629395,198,59,4.80000019073486
"USC00021248","CANYON DE CHELLY","AZ",-109.533,36.15,1710,31,0.575,0.527,"14080204",NA,NA,NA,NA,NA,NA,NA
"USC00421163","CANYONLANDS THE NECK","UT",-109.821,38.455,1807,43,1.628,1.197,"14030005",29.1000003814697,177,-2.70000004768372,26.3999996185303,35,55,12
"USC00421168","CANYONLANDS THE NEEDLES","UT",-109.782,38.151,1525,40,1.245,1.005,"14030005",28.3999996185303,168,-2.79999995231628,25.6000003814697,34,51,11.5
"USC00421171","CAPITOL REEF NATIONAL PARK","UT",-111.267,38.283,1676,40,1.676,1.197,"14070003",26.3999996185303,152,-3.20000004768372,23.2000007629395,26,52,9.80000019073486
"USS0011J70S","CASCADE MOUNTAIN","UT",-111.61,40.28,2370,15,6.703,8.14,"16020203",24.5,122,-5.30000019073486,19.2000007629395,206,59,6.19999980926514
"USC00421214","CASTLE DALE","UT",-111.015,39.208,1713,36,1.149,1.389,"14060009",27.7000007629395,130,-5.5,22.2000007629395,40,47,8.60000038146973
"USC00421241","CASTLE VALLEY","UT",-109.399,38.651,1439,20,1.149,0.91,"14030005",29,174,-3.09999990463257,25.8999996185303,49,53,11.6999998092651
"USS0012M13S","CASTLE VALLEY - 2","UT",-112.74,37.66,2920,36,7.757,7.565,"16030001",19.8999996185303,53,-6.80000019073486,13,183,52,2.29999995231628
"USC00421216","CASTLEDALE HTR UP AND L","UT",-111.033,39.18,1725,23,1.628,1.484,"14060009",27.7000007629395,131,-5.5,22.2000007629395,40,47,8.60000038146973
"USC00261590","CATHEDRAL GORGE STATE PARK","NV",-114.407,37.804,1472,13,0.718,0.718,"15010013",23.3999996185303,144,0.200000002980232,23.7000007629395,65,44,11.3000001907349
"USC00421260","CEDAR CITY 5 E","UT",-112.996,37.653,1966,34,2.298,1.867,"16030006",22.1000003814697,123,-2.79999995231628,19.2999992370605,93,53,7.5
"USW00093129","CEDAR CITY MUNICIPAL AIRPORT","UT",-113.1,37.7,1710,33,0.958,1.293,"16030006",24.3999996185303,146,-1.5,22.8999996185303,66,49,10.1000003814697
"USC00421273","CEDAR CITY STEAM PLA","UT",-113.033,37.667,1827,13,1.245,1.245,"16030006",23,137,-2,21,71,52,8.80000019073486
"USC00421259","CEDAR CITY","UT",-113.119,37.708,1843,16,1.389,1.628,"16030006",24.5,146,-1.5,23,67,49,10.1999998092651
"USC00421308","CEDAR POINT","UT",-109.083,37.716,2060,45,3.352,3.112,"14080203",26,134,-4.5,21.5,84,51,8.19999980926514
"USS0011J01S","CHALK CREEK NUMBER 1","UT",-111.05,40.85,2741,38,11.395,11.06,"16020101",22.1000003814697,55,-8,14,284,52,2
"USS0011J02S","CHALK CREEK NUMBER 2","UT",-111.07,40.89,2487,38,6.607,6.416,"16020101",23.1000003814697,73,-7,16.1000003814697,181,50,3.70000004768372
"USS0010J43S","CHEPETA","UT",-110.01,40.77,3228,37,8.954,7.469,"14060003",21.7000007629395,32,-10.6000003814697,11.1000003814697,165,47,-0.800000011920929
"USC00481736","CHURCH BUTTES GAS PLANT","WY",-110.084,41.399,2156,21,1.053,1.341,"14040107",25.7000007629395,95,-6.80000019073486,19,29,51,5.30000019073486
"USC00421432","CIRCLEVILLE","UT",-112.273,38.169,1846,27,1.149,0.718,"16030001",24.1000003814697,106,-3.20000004768372,20.8999996185303,40,42,8.19999980926514
"USC00421446","CITY CRK WATER PLANT","UT",-111.832,40.828,1625,45,3.399,4.501,"16020204",23.8999996185303,126,-4.30000019073486,19.7000007629395,216,56,6.90000009536743
"USS0011M06S","CLAYTON SPRINGS","UT",-111.83,37.97,3063,17,6.272,5.698,"16030002",21.1000003814697,54,-7.30000019073486,13.6999998092651,180,52,2.20000004768372
"USS0011K21S","CLEAR CREEK NUMBER 1","UT",-111.28,39.87,2715,39,7.661,8.954,"16020202",23,73,-7.40000009536743,15.6999998092651,240,53,3.40000009536743
"USS0011K22S","CLEAR CREEK NUMBER 2","UT",-111.25,39.89,2334,39,5.65,6.655,"16020202",23.7000007629395,79,-7.09999990463257,16.5,204,51,4.09999990463257
"USC00421500","CLEAR LAKE REFUGE","UT",-112.617,39.1,1403,15,1.005,1.101,"16030008",28.2000007629395,141,-3.90000009536743,24.2999992370605,43,46,9.89999961853027
"USC00421590","COALVILLE 13 E","UT",-111.15,40.936,1984,35,1.915,2.107,"16020101",24.1000003814697,81,-6.19999980926514,18,77,47,5.30000019073486
"USW00024120","COALVILLE","UT",-111.398,40.914,1692,31,2.155,2.107,"16020101",25,91,-5.59999990463257,19.3999996185303,92,44,6.59999990463257
"USC00051743","COLLBRAN 1 WSW","CO",-107.98,39.237,1859,17,1.628,1.867,"14010005",26.6000003814697,134,-5,21.6000003814697,70,49,8.39999961853027
