"n1","n2","Assurance"
600,600,0.5482
610,610,0.5564
620,620,0.5662
630,630,0.5616
640,640,0.5736
650,650,0.584
660,660,0.5944
670,670,0.5942
680,680,0.593
690,690,0.5932
700,700,0.6128
710,710,0.6024
720,720,0.6202
730,730,0.6334
740,740,0.6412
750,750,0.6418
760,760,0.6438
770,770,0.6538
780,780,0.6602
790,790,0.6724
800,800,0.6834
810,810,0.68
820,820,0.68
830,830,0.6918
840,840,0.6916
850,850,0.7008
860,860,0.7042
870,870,0.7052
880,880,0.7098
890,890,0.7118
900,900,0.7206
910,910,0.729
920,920,0.7272
930,930,0.7272
940,940,0.7316
950,950,0.7412
960,960,0.7478
970,970,0.7566
980,980,0.757
990,990,0.7622
1000,1000,0.7704
