Setting random seed to 1.
Reading data from stdin.
Reading model from /home/bt/model_params_for_cpp.txt.
Model read successfully.
Building history structure.
Calculating individual history link log likelihoods.
Unit,Link,EventType,Time,PatientID,LogLik
0,0,21,0,NULL,0
0,1,0,0,698,-inf
0,2,0,0.060978,1,-inf
0,3,1,0.061978,1,-0.0040198
0,4,0,1.422631,10,-inf
0,5,1,1.423631,10,-0.0060297
0,6,1,2.883323,1,-8.801504852
0,7,3,2.884323,1,-0.0060297
0,8,0,3.003798,28,-inf
0,9,1,3.004798,28,-0.0060297
0,10,0,3.148084,19,-inf
0,11,1,3.175659,10,-0.22169197
0,12,3,3.176659,10,-0.0080396
0,13,0,3.17966,30,-inf
0,14,1,3.18066,30,-0.0080396
0,15,1,4.300871,19,-9.006048356
0,16,3,4.301871,19,-0.0080396
0,17,0,4.942352,42,-inf
0,18,1,4.943352,42,-0.0080396
0,19,0,4.984478,43,-inf
0,20,1,4.985478,43,-0.0100495
0,21,0,5.016842,44,-inf
0,22,1,5.017842,44,-0.0120594
0,23,1,5.057072,44,-0.473090262
0,24,3,5.058072,44,-0.0120594
0,25,0,5.215637,46,-inf
0,26,1,5.216637,46,-0.0120594
0,27,0,5.434817,50,-inf
0,28,1,5.435817,50,-0.0140693
0,29,1,5.780636,28,-4.851361957
0,30,3,5.781636,28,-0.0140693
0,31,1,6.396988,50,-7.420775909
0,32,3,6.397988,50,-0.0120594
0,33,1,6.658203,30,-2.615030643
0,34,3,6.659203,30,-0.0100495
0,35,0,6.969125,67,-inf
0,36,1,6.970125,67,-0.0100495
0,37,0,7.019085,63,-inf
0,38,1,7.318756,42,-3.613852457
0,39,3,7.319756,42,-0.0120594
0,40,1,7.499297,46,-1.80429728
0,41,3,7.500297,46,-0.0100495
0,42,1,7.656191,67,-1.253325402
0,43,3,7.657191,67,-0.0080396
0,44,0,8.3212,60,-inf
0,45,0,9.00987,87,-inf
0,46,1,9.01087,87,-0.0100495
0,47,1,9.02227,43,-0.1145643
0,48,3,9.02327,43,-0.0100495
0,49,3,9.314892,63,-2.344524231
0,50,0,9.378776,92,-inf
0,51,1,9.379776,92,-0.0080396
0,52,1,9.628069,60,-1.996176403
0,53,3,9.628069,60,0
0,54,1,10.384014,92,-4.558121567
0,55,3,10.385014,92,-0.0060297
0,56,0,11.065332,107,-inf
0,57,1,11.066332,107,-0.0060297
0,58,0,11.303964,109,-inf
0,59,3,11.304464,109,-0.0040198
0,60,0,11.366927,63,-0.3768066011
0,61,1,11.384272,63,-0.139446862
0,62,3,11.384272,63,0
0,63,1,11.748389,87,-2.195516275
0,64,3,11.749389,87,-0.0060297
0,65,0,12.341155,105,-2.382183107
0,66,0,12.441349,100,-inf
0,67,1,12.593952,107,-1.226867079
0,68,3,12.594952,107,-0.0080396
0,69,1,12.68137,105,-0.5210746146
0,70,3,12.68137,105,0
0,71,0,12.730881,58,-inf
0,72,1,12.860621,58,-0.782293278
0,73,3,12.860621,58,0
0,74,0,12.976021,109,-0.46945511
0,75,1,13.320672,100,-2.078142135
0,76,3,13.321172,100,-0.00301485
0,77,1,13.53304,109,-0.8516669864
0,78,3,13.53404,109,-0.0040198
0,79,0,13.777966,134,-inf
0,80,1,13.778966,134,-0.0040198
0,81,0,13.820286,103,-inf
0,82,0,13.850102,104,-inf
0,83,1,13.936968,104,-0.6983678936
0,84,3,13.936968,104,0
0,85,0,14.298273,72,-inf
0,86,0,14.334513,140,-inf
0,87,1,14.379081,134,-0.447886116
0,88,3,14.380081,134,-0.0100495
0,89,0,14.582448,141,-inf
0,90,0,14.707964,146,-inf
0,91,1,14.708964,146,-0.0120594
0,92,0,14.899285,120,-inf
0,93,0,14.920941,117,-inf
0,94,2,14.950611,120,-inf
0,95,3,14.951611,120,-0.0160792
0,96,2,14.99964,103,-inf
0,97,3,14.99964,103,0
0,98,3,15.030638,146,-0.3738172812
0,99,3,15.179744,117,-1.498440747
0,100,0,15.208884,132,-0.240521444
0,101,0,15.220892,41,-0.126984706
0,102,1,15.851922,41,-7.609843182
0,103,3,15.851922,41,0
0,104,0,16.127824,69,-inf
0,105,1,16.326052,69,-2.390510743
0,106,3,16.326052,69,0
0,107,0,16.442569,165,-inf
0,108,1,16.443569,165,-0.0120594
0,109,1,16.451331,141,-0.0936050628
0,110,3,16.452331,141,-0.0120594
0,111,1,16.646789,72,-1.954205671
0,112,3,16.646789,72,0
0,113,0,17.672106,139,-inf
0,114,0,17.679419,136,-inf
0,115,0,19.134957,81,-inf
0,116,1,19.403826,140,-3.782798622
0,117,3,19.404826,140,-0.0140693
0,118,1,19.48665,81,-0.9867483456
0,119,3,19.48665,81,0
0,120,1,19.664946,139,-1.791785652
0,121,3,19.664946,139,0
0,122,0,19.760847,190,-inf
0,123,2,19.761847,190,-inf
0,124,1,20.086638,165,-3.263987155
0,125,3,20.087638,165,-0.0100495
0,126,0,20.1684,117,-0.6965827052
0,127,3,20.484586,190,-3.177511207
0,128,3,20.634188,117,-1.202740239
0,129,0,21.208075,190,-3.460368944
0,130,3,21.208325,190,-0.0020099
0,131,0,21.391801,116,-inf
0,132,1,21.565001,132,-1.39245872
0,133,3,21.566001,132,-0.0080396
0,134,0,22.019483,195,-2.738944785
0,135,0,22.029016,83,-inf
0,136,1,22.030016,83,-0.0100495
0,137,0,22.03475,209,-inf
0,138,1,22.03575,209,-0.0120594
0,139,1,22.062979,209,-0.3283654026
0,140,3,22.063979,209,-0.0120594
0,141,0,22.205561,178,-inf
0,142,0,22.469114,190,-3.190898938
0,143,1,22.470511,83,-0.0196548121
0,144,3,22.471511,83,-0.0140693
0,145,1,22.477921,195,-0.077300754
0,146,3,22.477921,195,0
0,147,0,22.639473,212,-inf
0,148,1,22.640473,212,-0.0120594
0,149,3,22.848014,190,-2.502819935
0,150,0,23.082569,214,-inf
0,151,0,23.086841,197,-inf
0,152,1,23.109078,214,-0.3128590241
0,153,3,23.109078,214,0
0,154,3,23.144926,197,-0.4323053712
0,155,1,23.412298,178,-2.686954914
0,156,3,23.412298,178,0
0,157,1,23.504806,116,-0.7437273168
0,158,3,23.504806,116,0
0,159,0,23.781483,220,-inf
0,160,3,23.781983,220,-0.0040198
0,161,3,23.889973,212,-0.651147303
0,162,0,24.152686,220,-1.057287727
0,163,0,24.250923,223,-0.5923421389
0,164,1,24.251173,223,-0.0020099
0,165,2,24.276087,220,-inf
0,166,3,24.277087,220,-0.0080396
0,167,1,24.311732,136,-0.2088989565
0,168,3,24.312732,136,-0.0060297
0,169,0,24.353621,227,-inf
0,170,1,24.354622,227,-0.0060357297
0,171,0,24.670561,203,-inf
0,172,3,24.814073,203,-1.153779075
0,173,3,25.012085,227,-1.193952956
0,174,0,25.1713,227,-0.640014957
0,175,3,25.17155,227,-0.001507425
0,176,1,25.194396,223,-0.0918363508
0,177,3,25.194896,223,-0.0020099
0,178,0,25.44455,234,-inf
0,179,1,25.44555,234,-0.0040198
0,180,0,25.557768,236,-inf
0,181,1,25.558768,236,-0.0060297
0,182,1,25.644408,236,-0.516383508
0,183,3,25.645408,236,-0.0060297
0,184,0,25.94998,212,-1.227020216
0,185,1,26.220149,212,-1.629038019
0,186,3,26.221149,212,-0.0060297
0,187,0,26.356216,245,-inf
0,188,1,26.357216,245,-0.0060297
0,189,1,26.808247,234,-2.719581621
0,190,3,26.809247,234,-0.0060297
0,191,2,26.995899,245,-inf
0,192,3,26.996899,245,-0.0040198
0,193,0,27.839608,264,-inf
0,194,1,27.840608,264,-0.0040198
0,195,0,28.054004,203,-0.8578092408
0,196,1,28.054004,203,0
0,197,0,28.780284,235,-inf
0,198,0,28.965188,212,-1.513994588
0,199,1,29.13926,264,-1.749336564
0,200,3,29.14026,264,-0.0100495
0,201,0,29.399364,272,-inf
0,202,1,29.400364,272,-0.0100495
0,203,0,29.439337,217,-inf
0,204,0,29.519566,274,-inf
0,205,1,29.520566,274,-0.0140693
0,206,1,29.646739,212,-1.775165789
0,207,3,29.646739,212,0
0,208,0,29.764679,262,-1.426057006
0,209,1,30.075029,235,-4.366407255
0,210,3,30.075029,235,0
0,211,1,30.141817,262,-0.8054232072
0,212,3,30.141817,262,0
0,213,1,30.223855,217,-0.824440881
0,214,3,30.223855,217,0
0,215,0,30.977058,241,-inf
0,216,0,31.409811,246,-4.348953774
0,217,3,31.410061,246,-0.00301485
0,218,0,31.463704,299,-inf
0,219,1,31.464704,299,-0.0120594
0,220,3,32.401917,274,-11.30222645
0,221,0,32.602022,239,-inf
0,222,0,32.718216,251,-inf
0,223,1,32.964904,241,-3.470727478
0,224,3,32.964904,241,0
0,225,1,33.266406,299,-3.635933219
0,226,3,33.267406,299,-0.0120594
0,227,0,33.785018,274,-5.201744294
0,228,3,33.785268,274,-0.00301485
0,229,0,33.830687,278,-inf
0,230,0,33.896141,320,-0.7900968376
0,231,1,33.972229,320,-1.070504898
0,232,3,33.973229,320,-0.0140693
0,233,0,33.982261,319,-inf
0,234,0,34.001882,294,-0.2781241253
0,235,0,34.069618,313,-inf
0,236,0,34.153331,259,-1.541922838
0,237,1,34.208922,294,-1.117323509
0,238,3,34.208922,294,0
0,239,1,34.335257,278,-2.285286448
0,240,3,34.335257,278,0
0,241,0,34.402756,315,-inf
0,242,1,34.581447,315,-3.232359368
0,243,3,34.582447,315,-0.0180891
0,244,1,34.589166,272,-0.1080361448
0,245,3,34.590166,272,-0.0160792
0,246,1,34.697947,319,-1.516403223
0,247,3,34.698947,319,-0.0140693
0,248,1,35.511711,259,-9.801446182
0,249,3,35.511711,259,0
0,250,0,35.858115,300,-inf
0,251,3,35.906613,239,-0.5848567812
0,252,0,35.970015,299,-0.664184489
0,253,1,36.013759,313,-0.5275263936
0,254,3,36.014759,313,-0.0120594
0,255,0,36.021778,347,-inf
0,256,1,36.022778,347,-0.0120594
0,257,1,36.255274,300,-2.803762262
0,258,3,36.255274,300,0
0,259,0,36.588499,335,-inf
0,260,1,36.802146,347,-2.576454632
0,261,3,36.803146,347,-0.0120594
0,262,0,37.107106,352,-inf
0,263,1,37.108106,352,-0.0120594
0,264,0,37.42245,288,-inf
0,265,1,37.620269,299,-2.783174857
0,266,3,37.620269,299,0
0,267,0,37.709675,336,-inf
0,268,0,38.014848,317,-4.308359089
0,269,1,38.164653,251,-2.408744556
0,270,3,38.164653,251,0
0,271,0,38.291696,274,-1.83247036
0,272,1,38.807643,335,-8.296015002
0,273,3,38.808643,335,-0.0160792
0,274,0,38.902018,305,-inf
0,275,1,39.012323,274,-1.773616156
0,276,3,39.012323,274,0
0,277,0,39.144964,294,-1.915526441
0,278,0,39.251794,377,-inf
0,279,1,39.252794,377,-0.0180891
0,280,0,39.262741,378,-inf
0,281,1,39.263741,378,-0.020099
0,282,1,39.283574,288,-0.398623467
0,283,3,39.284574,288,-0.020099
0,284,0,39.339313,379,-inf
0,285,1,39.340313,379,-0.020099
0,286,1,39.424628,379,-1.694647185
0,287,3,39.425628,379,-0.020099
0,288,1,39.493708,317,-1.231505928
0,289,3,39.494708,317,-0.0180891
0,290,0,39.546753,359,-inf
0,291,0,39.583387,372,-inf
0,292,0,39.678367,321,-inf
0,293,1,39.69797,359,-0.4334007667
0,294,3,39.69797,359,0
0,295,1,39.730491,305,-0.653639579
0,296,3,39.730491,305,0
0,297,1,39.88293,294,-2.757484315
0,298,3,39.88393,294,-0.0180891
0,299,1,39.967607,372,-1.345459218
0,300,3,39.967607,372,0
0,301,0,40.460946,353,-inf
0,302,0,40.851807,392,-inf
0,303,0,40.851858,363,-inf
0,304,1,40.852807,392,-0.019073951
0,305,1,41.18597,336,-6.696243137
0,306,3,41.18597,336,0
0,307,1,41.300076,392,-2.064074845
0,308,3,41.301076,392,-0.0180891
0,309,1,41.551081,352,-4.019880396
0,310,3,41.552081,352,-0.0160792
0,311,0,41.779669,362,-inf
0,312,0,42.152256,352,-5.99690264
0,313,0,42.29466,406,-inf
0,314,1,42.29566,406,-0.020099
0,315,2,42.320542,321,-inf
0,316,3,42.320542,321,0
0,317,0,42.747203,413,-inf
0,318,1,42.748203,413,-0.020099
0,319,0,42.951725,394,-inf
0,320,1,43.108233,413,-3.460219721
0,321,3,43.109233,413,-0.0221089
0,322,0,43.565794,419,-inf
0,323,1,43.566794,419,-0.0221089
0,324,1,43.711589,406,-3.201258175
0,325,3,43.712589,406,-0.0221089
0,326,0,43.727864,407,-inf
0,327,1,43.797555,363,-1.54079135
0,328,3,43.798555,363,-0.0221089
0,329,0,44.219032,428,-inf
0,330,1,44.220032,428,-0.0221089
0,331,1,44.277179,353,-1.263457308
0,332,3,44.278179,353,-0.0221089
0,333,1,44.392508,419,-2.297898571
0,334,3,44.393508,419,-0.020099
0,335,1,44.409882,352,-0.2961909234
0,336,3,44.410882,352,-0.0180891
0,337,1,44.468088,362,-0.9198267152
0,338,3,44.469088,362,-0.0160792
0,339,0,44.587523,436,-inf
0,340,1,44.588523,436,-0.0160792
0,341,0,44.598656,429,-inf
0,342,0,44.682314,439,-inf
0,343,1,44.683314,439,-0.020099
0,344,0,44.799994,442,-inf
0,345,1,44.800994,442,-0.0221089
0,346,0,44.814079,427,-inf
0,347,1,44.972265,442,-3.815256497
