"gender";"age";"hasJob";"jobHours";"currentEducation";"prevEducation";"xtcUseDoseHigh";"xtcUseDosePref";"xtcUsePillHigh";"xtcUsePillPref";"weight_other";"highDose_IntentionRAA_intention";"highDose_IntentionRAA_want";"highDose_IntentionRAA_expectation";"highDose_IntentionFrq_freq.0";"highDose_IntentionFrq_freq.1";"highDose_AttGeneral_good";"highDose_AttGeneral_prettig";"highDose_AttGeneral_slim";"highDose_AttGeneral_gezond";"highDose_AttGeneral_spannend";"highDose_NormGeneral_in1";"highDose_NormGeneral_in2";"highDose_NormGeneral_dn1";"highDose_NormGeneral_dn2";"highDose_PBCgeneral_ifwanted";"highDose_PBCgeneral_easy";"highDose_PBCgeneral_control";"highDose_PBCgeneral_externalFactors";"highDose_PBCgeneral_notOnlyMe";"highDose_OpenWhy";"highDose_OpenWhyNot";"highDose_AttBeliefs_long";"highDose_AttBeliefs_intensity";"highDose_AttBeliefs_intoxicated";"highDose_AttBeliefs_energy";"highDose_AttBeliefs_euphoria";"highDose_AttBeliefs_insight";"highDose_AttBeliefs_connection";"highDose_AttBeliefs_contact";"highDose_AttBeliefs_sex";"highDose_AttBeliefs_coping";"highDose_AttBeliefs_isolated";"highDose_AttBeliefs_boundaries";"highDose_AttBeliefs_music";"highDose_AttBeliefs_hallucinate";"highDose_AttBeliefs_timeAwareness";"highDose_AttBeliefs_memory";"highDose_AttBeliefs_health";"highDose_AttBeliefs_better";"highDose_AttBeliefs_physicalSideEffects";"highDose_AttBeliefs_psychicSideEffects";"highDose_AttBeliefs_regret";"highDose_AttDesirable_long";"highDose_AttDesirable_intens";"highDose_AttDesirable_intoxicated";"highDose_AttDesirable_energy";"highDose_AttDesirable_euphoria";"highDose_AttDesirable_insight";"highDose_AttDesirable_connection";"highDose_AttDesirable_contact";"highDose_AttDesirable_sex";"highDose_AttDesirable_coping";"highDose_AttDesirable_isolated";"highDose_AttDesirable_boundaries";"highDose_AttDesirable_purity";"highDose_AttDesirable_music";"highDose_AttDesirable_hallucinate";"highDose_AttDesirable_timeAwareness";"highDose_AttDesirable_memory";"highDose_NormBeliefs_partner";"highDose_NormBeliefs_bestFriends";"highDose_NormBeliefs_xtcFriends";"highDose_NormBeliefs_otherFriends";"highDose_NormBeliefs_partyPeople";"highDose_NormBeliefs_parents";"highDose_NormBeliefs_siblings";"highDose_NormMTC_partner";"highDose_NormMTC_bestFriends";"highDose_NormMTC_xtcFriends";"highDose_NormMTC_otherFriends";"highDose_NormMTC_partyPeople";"highDose_NormMTC_parents";"highDose_NormMTC_siblings";"highDose_DescrNorm_partner";"highDose_DescrNorm_bestFriends";"highDose_DescrNorm_xtcFriends";"highDose_DescrNorm_otherFriends";"highDose_DescrNorm_partyPeople";"highDose_DescrNorm_parents";"highDose_DescrNorm_siblings";"highDose_ContrBeliefs_sayNo";"highDose_ContrBeliefs_highDoseEasy";"highDose_ContrBeliefs_normalDoseEasy";"highDose_ContrBeliefs_easyHighDoseWhenHigh";"highDose_ContrBeliefs_easyNormalDoWhenHigh";"highDose_Tolerance_tolerance";"highDose_attProduct_boundaries";"highDose_attProduct_connection";"highDose_attProduct_contact";"highDose_attProduct_coping";"highDose_attProduct_energy";"highDose_attProduct_euphoria";"highDose_attProduct_hallucinate";"highDose_attProduct_insight";"highDose_attProduct_intoxicated";"highDose_attProduct_isolated";"highDose_attProduct_long";"highDose_attProduct_memory";"highDose_attProduct_music";"highDose_attProduct_sex";"highDose_attProduct_timeAwareness";"highDose_normProduct_bestFriends";"highDose_normProduct_otherFriends";"highDose_normProduct_parents";"highDose_normProduct_partner";"highDose_normProduct_partyPeople";"highDose_normProduct_siblings";"highDose_normProduct_xtcFriends";"highDose_intention";"highDose_attitude";"highDose_perceivedNorm";"highDose_pbc"
"Male";20;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";17;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HAVO";NA;NA;NA;3.5;3;70;4;4;4;"-";1;3;5;4;3;5;1;5;4;3;6;5;5;5;4;"Een hogere dosering XTC is leuk wanneer je gewoon rustig aan het chillen bent en de sfeer goed is en je geen negatieve impulsen om je heen hebt.";"Slechte omstandigheden(in dit geval eigenlijk helemaal geen XTC gebruiken). En wanneer de sfeer slecht is, dus gebruiken om de sfeer te verbeteren is ook niet goed.";2;2;1;0;1;0;0;0;0;0;1;-2;1;2;1;0;-1;1;0;1;0;0;0;-1;-1;1;0;1;0;-1;0;0;0;1;2;0;1;0;NA;4;4;4;4;1;4;NA;1;2;1;0;-1;0;NA;5;5;4;5;1;5;7;5;7;5;6;1;0;0;0;0;0;1;0;0;-1;0;0;0;2;0;1;4;4;-1;NA;0;0;8;4;4;3.25;5
"Female";23;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe WO (universiteit)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";18;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";20;"Ja, ik doe MBO (ROC)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";21;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";15;"Ja, ik doe HBO (hogeschool)";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Female";34;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";21;"Nee, ik volg op dit moment geen studie";"VMBO (vroeger MAVO)";150;80;NA;NA;66;2;2;2;"0";1;1;1;1;1;4;1;2;2;2;7;7;7;2;7;"Ik denk dat vooral mensen die weinig tot niks weten over xtc een hoge dosering nemen. Door grootspraak van vrienden of kennissen. sommige mensen denken dat het hoort dat je helemaal van de wereld bent of out-gaat. ";"als men zich beter inleest over xtc zijn ze bekend met de effecten van een lage dosering. En dat dat juist de effecten zijn je hebben wilt. energiek, knuffelig empathie.";0;1;-1;-2;-2;-2;-2;-1;-2;3;3;-2;0;3;3;-3;-3;-1;3;3;3;2;2;1;2;3;0;2;2;1;2;-3;-3;3;2;-3;-2;3;7;5;7;5;6;NA;5;2;2;-1;1;-1;NA;2;5;1;5;3;6;NA;1;7;6;6;6;6;5;6;-4;-2;6;-4;-6;-9;0;-1;-9;0;-9;0;-2;-6;10;5;NA;14;-6;10;-7;2;1.6;1.75;6
"Female";19;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";9;"Ja, ik doe MBO (ROC)";NA;NA;NA;4;2.5;64;3;3;3;"1";1;3;4;3;3;5;1;3;3;5;6;4;4;2;6;"Ik snap niet waarom je vrijwillig een hele hoge dosis xtc zou gebruiken. De fijne effecten ervan worden absoluut niet sterker wanneer je een hogere dosis gebruikt, je gaat je er alleen langer vaag van voelen. Ik heb zelf vaak per ongeluk een te hoge dosis genomen, omdat ik niet goed wist hoeveel ik kon hebben.";"Een hoge dosis gebruiken is niet echt gezond ofzo en ook niet echt leuker";3;2;3;1;-2;0;-2;-2;-2;-2;-1;1;2;3;-1;-1;-2;-1;1;0;0;3;3;-1;1;3;2;1;1;2;1;-1;1;2;3;1;0;3;NA;5;6;2;3;1;3;NA;3;2;1;-3;0;0;NA;5;6;2;5;1;4;7;4;7;3;4;2;1;-2;-2;-2;1;-6;3;0;-3;1;9;-3;6;-4;0;15;2;0;NA;-9;0;12;3;3.6;3;4.4
NA;38;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";38;"Nee, ik volg op dit moment geen studie";"VWO";NA;NA;2;1.3;65;7;7;7;"1";1;4;5;5;4;3;6;6;6;6;7;7;7;1;7;"de enige pillen die ik ken hebben 200mg mdma, ik weet wat die doen bij mij en in welke dosering, dus ga ik niet ineens een andere pil nemen waarvan ik niet weet wat die doen. een  vriend had een lichtere dosering pil en is die ene avond niet lekker gegaan, in de zin van dat hij dat onrustige overdosis cafeinegevoel bleef houden, hij had achteraf beter meteen een zwaardere dosis kunnen gebruiken.";"als je er niet goed op reageert";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;3;3;-2;3;3;3;3;-2;-3;0;3;-2;-2;0;7;7;7;4;4;4;7;2;-3;1;-3;-3;-3;1;7;1;7;1;4;1;6;7;7;7;7;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-21;-12;-12;14;-12;7;7;7;4.2;6;5.8
"Male";25;"Ja, ik heb een baan, bijbaan, of eigen bedrijf";50;"Nee, ik volg op dit moment geen studie";"HAVO";100;70;NA;NA;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Male";20;"Nee, ik heb geen baan, bijbaan, of eigen bedrijf";NA;"Ja, ik doe HBO (hogeschool)";NA;100;70;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
