row,col,position,cell,compound,concentration,type,dilution
A,1,A01,hepg2,drug1,B,blank1,
A,2,A02,hepg2,drug1,C1,treated,10
A,3,A03,hepg2,drug1,C1,treated,10
A,4,A04,hepg2,drug1,C1,treated,10
A,5,A05,hepg2,drug1,C1,treated,10
A,6,A06,hepg2,drug1,C1,treated,10
A,7,A07,hepg2,drug1,C1,treated,10
A,8,A08,hepg2,drug1,C1,treated,10
A,9,A09,hepg2,drug1,C2,treated,10
A,10,A10,hepg2,drug1,C2,treated,10
A,11,A11,hepg2,drug1,C2,treated,10
A,12,A12,hepg2,drug1,C2,treated,10
A,13,A13,hepg2,drug1,C2,treated,10
A,14,A14,hepg2,drug1,C2,treated,10
A,15,A15,hepg2,drug1,C2,treated,10
A,16,A16,hepg2,drug1,C2,treated,10
A,17,A17,hepg2,drug1,C3,treated,10
A,18,A18,hepg2,drug1,C3,treated,10
A,19,A19,hepg2,drug1,C3,treated,10
A,20,A20,hepg2,drug1,C3,treated,10
A,21,A21,hepg2,drug1,C3,treated,10
A,22,A22,hepg2,drug1,C3,treated,10
A,23,A23,hepg2,drug1,C3,treated,10
A,24,A24,hepg2,drug1,C3,treated,10
B,1,B01,hepg2,drug1,C1,untreated,10
B,2,B02,hepg2,drug1,C1,untreated,10
B,3,B03,hepg2,drug1,C1,untreated,10
B,4,B04,hepg2,drug1,C1,untreated,10
B,5,B05,hepg2,drug1,C1,untreated,10
B,6,B06,hepg2,drug1,C1,untreated,10
B,7,B07,hepg2,drug1,C1,untreated,10
B,8,B08,hepg2,drug1,C1,untreated,10
B,9,B09,hepg2,drug1,C2,untreated,10
B,10,B10,hepg2,drug1,C2,untreated,10
B,11,B11,hepg2,drug1,C2,untreated,10
B,12,B12,hepg2,drug1,C2,untreated,10
B,13,B13,hepg2,drug1,C2,untreated,10
B,14,B14,hepg2,drug1,C2,untreated,10
B,15,B15,hepg2,drug1,C2,untreated,10
B,16,B16,hepg2,drug1,C2,untreated,10
B,17,B17,hepg2,drug1,C3,untreated,10
B,18,B18,hepg2,drug1,C3,untreated,10
B,19,B19,hepg2,drug1,C3,untreated,10
B,20,B20,hepg2,drug1,C3,untreated,10
B,21,B21,hepg2,drug1,C3,untreated,10
B,22,B22,hepg2,drug1,C3,untreated,10
B,23,B23,hepg2,drug1,C3,untreated,10
B,24,B24,hepg2,drug1,C3,untreated,10
C,1,C01,hepg2,drug2,B,blank2,
C,2,C02,hepg2,drug2,C1,treated,10
C,3,C03,hepg2,drug2,C1,treated,10
C,4,C04,hepg2,drug2,C1,treated,10
C,5,C05,hepg2,drug2,C1,treated,10
C,6,C06,hepg2,drug2,C1,treated,10
C,7,C07,hepg2,drug2,C1,treated,10
C,8,C08,hepg2,drug2,C1,treated,10
C,9,C09,hepg2,drug2,C2,treated,10
C,10,C10,hepg2,drug2,C2,treated,10
C,11,C11,hepg2,drug2,C2,treated,10
C,12,C12,hepg2,drug2,C2,treated,10
C,13,C13,hepg2,drug2,C2,treated,10
C,14,C14,hepg2,drug2,C2,treated,10
C,15,C15,hepg2,drug2,C2,treated,10
C,16,C16,hepg2,drug2,C2,treated,10
C,17,C17,hepg2,drug2,C3,treated,10
C,18,C18,hepg2,drug2,C3,treated,10
C,19,C19,hepg2,drug2,C3,treated,10
C,20,C20,hepg2,drug2,C3,treated,10
C,21,C21,hepg2,drug2,C3,treated,10
C,22,C22,hepg2,drug2,C3,treated,10
C,23,C23,hepg2,drug2,C3,treated,10
C,24,C24,hepg2,drug2,C3,treated,10
D,1,D01,hepg2,drug2,C1,untreated,10
D,2,D02,hepg2,drug2,C1,untreated,10
D,3,D03,hepg2,drug2,C1,untreated,10
D,4,D04,hepg2,drug2,C1,untreated,10
D,5,D05,hepg2,drug2,C1,untreated,10
D,6,D06,hepg2,drug2,C1,untreated,10
D,7,D07,hepg2,drug2,C1,untreated,10
D,8,D08,hepg2,drug2,C1,untreated,10
D,9,D09,hepg2,drug2,C2,untreated,10
D,10,D10,hepg2,drug2,C2,untreated,10
D,11,D11,hepg2,drug2,C2,untreated,10
D,12,D12,hepg2,drug2,C2,untreated,10
D,13,D13,hepg2,drug2,C2,untreated,10
D,14,D14,hepg2,drug2,C2,untreated,10
D,15,D15,hepg2,drug2,C2,untreated,10
D,16,D16,hepg2,drug2,C2,untreated,10
D,17,D17,hepg2,drug2,C3,untreated,10
D,18,D18,hepg2,drug2,C3,untreated,10
D,19,D19,hepg2,drug2,C3,untreated,10
D,20,D20,hepg2,drug2,C3,untreated,10
D,21,D21,hepg2,drug2,C3,untreated,10
D,22,D22,hepg2,drug2,C3,untreated,10
D,23,D23,hepg2,drug2,C3,untreated,10
