row,col,position,type,id,concentration,dilution
A,1,A01,STD1,STD,25,
A,2,A02,STD1,STD,25,
A,3,A03,S1,Sample,,
A,4,A04,S1,Sample,,
A,5,A05,S1,Sample,,
A,6,A06,S1,Sample,,
A,7,A07,S1,Sample,,
A,8,A08,S1,Sample,,
A,9,A09,S1,Sample,,
A,10,A10,S1,Sample,,
A,11,A11,S1,Sample,,
A,12,A12,S1,Sample,,
B,1,B01,STD2,STD,12.5,
B,2,B02,STD2,STD,12.5,
B,3,B03,S2,Sample,,
B,4,B04,S2,Sample,,
B,5,B05,S2,Sample,,
B,6,B06,S2,Sample,,
B,7,B07,S2,Sample,,
B,8,B08,S2,Sample,,
B,9,B09,S2,Sample,,
B,10,B10,S2,Sample,,
B,11,B11,S2,Sample,,
B,12,B12,S2,Sample,,
C,1,C01,STD3,STD,6.25,
C,2,C02,STD3,STD,6.25,
C,3,C03,S3,Sample,,
C,4,C04,S3,Sample,,
C,5,C05,S3,Sample,,
C,6,C06,S3,Sample,,
C,7,C07,S3,Sample,,
C,8,C08,S3,Sample,,
C,9,C09,S3,Sample,,
C,10,C10,S3,Sample,,
C,11,C11,S3,Sample,,
C,12,C12,S3,Sample,,
D,1,D01,STD4,STD,3.13,
D,2,D02,STD4,STD,3.13,
D,3,D03,S4,Sample,,
D,4,D04,S4,Sample,,
D,5,D05,S4,Sample,,
D,6,D06,S4,Sample,,
D,7,D07,S4,Sample,,
D,8,D08,S4,Sample,,
D,9,D09,S4,Sample,,
D,10,D10,S4,Sample,,
D,11,D11,S4,Sample,,
D,12,D12,S4,Sample,,
E,1,E01,STD5,STD,1.56,
E,2,E02,STD5,STD,1.56,
E,3,E03,S5,Sample,,
E,4,E04,S5,Sample,,
E,5,E05,S5,Sample,,
E,6,E06,S5,Sample,,
E,7,E07,S5,Sample,,
E,8,E08,S5,Sample,,
E,9,E09,S5,Sample,,
E,10,E10,S5,Sample,,
E,11,E11,S5,Sample,,
E,12,E12,S5,Sample,,
F,1,F01,STD6,STD,0.78,
F,2,F02,STD6,STD,0.78,
F,3,F03,S6,Sample,,
F,4,F04,S6,Sample,,
F,5,F05,S6,Sample,,
F,6,F06,S6,Sample,,
F,7,F07,S6,Sample,,
F,8,F08,S6,Sample,,
F,9,F09,S6,Sample,,
F,10,F10,S6,Sample,,
F,11,F11,S6,Sample,,
F,12,F12,S6,Sample,,
G,1,G01,STD7,STD,0.39,
G,2,G02,STD7,STD,0.39,
G,3,G03,S7,Sample,,
G,4,G04,S7,Sample,,
G,5,G05,S7,Sample,,
G,6,G06,S7,Sample,,
G,7,G07,S7,Sample,,
G,8,G08,S7,Sample,,
G,9,G09,S7,Sample,,
G,10,G10,S7,Sample,,
G,11,G11,S7,Sample,,
G,12,G12,S7,Sample,,
H,1,H01,BLANK,Blank,,
H,2,H02,BLANK,Blank,,
H,3,H03,S8,Sample,,
H,4,H04,S8,Sample,,
H,5,H05,S8,Sample,,
H,6,H06,S8,Sample,,
H,7,H07,S8,Sample,,
H,8,H08,S8,Sample,,
H,9,H09,S8,Sample,,
H,10,H10,S8,Sample,,
H,11,H11,S8,Sample,,
H,12,H12,S8,Sample,,
