384 well,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.5,0.6,0.5,0.6,0.7,0.8,0.9,1,0.1
B,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
C,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
D,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
E,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.3,0.3,0.2
F,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.3,0.3,0.4,0.4,0.3
G,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.5,0.5,0.4
H,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.2,0.3,0.9,0.9,1
I,0.9,0.9,0.9,0.9,1,1,1,1,1,1,1,0.9,0.9,0.9,1,1,1,1,1,0.2,0.2,0.3,0.3,0.4
J,1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,1,1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.5
K,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6
L,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.6,0.6,0.7
M,0.3,0.3,0.3,0.3,0.7,0.8,0.8,0.8,0.8,0.4,0.4,0.3,0.3,0.3,0.7,0.8,0.8,0.8,0.8,0.6,0.6,0.7,0.7,0.8
N,0.4,0.1,0.1,0.2,0.8,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.1,0.2,0.3,0.4,0.5,0.6,0.5,0.7,0.7,0.8,0.7,0.7
O,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.1,0.2,0.3,0.8,0.8,0.9,0.7,0.8
P,0.6,0.3,0.3,0.3,0.7,0.8,0.8,0.8,0.8,0.4,0.4,0.3,0.3,0.3,0.7,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.7,0.7
