gamma_Epoch_1-3	alpha_birp_Method_1_simulated_counts_1
-0.0032709	1
-0.00171325	1
0.00932134	1
-0.00125297	1
0.0239886	1
-0.00489011	1
-0.00164904	1
0.00220304	1
0.00696762	1
0.0190265	1
0.0134027	1
0.0160638	1
-0.00473553	1
0.00632054	1
0.00244573	1
-0.00207546	1
-0.00678615	1
-0.00813516	1
0.00993384	1
0.0286391	1
-0.0151969	1
0.00613531	1
-0.00137704	1
-0.0213308	1
-0.00921949	1
-0.00282445	1
0.00819216	1
0.0163613	1
0.0233938	1
0.00691345	1
-0.00652953	1
0.0318423	1
-0.00657848	1
0.010214	1
-0.000848543	1
-0.000721401	1
-0.00595199	1
-0.00246153	1
-0.018978	1
0.00696541	1
0.00840668	1
0.00416135	1
0.0218635	1
0.0124099	1
0.012039	1
-0.0147767	1
0.00911909	1
-0.0245349	1
0.025256	1
0.0107139	1
-0.00125103	1
0.00255463	1
0.0101401	1
0.0118894	1
0.00136824	1
0.00916903	1
-0.00958809	1
0.0229545	1
0.0047266	1
-0.0103548	1
0.00508341	1
0.0136576	1
6.10292e-05	1
0.0157215	1
0.00789592	1
-0.0062988	1
0.0103373	1
-0.00161605	1
0.00286452	1
0.00985303	1
0.00804794	1
0.015421	1
0.00137489	1
0.0196411	1
-0.000817077	1
-0.00493039	1
0.00154381	1
0.0211446	1
-0.0136412	1
-0.0017286	1
0.0159705	1
0.00652556	1
0.0126079	1
0.0132717	1
0.00876887	1
0.00392499	1
0.0136756	1
0.00765787	1
-0.0378136	1
0.0079167	1
0.0079167	1
0.0341589	1
0.00109153	1
0.0207098	1
0.0151863	1
0.000836305	1
-0.00348309	1
0.00961864	1
0.00765761	1
-0.00252371	1
-0.00317897	1
0.0140307	1
0.00901721	1
0.0154795	1
0.0153543	1
0.016497	1
0.000667482	1
-0.0310014	1
3.90734e-05	1
0.00413993	1
-0.00776248	1
0.0124764	1
0.0283635	1
0.0193748	1
0.00962889	1
0.0146755	1
0.00499401	1
0.0120804	1
-0.00213508	1
0.0230936	1
-0.0162644	1
-0.0207848	1
0.0132163	1
-0.0107377	1
0.00919974	1
-0.00890803	1
-0.000365012	1
0.00323877	1
0.0173284	1
0.0206299	1
3.55357e-05	1
0.00223372	1
-0.00174623	1
0.011441	1
0.00145488	1
0.00113126	1
-0.00272492	1
0.0032371	1
0.00269882	1
0.0281247	1
0.0162216	1
0.0173958	1
-0.00398197	1
0.0115865	1
0.00932198	1
-0.00817228	1
0.0303612	1
-0.0185015	1
0.0157572	1
0.00142016	1
-0.00942151	1
-0.00112428	1
-0.00927803	1
0.0100403	1
0.000651641	1
0.00242934	1
0.0251462	1
0.026831	1
0.0025356	1
0.0107504	1
0.00986419	1
0.0216608	1
0.0105854	1
0.0021454	1
0.0126109	1
0.0257588	1
-0.00815941	1
0.011913	1
-0.00465306	1
-0.00585068	1
-0.00212229	1
-0.0119887	1
0.00151626	1
0.0109123	1
0.017976	1
0.0148029	1
-0.00700586	1
-0.00379098	1
0.0230732	1
0.0202178	1
0.0260839	1
0.00193748	1
-0.00431296	1
0.00596718	1
0.00256374	1
-0.00361313	1
0.00296305	1
-0.00225808	1
0.0242941	1
0.00171271	1
0.0169295	1
-0.00373636	1
0.011444	1
0.0178161	1
-0.0220997	1
0.000329619	1
0.00346599	1
0.0183458	1
0.0167129	1
0.0309978	1
0.0136049	1
0.0307991	1
0.0183523	1
0.00296479	1
0.0210838	1
0.00747208	1
0.00922812	1
-0.0188818	1
0.0116905	1
0.0240415	1
-0.0234753	1
0.0276486	1
0.00476791	1
0.00323436	1
-0.00681543	1
0.00180869	1
-0.00941147	1
-0.00139889	1
0.0106145	1
0.01365	1
-0.0177109	1
0.0257415	1
0.0314848	1
0.023529	1
0.0084085	1
-0.00850724	1
0.000930567	1
0.00499678	1
0.00469665	1
-0.00055381	1
0.00554514	1
-0.0152202	1
-0.0106593	1
0.0206568	1
-0.00715264	1
0.0163473	1
0.0176144	1
-0.0219639	1
-0.00551776	1
0.00671702	1
0.0100964	1
-0.0105727	1
-0.0139472	1
-0.00402212	1
-0.016893	1
0.0197403	1
0.0144498	1
-0.00500517	1
0.0191484	1
-0.00735388	1
0.0170671	1
-0.00744822	1
0.0210958	1
0.00304195	1
-0.00259159	1
0.000383154	1
0.0127718	1
0.0374337	1
-0.00451987	1
0.00431144	1
0.0166381	1
0.00956694	1
-0.00747079	1
0.0303231	1
-0.0039033	1
0.0200369	1
0.00178649	1
0.0132186	1
0.0148023	1
0.0414019	1
0.00121494	1
0.0165058	1
0.013012	1
0.0141834	1
0.0266652	1
0.0107	1
0.0296674	1
-0.00216828	1
0.00574666	1
0.0099707	1
0.0130287	1
-0.00031778	1
0.00759507	1
0.00549394	1
0.0140184	1
0.011596	1
0.0101455	1
0.0198726	1
0.033098	1
-0.0252108	1
0.00530867	1
0.00821733	1
0.0037437	1
-0.0217181	1
0.0117028	1
0.0103604	1
-0.0138152	1
-0.00132126	1
-0.0073353	1
1.80312e-05	1
0.00533883	1
0.0118664	1
0.00988974	1
-0.00845508	1
-0.0164692	1
0.0248354	1
0.0252979	1
0.0124253	1
0.00454028	1
-0.0160801	1
0.00208664	1
-0.0161532	1
0.013473	1
0.00944334	1
-0.00785511	1
0.0178843	1
0.0212105	1
0.0027137	1
0.00925281	1
-0.000557568	1
-0.00260001	1
0.0129502	1
0.0199261	1
-0.00907358	1
0.00843353	1
0.00252679	1
0.0403897	1
-0.0066174	1
0.00529867	1
-0.00728877	1
0.000608887	1
0.0271975	1
0.00927225	1
0.0044001	1
0.0044001	1
0.00101415	1
0.0143955	1
0.00038003	1
0.0143136	1
-0.00880892	1
0.0119938	1
-0.00401166	1
0.0203241	1
-0.0026601	1
0.0038754	1
-0.000822191	1
-0.0159461	1
0.0237744	1
0.0158406	1
-0.00112596	1
0.00133109	1
0.0297438	1
0.0238467	1
0.00216522	1
0.014279	1
0.0175262	1
-0.0238887	1
-0.0118039	1
-0.0141541	1
0.0116939	1
0.0116939	1
0.000970286	1
0.0115349	1
0.00955742	1
0.0132731	1
0.0238048	1
0.00932348	1
0.0056667	1
0.0156612	1
0.0154581	1
-0.0274139	1
0.0199717	1
0.00306581	1
0.0103509	1
-0.00053277	1
-0.00214857	1
0.0171107	1
-0.00492851	1
-0.00971697	1
0.0133884	1
0.000495338	1
-0.011874	1
0.0320755	1
0.0203678	1
0.00517912	1
-0.010098	1
0.0329701	1
-0.00690559	1
0.0198327	1
0.00721021	1
-0.0162698	1
0.00267925	1
0.0178637	1
0.0322884	1
0.0257629	1
0.00155714	1
-0.00778341	1
0.0340094	1
0.0215712	1
0.0353123	1
-0.00561532	1
0.0179102	1
0.00418714	1
0.0115636	1
0.0176282	1
0.0125102	1
0.0339635	1
-0.0200435	1
0.00552972	1
0.0075232	1
0.00752599	1
-0.00434262	1
-0.00314515	1
-0.00314515	1
0.0271253	1
-0.000528439	1
0.0227141	1
0.0056762	1
0.0103664	1
-0.00507738	1
0.00685651	1
0.0383368	1
0.0049333	1
0.00176827	1
0.00145918	1
0.0184436	1
0.016933	1
-0.0143493	1
-0.00551716	1
0.0168904	1
0.012325	1
-0.0311541	1
0.0207716	1
0.0378844	1
0.011353	1
0.0375099	1
0.00383306	1
0.037546	1
0.0029031	1
0.000430897	1
-0.00373366	1
0.016855	1
0.0108995	1
0.027632	1
0.00544635	1
0.0133266	1
0.0054106	1
-0.0104012	1
-0.017679	1
0.0244236	1
0.0252258	1
-0.00224788	1
-0.00129537	1
0.045048	1
0.0037832	1
0.0224714	1
0.026046	1
0.00645703	1
-0.0127728	1
0.0137989	1
0.012833	1
0.00037934	1
0.00564132	1
-0.0193417	1
-0.0111354	1
-0.00689825	1
-0.0342955	1
-0.00871857	1
-0.00103001	1
0.00696232	1
0.00141272	1
0.00908004	1
0.0136124	1
-0.00256755	1
0.00744778	1
0.00922788	1
-0.00165905	1
0.016863	1
-0.00101838	1
-0.0108763	1
-0.0129799	1
-0.00119407	1
0.0274851	1
0.00485602	1
0.0276773	1
-0.00329441	1
0.0124861	1
0.0176823	1
0.00891087	1
-0.0174214	1
-0.0106099	1
0.0178255	1
0.0144849	1
0.0193108	1
0.0249017	1
0.0226603	1
0.00894269	1
0.0216398	1
0.0121781	1
0.00678623	1
0.00544441	1
-0.00946898	1
0.00488334	1
0.00879051	1
-0.00315288	1
-0.00687128	1
0.0272547	1
0.0338273	1
-0.00788606	1
-0.0208966	1
0.0125396	1
0.0176027	1
-0.00368923	1
0.0245768	1
0.00706654	1
7.84005e-05	1
-0.00128691	1
0.00537318	1
0.0121596	1
0.00604586	1
0.0126137	1
0.00741726	1
-0.00258215	1
0.0270856	1
0.0199271	1
