"location","timepoint","CI_group","counts","effort"
"Location_1",2010,"Group_1",644,0.925408261638933
"Location_1",2011,"Group_1",626,0.953999277798971
"Location_1",2012,"Group_1",706,0.951515136766643
"Location_1",2013,"Group_1",730,0.939697321360266
"Location_1",2016,"Group_1",820,0.964806972318911
"Location_1",2017,"Group_1",917,1.01532700253744
"Location_1",2018,"Group_1",955,0.991594307409589
"Location_1",2020,"Group_1",1024,0.957707186687973
"Location_1",2021,"Group_1",1118,0.988571156878268
"Location_1",2022,"Group_1",1261,1.01346476058953
"Location_1",2023,"Group_1",1239,0.974970818922034
"Location_1",2024,"Group_1",1380,1.04040863956426
"Location_1",2025,"Group_1",1405,1.01277194191568
"Location_2",2010,"Group_1",618,1.01268568762071
"Location_2",2011,"Group_1",666,0.968469736552858
"Location_2",2012,"Group_1",753,1.00288705067225
"Location_2",2013,"Group_1",806,1.0849531656576
"Location_2",2016,"Group_1",888,0.956667068722904
"Location_2",2017,"Group_1",969,1.04463494450241
"Location_2",2018,"Group_1",961,0.991522797774502
"Location_2",2020,"Group_1",1039,0.960627876357362
"Location_2",2021,"Group_1",1245,1.06278043676083
"Location_2",2022,"Group_1",1143,1.01979439259787
"Location_2",2023,"Group_1",1236,1.01584970733589
"Location_2",2024,"Group_1",1219,0.950399787024326
"Location_2",2025,"Group_1",1409,1.00943503786386
"Location_3",2010,"Group_1",637,0.997013437679811
"Location_3",2011,"Group_1",744,1.08983131503596
"Location_3",2012,"Group_1",777,1.01904530297753
"Location_3",2013,"Group_1",822,0.998342790668153
"Location_3",2016,"Group_1",919,1.01282213448646
"Location_3",2017,"Group_1",872,0.967248051251099
"Location_3",2018,"Group_1",945,0.981124106539714
"Location_3",2020,"Group_1",1097,1.01343779555162
"Location_3",2021,"Group_1",1103,1.01316702670918
"Location_3",2022,"Group_1",1099,1.00792265518331
"Location_3",2023,"Group_1",1211,1.03141515329324
"Location_3",2024,"Group_1",1411,1.04807532134747
"Location_3",2025,"Group_1",1387,1.00960443544458
