"id" "id2" "b1" "b2" "g" "ig"
"1" 1001 101 156 795 "b" 729
"2" 1002 102 813 469 "a" 627
"3" 1003 103 950 978 "a" 959
"4" 1004 104 991 781 "a" 661
"5" 1005 105 613 759 "a" 819
"6" 1006 106 654 838 "b" 643
"7" 1007 107 640 645 "c" 12
"8" 1008 108 681 404 "a" 221
"9" 1009 109 530 823 "b" 321
"10" 1010 110 439 510 "c" 370
"11" 1011 111 601 893 "c" 719
"12" 1012 112 315 740 "c" 786
"13" 1013 113 314 207 "b" 38
"14" 1014 114 45 934 "c" 896
"15" 1015 115 314 265 "c" 363
"16" 1016 116 931 190 "a" 256
"17" 1017 117 285 544 "a" 938
"18" 1018 118 248 27 "c" 856
"19" 1019 119 560 805 "b" 105
"20" 1020 120 357 968 "c" 645
"21" 1021 121 612 337 "b" 157
"22" 1022 122 597 944 "c" 285
"23" 1023 123 571 732 "b" 708
"24" 1024 124 350 309 "a" 448
"25" 1025 125 274 31 "b" 990
"26" 1026 126 140 429 "a" 136
"27" 1027 127 767 380 "c" 341
"28" 1028 128 744 690 "b" 493
"29" 1029 129 255 868 "a" 867
"30" 1030 130 424 768 "a" 539
"31" 1031 131 270 72 "b" 426
"32" 1032 132 432 182 "a" 2
"33" 1033 133 992 969 "c" 862
"34" 1034 134 128 996 "b" 471
"35" 1035 135 158 404 "c" 306
"36" 1036 136 812 162 "a" 905
"37" 1037 137 96 382 "b" 9
"38" 1038 138 226 36 "a" 17
"39" 1039 139 200 219 "a" 423
"40" 1040 140 527 772 "b" 831
"41" 1041 141 70 551 "c" 932
"42" 1042 142 849 832 "a" 384
"43" 1043 143 524 773 "b" 501
"44" 1044 144 865 612 "b" 890
"45" 1045 145 340 232 "c" 451
"46" 1046 146 689 151 "a" 159
"47" 1047 147 845 891 "c" 975
"48" 1048 148 296 83 "b" 585
"49" 1049 149 404 454 "c" 63
"50" 1050 150 536 659 "b" 401
"51" 1051 151 443 52 "b" 367
"52" 1052 152 359 869 "a" 700
"53" 1053 153 293 820 "c" 432
"54" 1054 154 382 1000 "a" 506
"55" 1055 155 74 756 "b" 376
"56" 1056 156 152 250 "a" 575
"57" 1057 157 140 369 "b" 693
"58" 1058 158 253 631 "a" 204
"59" 1059 159 703 251 "a" 901
"60" 1060 160 932 613 "a" 301
"61" 1061 161 785 344 "a" 126
"62" 1062 162 242 86 "b" 939
"63" 1063 163 956 837 "b" 139
"64" 1064 164 51 957 "b" 697
"65" 1065 165 765 388 "a" 701
"66" 1066 166 765 443 "c" 370
"67" 1067 167 938 734 "a" 808
"68" 1068 168 194 384 "a" 192
"69" 1069 169 255 462 "b" 347
"70" 1070 170 453 179 "c" 982
"71" 1071 171 451 665 "b" 526
"72" 1072 172 463 246 "c" 720
"73" 1073 173 210 882 "a" 149
"74" 1074 174 325 968 "b" 842
"75" 1075 175 991 478 "a" 316
"76" 1076 176 203 267 "a" 971
"77" 1077 177 254 358 "b" 472
"78" 1078 178 298 305 "b" 977
"79" 1079 179 892 856 "b" 250
"80" 1080 180 420 960 "c" 146
"81" 1081 181 611 220 "a" 913
"82" 1082 182 269 159 "c" 245
"83" 1083 183 599 640 "c" 111
"84" 1084 184 267 660 "a" 888
"85" 1085 185 619 216 "c" 439
"86" 1086 186 238 704 "c" 571
"87" 1087 187 510 584 "c" 780
"88" 1088 188 797 349 "c" 664
"89" 1089 189 396 380 "a" 860
"90" 1090 190 358 627 "b" 773
"91" 1091 191 570 358 "a" 94
"92" 1092 192 431 360 "c" 409
"93" 1093 193 115 172 "a" 515
"94" 1094 194 321 874 "c" 91
"95" 1095 195 439 411 "c" 334
"96" 1096 196 642 691 "b" 605
"97" 1097 197 226 957 "c" 567
"98" 1098 198 210 974 "a" 393
"99" 1099 199 690 185 "c" 123
"100" 1100 200 362 972 "b" 875
