"kwh";"htdd";"cldd"
74,5;2038;0
64,1;1509;0
64,2;1289;0
60,6;638;13
61,8;269;37
73,1;61;134
85;18;179
81,3;12;116
70,3;222;51
70,1;520;0
70,9;1047;0
78,6;1572;0
82,6;1986;0
70,6;1471;0
72,7;1296;0
65;614;0
62;351;0
84,9;21;193
84,9;31;88
89,7;34;109
82,5;184;78
78,4;391;10
79;994;0
85,9;1504;0
93,1;1963;0
84,7;1649;0
80,8;1238;0
76,1;763;0
83,9;237;65
90,9;95;99
98,5;42;115
114,6;77;157
88;237;12
91,4;723;0
94,3;1090;0
103,6;1812;0
104,9;1654;0
89,5;1356;0
91,1;859;0
83,7;731;0
88,1;383;0
100;22;109
116,5;3;173
122,7;16;170
99,8;214;33
98,4;378;10
94,7;979;0
97,2;1676;0
102;1747;0
87,6;1488;0
90,7;1191;0
83,3;593;0
89,4;379;11
93,6;85;57
130,3;0;267
111,2;54;86
93,3;335;6
96,9;518;0
99,1;1020;0
105,9;1428;0
110,7;1687;0
100,4;1502;0
100,1;1474;0
95,3;819;0
99;213;60
110,7;65;125
143,6;21;247
131,5;8;172
102,6;296;16
104,5;412;11
103,1;890;0
117,4;1421;0
122,7;1751;0
107,4;1148;0
110,2;1107;0
96,7;507;8
98,9;307;0
119,8;24;111
144,1;1;246
143,7;28;162
118;244;32
114,5;770;0
120,4;1296;0
140,4;1860;0
143,6;2246;0
114,7;1310;0
111,4;876;0
105,3;402;16
115,4;98;73
124,4;40;87
152,5;1;226
130,6;65;60
119,6;155;23
116,4;589;0
121,7;1069;0
137,6;1702;0
146,4;2063;0
130,5;1714;0
123,5;1226;0
115,8;652;0
115,1;275;34
133,6;72;99
147;12;130
157,7;22;129
148,5;154;98
124,9;626;0
130,4;1159;0
144,1;1761;0
157,7;2238;0
143,6;1798;0
133,8;1283;0
128,8;737;0
124,5;346;19
130,5;34;105
153,6;0;218
157,5;51;148
135,1;133;50
131,3;586;0
142,6;1056;0
149,4;1302;0
154;1662;0
145,6;1564;0
142,43;1285;0
126,6;589;12
124,3;223;61
139,6;57;107
178,3;0;232
162,4;12;145
144,8;196;36
138,6;715;0
140,1;956;0
154,5;1535;0
158,9;1544;0
144,8;1285;0
138,4;981;0
130,8;538;0
129,1;331;0
145,1;46;66
179,5;23;158
172,8;29;100
150,8;255;11
147,1;673;0
146,1;941;0
161,9;1630;0
174,7;2084;0
157,7;1478;0
149,7;1215;0
145,2;779;0
143,3;178;23
144,2;140;27
182,8;0;225
190,8;52;148
158,3;193;47
157,5;503;0
157,3;1045;0
170,3;1298;0
173,2;1579;0
153,5;1241;0
162,1;1095;0
146,9;829;0
144,6;437;0
166,3;93;107
223,1;9;256
236,3;0;241
181,8;227;70
165,7;602;6
168,7;1017;0
199;2087;0
193,8;1762;0
174,1;1238;0
182,9;1389;0
158,8;651;0
165;413;0
186,8;43;65
207,3;25;102
238,8;20;178
175,6;305;20
183;510;0
181,9;1030;0
194,7;1533;0
