long,lat,species,,
-76.5815,3.5009,Bassaricyon neblina,,1
-75.4988,6.2083,Bassaricyon neblina,,3
-78.7491,-0.455,Bassaricyon neblina,,4
-76.1152,6.3753,Bassaricyon neblina,,7
-76.4453,1.927,Bassaricyon neblina,,8
-76.883,2.533,Bassaricyon neblina,,10
-78.9919,-0.61,Bassaricyon neblina,,11
-76.7999,2.4548,Bassaricyon neblina,,12
-79,-0.417,Bassaricyon neblina,,13
-76.4413,4.0488,Bassaricyon neblina,,15
-75.8891,5.9958,Bassaricyon neblina,,17
-78.4218,0.3717,Bassaricyon neblina,,20
-78.7372,-0.0144,Bassaricyon neblina,,21
-75.5456,6.1053,Bassaricyon neblina,,22
-75.6491,6.0444,Bassaricyon neblina,,24
-75.2833,6.75,Bassaricyon neblina,,25
-76.109479,5.247675,Bassaricyon neblina,,29
-75.69908,5.575333,Bassaricyon neblina,,30
