long,lat,species
-76.5815,3.5009,Bassaricyon neblina
-76.865,2.5996,Bassaricyon neblina
-75.4988,6.2083,Bassaricyon neblina
-78.7491,-0.455,Bassaricyon neblina
-76.0915,6.333,Bassaricyon neblina
-76.0915,6.3688,Bassaricyon neblina
-76.1152,6.3753,Bassaricyon neblina
-76.4453,1.927,Bassaricyon neblina
-76.928,2.5495,Bassaricyon neblina
-76.883,2.533,Bassaricyon neblina
-78.9919,-0.61,Bassaricyon neblina
-76.7999,2.4548,Bassaricyon neblina
-79,-0.417,Bassaricyon neblina
-78.983,-0.583,Bassaricyon neblina
-76.4413,4.0488,Bassaricyon neblina
-78.684,-0.021,Bassaricyon neblina
-75.8891,5.9958,Bassaricyon neblina
-78.712,0.0226,Bassaricyon neblina
-78.6883,-0.0002,Bassaricyon neblina
-78.4218,0.3717,Bassaricyon neblina
-78.7372,-0.0144,Bassaricyon neblina
-75.5456,6.1053,Bassaricyon neblina
-75.4845,6.116,Bassaricyon neblina
-75.6491,6.0444,Bassaricyon neblina
-75.2833,6.75,Bassaricyon neblina
-75.495311,6.174401,Bassaricyon neblina
-75.557056,6.151083,Bassaricyon neblina
-75.551761,6.141703,Bassaricyon neblina
-76.109479,5.247675,Bassaricyon neblina
-75.69908,5.575333,Bassaricyon neblina
