scientificName,scientificNameGenBank,class,order,family,genus,dbid,gbAccession,gene,length,organelle,catalogNumber,country,publishedAs,publishedIn,publishedBy,date,decimalLatitude,decimalLongitude
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684375,MZ504486.1,coi,659,mitochondrion,1614,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684465,MZ504531.1,coi,699,mitochondrion,17578,Brazil: Maués-Açu- Amazonas,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.4491,-57.735325
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684523,MZ504560.1,coi,627,mitochondrion,1616,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684453,MZ504525.1,coi,612,mitochondrion,1194,Brazil: Paru- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.501489,-52.682106
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684611,MZ504604.1,coi,552,mitochondrion,2748,Brazil: Santa Izabel- Araguaia Pará-Tocantins,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684405,MZ504501.1,coi,654,mitochondrion,1610,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684521,MZ504559.1,coi,627,mitochondrion,1615,Brazil: Tapajós- Jacareacanga- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.276008,-57.739997
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684411,MZ504504.1,coi,651,mitochondrion,455,"Brazil: Araguaia,Pará-Tocantins",Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-6.148939,-48.360739
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684427,MZ504512.1,coi,666,mitochondrion,24030,Brazil: Xingu- Favânia-Belo Monte- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-3.092222,-51.737222
Geophagus_altifrons,Geophagus altifrons,Teleostei,Cichliformes,Cichlidae,Geophagus,2063684495,MZ504546.1,coi,609,mitochondrion,17454,Brazil: Tocantins- Limoeiro_Baía do Marapatá- Pará,Mapping the hidden diversity of the Geophagus sensu stricto species group (Cichlidae: Geophagini) from the Amazon basin,Unpublished,"Ximenes,A.M.",25-OCT-2021,-1.895453,-49.355981
