dist_name;class;implemented;moment_funs;type_limits;l_limit;u_limit;type
BB;gamlss;FALSE;FALSE;both_limits;0;10;Discrete
BCCG;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BCCGo;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BCPE;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BCPEo;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BCT;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BCTo;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
BE;gamlss;TRUE;TRUE;both_limits;0;1;Continuous
BEINF;gamlss;TRUE;TRUE;both_limits;0;1;Mixed
BEINF0;gamlss;TRUE;FALSE;both_limits;0;1;Mixed
BEINF1;gamlss;TRUE;FALSE;both_limits;0;1;Mixed
BEo;gamlss;FALSE;FALSE;both_limits;0;1;Continuous
BEOI;gamlss;TRUE;FALSE;both_limits;0;1;Mixed
BEZI;gamlss;TRUE;FALSE;both_limits;0;1;Mixed
BI;gamlss;TRUE;FALSE;both_limits;0;1;Discrete
BNB;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
DBI;gamlss;FALSE;FALSE;NA;NA;NA;Discrete
DEL;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
DPO;gamlss;TRUE;FALSE;one_limit;0;NA;Discrete
EGB2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
exGAUS;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
EXP;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
GA;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
GB1;gamlss;TRUE;FALSE;both_limits;0;1;Continuous
GB2;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
GEOM;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
GEOMo;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
GG;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
GIG;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
GP;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
GPO;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
GT;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
GU;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
IG;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
IGAMMA;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
JSU;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
JSUo;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
LG;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
LNO;gamlss;FALSE;FALSE;one_limit;0;NA;Continuous
LO;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
LOGITNO;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
LOGNO;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
LOGNO2;gamlss;TRUE;FALSE;one_limit;0;NA;Continuous
LQNO;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
MN3;gamlss;FALSE;FALSE;NA;NA;NA;Categorical
MN4;gamlss;FALSE;FALSE;NA;NA;NA;Categorical
MN5;gamlss;FALSE;FALSE;NA;NA;NA;Categorical
NBF;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
NBI;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
NBII;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
NET;gamlss;FALSE;FALSE;NA;NA;NA;Continuous
NO;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
NO2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
NOF;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
PARETO2;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
PARETO2o;gamlss;TRUE;TRUE;one_limit;0;NA;Continuous
PE;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
PE2;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
PIG;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
PO;gamlss;TRUE;TRUE;one_limit;0;NA;Discrete
RG;gamlss;TRUE;TRUE;no_limits;NA;NA;Continuous
RGE;gamlss;FALSE;FALSE;NA;NA;NA;Continuous
SEP;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
SEP1;gamlss;TRUE;FALSE;no_limits;NA;NA;Continuous
