color,hex
magenta,#c20078
cerulean,#0485d1
goldenrod,#fac205
kelly green,#02ab2e
pinkish red,#f10c45
burnt orange,#c04e01
purple,#7e1e9c
light blue,#95d0fc
dull yellow,#eedc5b
light green,#96f97b
orange,#f97306
cornflower blue,#5170d7
light purple,#bf77f6
hot pink,#ff028d
yellow,#ffff14
periwinkle,#8e82fe
salmon,#ff796c
pink,#ff81c0
indigo,#380282
royal blue,#0504aa
tan,#d1b26f
pale green,#c7fdb5
light orange,#fdaa48
teal,#029386
dark purple,#35063e
sky blue,#75bbfd
mustard,#ceb301
forest green,#06470c
amber,#feb308
maroon,#650021
lime,#aaff32
cyan,#00ffff
light brown,#ad8150
olive,#6e750e
peach,#ffb07c
dark pink,#cb416b
lilac,#cea2fd
aqua,#13eac9
dark blue,#00035b
greenish,#40a368
lavender,#c79fef
cerise,#de0c62
violet,#9a0eea
faded pink,#de9dac
navy blue,#001146
sea green,#53fca1
lime green,#89fe05
light pink,#ffd1df
brown,#653700
rose,#cf6275
bright blue,#0165fc
neon green,#0cff0c
aquamarine,#04d8b2
plum,#580f41
grass green,#3f9b0b
pale blue,#d0fefe
dark red,#840000
bright purple,#be03fd
yellow green,#c0fb2d
baby blue,#a2cffe
navy,#01153e
gold,#dbb40c
mint green,#8fff9f
royal purple,#4b006e
brick red,#8f1402
dark teal,#014d4e
green,#15b01a
burgundy,#610023
khaki,#aaa662
blue green,#137e6d
seafoam green,#7af9ab
puke green,#9aae07
pea green,#8eab12
taupe,#b9a281
dark brown,#341c02
deep purple,#36013f
chartreuse,#c1f80a
bright pink,#fe01b1
turquoise,#06c2ac
mint,#9ffeb0
pastel green,#b0ff9d
sand,#e2ca76
dark orange,#c65102
spring green,#a9f971
puce,#a57e52
seafoam,#80f9ad
grey blue,#6b8ba4
army green,#4b5d16
dark grey,#363737
dark yellow,#d5b60a
macaroni and cheese,#efb435
slate,#516572
light teal,#90e4c1
rust,#a83c09
deep blue,#040273
pale pink,#ffcfdc
grey,#929591
light red,#ff474c
mustard yellow,#d2bd0a
ochre,#bf9005
pale yellow,#ffff84
crimson,#8c000f
fuchsia,#ed0dd9
hunter green,#0b4008
blue grey,#607c8e
slate blue,#5b7c99
pale purple,#b790d4
sea blue,#047495
pinkish purple,#d648d7
puke,#a5a502
light grey,#d8dcd6
leaf green,#5ca904
light yellow,#fffe7a
eggplant,#380835
steel blue,#5a7d9a
moss green,#658b38
robin's egg blue,#98eff9
white,#ffffff
grey green,#789b73
sage,#87ae73
brick,#a03623
burnt sienna,#b04e0f
reddish brown,#7f2b0a
cream,#ffffc2
coral,#fc5a50
ocean blue,#03719c
olive green,#677a04
dark magenta,#960056
red orange,#fd3c06
bluish purple,#703be7
midnight blue,#020035
light violet,#d6b4fc
dusty rose,#c0737a
medium blue,#2c6fbb
greenish yellow,#cdfd02
yellowish green,#b0dd16
purplish blue,#601ef9
greyish blue,#5e819d
red,#e50000
grape,#6c3461
light olive,#acbf69
bright red,#ff000d
blue,#0343df
azure,#069af3
blue purple,#5729ce
dark turquoise,#045c5a
electric blue,#0652ff
off white,#ffffe4
powder blue,#b1d1fc
wine,#80013f
dull green,#74a662
apple green,#76cd26
light turquoise,#7ef4cc
neon purple,#bc13fe
cobalt,#1e488f
pinkish,#d46a7e
olive drab,#6f7632
dark cyan,#0a888a
purple blue,#632de9
dark violet,#34013f
dark lavender,#856798
forrest green,#154406
vomit,#a2a415
pale orange,#ffa756
greenish blue,#0b8b87
dark tan,#af884a
green blue,#06b48b
bluish green,#10a674
pastel blue,#a2bffe
moss,#769958
grass,#5cac2d
deep pink,#cb0162
blood red,#980002
sage green,#88b378
aqua blue,#02d8e9
terracotta,#ca6641
pastel purple,#caa0ff
sienna,#a9561e
dark olive,#373e02
green yellow,#c9ff27
scarlet,#be0119
greyish green,#82a67d
chocolate,#3d1c02
blue violet,#5d06e9
cornflower,#6a79f7
baby pink,#ffb7ce
charcoal,#343837
pine green,#0a481e
pumpkin,#e17701
greenish brown,#696112
red brown,#8b2e16
brownish green,#6a6e09
tangerine,#ff9408
salmon pink,#fe7b7c
aqua green,#12e193
raspberry,#b00149
greyish purple,#887191
rose pink,#f7879a
neon pink,#fe019a
cobalt blue,#030aa7
orange brown,#be6400
deep red,#9a0200
orange red,#fd411e
dirty yellow,#cdc50a
orchid,#c875c4
reddish pink,#fe2c54
reddish purple,#910951
yellow orange,#fcb001
light cyan,#acfffc
sky,#82cafc
light magenta,#fa5ff7
pale red,#d9544d
emerald,#01a049
dark beige,#ac9362
ugly green,#7a9703
jade,#1fa774
greenish grey,#96ae8d
dark salmon,#c85a53
purplish pink,#ce5dae
dark aqua,#05696b
brownish orange,#cb7723
light olive green,#a4be5c
light aqua,#8cffdb
clay,#b66a50
medium green,#39ad48
burnt umber,#a0450e
dull blue,#49759c
pale brown,#b1916e
emerald green,#028f1e
brownish,#9c6d57
mud,#735c12
dark rose,#b5485d
brownish red,#9e3623
pink purple,#db4bda
pinky purple,#c94cbe
camo green,#526525
faded green,#7bb274
dusty pink,#d58a94
purple pink,#e03fd8
vomit green,#89a203
deep green,#02590f
reddish orange,#f8481c
mahogany,#4a0100
aubergine,#3d0734
dull pink,#d5869d
evergreen,#05472a
dark sky blue,#448ee4
very light green,#d1ffbd
pastel pink,#ffbacd
grey purple,#826d8c
very light blue,#d5ffff
dark mauve,#874c62
cadet blue,#4e7496
ice blue,#d7fffe
light tan,#fbeeac
dirty green,#667e2c
neon blue,#04d9ff
wine red,#7b0323
chocolate brown,#411900
dull purple,#84597e
yellow brown,#b79400
denim,#3b638c
eggshell,#ffffd4
jungle green,#048243
dark peach,#de7e5d
poop,#7f5e00
umber,#b26400
light lavender,#dfc5fe
bright yellow,#fffd01
golden yellow,#fec615
dusty blue,#5a86ad
electric green,#21fc0d
lighter green,#75fd63
slate grey,#59656d
teal green,#25a36f
marine blue,#01386a
avocado,#90b134
terra cotta,#c9643b
dusty purple,#825f87
light maroon,#a24857
reddish,#c44240
dark lilac,#9c6da5
dark periwinkle,#665fd1
bluish grey,#748b97
puke yellow,#c2be0e
purplish,#94568c
ultramarine,#2000b1
barney purple,#a00498
forest,#0b5509
pea soup,#929901
brownish yellow,#c9b003
