Y,Injury,HuntYrs,Nonres,Lspman,Lnong,Gender,Age,Race,Marital,Edu,Inc,TownPop,FishYrs
1,0,32,0,1,0,1,38,1,1,10,80,0.1,30
0,0,5,0,1,0,0,40,1,1,16,40,1,5
0,0,40,0,1,0,1,52,1,1,16,80,25,40
0,0,50,0,0,0,1,57,1,0,14,80,0.1,50
0,0,8,0,1,0,1,24,1,0,12,40,1,10.2
0,2,34,0,1,0,1,41,1,1,16,40,5,34
0,0,22,0,0,0,1,30,1,0,14,80,5,22
0,0,48,0,1,0,1,57,1,1,14,40,1,48
0,0,35,0,1,0,1,53,1,0,12,40,75,40
0,0,50,0,0,0,1,62,1,1,12,80,0.1,50
0,0,15,0,0,0,1,28,1,1,12,10,2.5,15
0,0,10,0,1,0,1,42,1,1,16,80,1,10
0,0,30,1,0,1,1,36,1,1,16,80,2.5,30
0,0,50,1,0,0,1,64,1,1,16,120,2.5,50
0,0,25,0,1,0,1,41,1,1,12,40,1,30
0,0,20,0,0,0,1,37,1,1,16,80,0.1,20
0,0,40,0,1,0,1,49,1,1,16,80,25,48
0,0,34,0,1,0,1,34,1,1,10,40,1,34
0,0,15,0,0,0,1,55,0,0,6,80,2.5,25
1,0,12,1,0,1,1,41,1,1,12,40,100,10.2
0,0,30,0,1,0,1,40,1,1,12,80,2.5,33
0,0,50,1,0,1,1,60,0,1,14,80,100,50
0,0,15,0,1,0,1,28,1,1,16,40,0.1,15
0,0,50,0,1,0,1,18,1,1,10,10,0.1,50
1,0,45,0,1,0,1,58,1,1,16,80,2.5,45
0,0,15,0,0,0,1,26,1,0,16,40,1,10.2
1,0,25,0,0,0,1,28,1,1,12,40,2.5,25
0,0,50,0,1,0,1,60,1,1,12,80,1,50
0,0,30,0,1,0,1,47,1,1,14,80,5,30
0,0,25,0,1,0,1,47,1,1,16,120,0.1,25
0,0,28,0,0,0,1,46,0,1,12,80,2.5,15
0,0,30,0,1,0,1,40,1,1,14,80,1,35
0,0,10.2,0,1,0,1,25,1,0,14,40,25,12
0,0,5,0,1,0,0,38,1,1,16,80,0.1,10.2
1,0,20,0,1,0,1,33,1,1,12,40,1,20
0,0,40,0,1,0,1,55,0,1,12,10,1,40
0,0,35,0,0,0,1,47,1,0,12,40,0.1,35
0,0,25,0,0,0,1,46,0,0,12,80,0.1,25
0,0,30,0,0,0,1,61,0,1,14,40,5,30
0,0,18,0,1,0,1,27,1,1,16,40,1,23
0,0,45,0,0,0,1,62,1,1,16,80,5,45
0,0,44,0,1,0,1,54,1,1,16,40,1,44
1,0,40,0,1,0,1,48,1,1,14,80,1,40
0,0,7,0,0,0,1,51,1,1,14,80,25,10.2
0,0,50,0,1,0,1,60,1,1,12,40,1,50
0,0,40,0,1,0,1,48,1,1,10,40,25,40
1,0,7,0,1,0,0,36,1,0,12,40,1,36
1,0,10,1,0,1,1,51,1,1,16,80,2.5,10
0,0,40,0,1,0,1,52,0,1,10,80,1,45
0,0,25,0,1,0,1,45,1,1,12,40,1,40
0,0,30,0,1,0,1,37,1,1,14,40,0.1,35
1,0,10.1,0,0,0,1,62,1,1,14,10,25,10.1
0,0,30,1,0,1,1,44,1,1,12,120,1,37
0,0,40,0,1,0,1,47,1,1,12,80,1,40
1,0,38,0,0,0,1,21,1,1,12,40,2.5,43
0,0,48,0,1,0,1,58,1,1,14,40,25,44
0,0,40,0,0,0,1,67,1,0,16,120,0.1,40
0,0,8,0,1,0,1,18,1,0,10,80,75,8
0,0,17,0,0,0,1,27,1,1,12,80,1,17
0,0,37,0,0,0,1,41,1,1,14,40,1,37
0,0,30,0,1,0,1,50,1,1,12,120,0.1,30
0,0,25,0,0,0,1,58,1,1,12,40,1,25
1,0,21,0,0,0,1,59,1,1,16,80,100,10.2
0,0,51,0,1,0,1,57,1,1,14,80,25,51
1,0,49,0,1,0,1,54,1,1,14,40,1,49
0,0,35,0,1,0,1,40,1,1,12,40,1,35
0,0,33,0,1,0,1,33,1,1,14,120,5,33
0,0,10,0,1,0,1,31,1,1,10,80,25,20
0,0,3,0,0,0,1,39,1,1,16,80,25,3
0,0,30,0,1,0,1,44,1,1,14,80,5,0
0,0,21,0,1,0,1,38,1,0,10,40,1,3
0,0,5,0,1,0,1,31,1,1,14,40,2.5,10.2
0,0,10.2,0,1,0,1,35,1,1,14,80,5,28
0,0,20,1,0,1,1,35,1,0,12,40,5,25
0,0,10.1,0,0,0,1,66,1,1,10,80,2.5,10.1
0,0,30,0,1,0,1,34,1,1,12,80,0.1,30
0,0,10.2,0,0,0,0,50,1,1,14,80,75,10.2
0,0,25,0,0,0,1,29,1,1,12,40,0.1,25
0,0,40,0,0,0,1,62,1,1,12,40,0.1,40
1,0,34,0,1,0,1,45,1,1,16,80,5,34
0,0,20,0,1,0,1,30,1,0,16,80,25,20
0,0,8,0,0,0,1,22,1,0,10,10,5,15
0,0,38,0,0,0,1,46,1,1,12,40,1,38
0,0,40,0,0,0,1,51,1,1,14,80,1,40
0,0,50,0,1,0,1,57,1,0,14,40,25,50
0,0,40,0,1,0,1,28,1,1,16,80,1,40
1,0,31,0,1,0,1,56,1,1,12,40,0.1,45
0,0,25,0,1,0,1,42,1,1,12,40,1,25
0,0,7,0,1,0,1,42,0,0,6,40,2.5,16
1,0,40,0,0,0,1,56,1,1,16,80,0.1,35
0,0,15,0,1,0,1,21,1,1,12,40,1,15
0,0,10,0,1,0,0,51,1,1,14,80,1,25
1,0,50,0,0,0,1,63,1,1,12,120,100,50
