VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0083
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  05/04/2023 08:12:47.064,   1.339186e+02,   9.904065e-02,  -1.000000e-02,   1.779789e-18,   6.563488e+03,   4.894045e+00,   1.339186e+02,   9.904065e-02,   6.563488e+03,   4.894045e+00,   1.390766e+02,   2.231776e-02,   1.389405e+01,   1.205087e-03,   1.317511e+01,   4.440673e-02,   1.010457e+01,   7.101365e-03,   7.191961e+00,   1.897946e-03,              3,              0,               
  05/04/2023 08:13:06.603,   1.341110e+02,   8.223016e-02,   5.628055e-01,   2.561664e+00,   6.572656e+03,   4.117063e+00,   1.341110e+02,   8.225150e-02,   6.572660e+03,   4.115885e+00,   1.390845e+02,   2.294514e-02,   1.389755e+01,   8.363703e-04,   1.320489e+01,   9.825031e-03,   1.010716e+01,   3.601356e-03,   7.193392e+00,   2.227432e-03,              3,              0,               
  05/04/2023 08:13:26.142,   1.342729e+02,   9.072513e-02,  -1.000000e-02,   1.779789e-18,   6.577684e+03,   3.089963e+00,   1.342729e+02,   9.072513e-02,   6.577684e+03,   3.089963e+00,   1.390857e+02,   1.868394e-02,   1.390094e+01,   1.159476e-03,   1.320379e+01,   6.257353e-03,   1.010806e+01,   3.818470e-03,   7.192896e+00,   1.750306e-03,              3,              0,               
  05/04/2023 08:13:45.681,   1.345229e+02,   9.503549e-02,   2.367419e+00,   1.063214e+01,   6.585288e+03,   5.048095e+00,   1.345232e+02,   9.498023e-02,   6.585304e+03,   5.047484e+00,   1.390831e+02,   1.878991e-02,   1.390516e+01,   1.407147e-03,   1.320567e+01,   7.954803e-03,   1.010518e+01,   4.877327e-03,   7.191883e+00,   2.968799e-03,              3,              0,               
  05/04/2023 08:14:05.221,   1.347007e+02,   8.392780e-02,  -1.000000e-02,   1.779789e-18,   6.591147e+03,   3.819471e+00,   1.347007e+02,   8.392780e-02,   6.591146e+03,   3.819471e+00,   1.390838e+02,   1.876534e-02,   1.390894e+01,   1.211473e-03,   1.321892e+01,   7.749837e-03,   1.010639e+01,   2.270689e-03,   7.192305e+00,   2.859441e-03,              3,              0,               
  05/04/2023 08:14:24.760,   1.349413e+02,   8.274778e-02,   1.035050e-01,   5.076097e-01,   6.598053e+03,   4.149922e+00,   1.349413e+02,   8.273544e-02,   6.598054e+03,   4.149162e+00,   1.390836e+02,   2.300834e-02,   1.391228e+01,   1.180994e-03,   1.321686e+01,   5.844716e-03,   1.010502e+01,   3.458446e-03,   7.192298e+00,   2.500307e-03,              3,              0,               
  05/04/2023 08:14:44.299,   1.350927e+02,   9.456454e-02,  -1.000000e-02,   1.779789e-18,   6.604430e+03,   4.067407e+00,   1.350927e+02,   9.456454e-02,   6.604430e+03,   4.067407e+00,   1.390830e+02,   1.767580e-02,   1.391550e+01,   1.015844e-03,   1.323162e+01,   5.551894e-03,   1.010705e+01,   3.061063e-03,   7.192337e+00,   1.740292e-03,              3,              0,               
  05/04/2023 08:15:03.839,   1.353471e+02,   7.582398e-02,  -1.000000e-02,   1.779789e-18,   6.611736e+03,   3.849367e+00,   1.353471e+02,   7.582398e-02,   6.611736e+03,   3.849367e+00,   1.390854e+02,   2.144582e-02,   1.391814e+01,   1.033349e-03,   1.323029e+01,   4.237180e-03,   1.010465e+01,   3.070053e-03,   7.192253e+00,   2.367371e-03,              3,              0,               
  05/04/2023 08:15:23.378,   1.355400e+02,   8.164110e-02,  -1.000000e-02,   1.779789e-18,   6.618664e+03,   3.238083e+00,   1.355400e+02,   8.164110e-02,   6.618664e+03,   3.238083e+00,   1.390808e+02,   2.190466e-02,   1.392219e+01,   1.292119e-03,   1.323991e+01,   8.307877e-03,   1.010574e+01,   3.723094e-03,   7.192660e+00,   2.040852e-03,              3,              0,               
  05/04/2023 08:15:42.917,   1.357186e+02,   7.919584e-02,  -1.000000e-02,   1.779789e-18,   6.625892e+03,   3.648337e+00,   1.357186e+02,   7.919584e-02,   6.625892e+03,   3.648337e+00,   1.390867e+02,   1.899222e-02,   1.392584e+01,   1.209580e-03,   1.325290e+01,   4.107628e-03,   1.010737e+01,   3.019821e-03,   7.191930e+00,   1.989055e-03,              3,              0,               
  05/04/2023 08:16:02.457,   1.359216e+02,   9.293388e-02,   4.841972e-01,   2.210117e+00,   6.631304e+03,   3.275844e+00,   1.359217e+02,   9.287803e-02,   6.631307e+03,   3.270080e+00,   1.390819e+02,   1.926479e-02,   1.392937e+01,   9.240329e-04,   1.325503e+01,   4.750739e-03,   1.010744e+01,   3.546655e-03,   7.192821e+00,   2.245480e-03,              3,              0,               
  05/04/2023 08:16:21.995,   1.361295e+02,   8.180211e-02,  -1.000000e-02,   1.779789e-18,   6.637095e+03,   4.558354e+00,   1.361295e+02,   8.180211e-02,   6.637095e+03,   4.558354e+00,   1.390836e+02,   2.026789e-02,   1.393305e+01,   8.087909e-04,   1.326493e+01,   6.403313e-03,   1.010613e+01,   3.784582e-03,   7.192529e+00,   2.549323e-03,              3,              0,               
  05/04/2023 08:16:41.535,   1.363421e+02,   1.168763e-01,  -1.000000e-02,   1.779789e-18,   6.645320e+03,   3.559211e+00,   1.363421e+02,   1.168763e-01,   6.645320e+03,   3.559211e+00,   1.390732e+02,   2.153640e-02,   1.393599e+01,   4.979843e-04,   1.323991e+01,   2.917494e-02,   1.010359e+01,   5.395190e-03,   7.191657e+00,   2.095472e-03,              3,              0,               
