"2024-07-01 at 11:16"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	H₂O_(mmol_mol⁻¹)	H₂O_(°C)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	H₂O_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2024-07-01	11:16:43	4.19765e2	1.44608e1	1.26817e1	5.14769e1	1.01801e2	9.7558794e-2	9.6321697e-2	2.0121445e1	7.1574015e-1	
2024-07-01	11:16:43	4.19967e2	1.44839e1	1.27080e1	5.14736e1	1.01813e2	9.7605466e-2	9.6439304e-2	2.0127320e1	7.0536355e-1	
2024-07-01	11:16:44	4.17150e2	1.44778e1	1.27004e1	5.14736e1	1.01806e2	9.7129402e-2	9.6404733e-2	2.0115571e1	7.1629571e-1	
2024-07-01	11:16:44	4.18485e2	1.44604e1	1.26823e1	5.14802e1	1.01808e2	9.7352027e-2	9.6325283e-2	2.0117249e1	7.1155734e-1	
2024-07-01	11:16:45	4.19874e2	1.44572e1	1.26788e1	5.14802e1	1.01807e2	9.7582101e-2	9.6309776e-2	2.0121445e1	7.1277289e-1	
2024-07-01	11:16:45	4.19874e2	1.44572e1	1.26788e1	5.14802e1	1.01807e2	9.7582101e-2	9.6309776e-2	2.0121445e1	7.1277289e-1	
2024-07-01	11:16:46	4.18921e2	1.44729e1	1.26940e1	5.14769e1	1.01798e2	9.7415742e-2	9.6374692e-2	2.0127320e1	7.1457362e-1	
2024-07-01	11:16:46	4.17813e2	1.44840e1	1.27076e1	5.14835e1	1.01810e2	9.7241582e-2	9.6434774e-2	2.0129837e1	7.0603485e-1	
2024-07-01	11:16:47	4.16722e2	1.44645e1	1.26862e1	5.14868e1	1.01805e2	9.7053947e-2	9.6339998e-2	2.0117249e1	7.1608276e-1	
2024-07-01	11:16:47	4.17655e2	1.44656e1	1.26878e1	5.14835e1	1.01807e2	9.7212610e-2	9.6348104e-2	2.0124802e1	7.1112318e-1	
2024-07-01	11:16:48	4.18548e2	1.44696e1	1.26922e1	5.14835e1	1.01809e2	9.7363176e-2	9.6367721e-2	2.0126481e1	7.1254835e-1	
2024-07-01	11:16:48	4.18548e2	1.44696e1	1.26922e1	5.14835e1	1.01809e2	9.7363176e-2	9.6367721e-2	2.0126481e1	7.1254835e-1	
2024-07-01	11:16:49	4.16690e2	1.44557e1	1.26762e1	5.14802e1	1.01800e2	9.7045602e-2	9.6296901e-2	2.0118927e1	7.1526288e-1	
2024-07-01	11:16:49	4.16556e2	1.44736e1	1.26968e1	5.14769e1	1.01812e2	9.7035703e-2	9.6390008e-2	2.0123963e1	7.0508527e-1	
2024-07-01	11:16:50	4.15007e2	1.44695e1	1.26913e1	5.14736e1	1.01803e2	9.6769094e-2	9.6364498e-2	2.0114731e1	7.1653642e-1	
2024-07-01	11:16:50	4.18367e2	1.44575e1	1.26789e1	5.14769e1	1.01805e2	9.7330627e-2	9.6310558e-2	2.0123963e1	7.1167497e-1	
2024-07-01	11:16:51	4.20428e2	1.44601e1	1.26819e1	5.14835e1	1.01806e2	9.7672939e-2	9.6322240e-2	2.0127320e1	7.1176395e-1	
2024-07-01	11:16:51	4.20428e2	1.44601e1	1.26819e1	5.14835e1	1.01806e2	9.7672939e-2	9.6322240e-2	2.0127320e1	7.1176395e-1	
2024-07-01	11:16:52	4.21004e2	1.44617e1	1.26825e1	5.14769e1	1.01800e2	9.7763175e-2	9.6324625e-2	2.0116410e1	7.1466135e-1	
2024-07-01	11:16:52	4.17923e2	1.44579e1	1.26798e1	5.14769e1	1.01808e2	9.7259578e-2	9.6314964e-2	2.0128998e1	7.0566344e-1	
2024-07-01	11:16:53	4.18431e2	1.44584e1	1.26800e1	5.14769e1	1.01806e2	9.7342433e-2	9.6315565e-2	2.0122284e1	7.1551961e-1	
2024-07-01	11:16:53	4.19059e2	1.44591e1	1.26804e1	5.14802e1	1.01804e2	9.7443819e-2	9.6315803e-2	2.0125641e1	7.1105661e-1	
2024-07-01	11:16:54	4.18965e2	1.44569e1	1.26785e1	5.14802e1	1.01807e2	9.7430820e-2	9.6308288e-2	2.0118088e1	7.1294469e-1	
2024-07-01	11:16:54	4.18965e2	1.44569e1	1.26785e1	5.14802e1	1.01807e2	9.7430820e-2	9.6308288e-2	2.0118088e1	7.1294469e-1	
2024-07-01	11:16:55	4.18723e2	1.44529e1	1.26730e1	5.14802e1	1.01799e2	9.7382602e-2	9.6282844e-2	2.0121445e1	7.1474146e-1	
2024-07-01	11:16:55	4.15266e2	1.44632e1	1.26858e1	5.14769e1	1.01811e2	9.6819458e-2	9.6341791e-2	2.0119767e1	7.0549612e-1	
2024-07-01	11:16:56	4.15496e2	1.44554e1	1.26765e1	5.14769e1	1.01803e2	9.6850280e-2	9.6299409e-2	2.0122284e1	7.1545271e-1	
2024-07-01	11:16:56	4.18265e2	1.44559e1	1.26771e1	5.14769e1	1.01804e2	9.7312746e-2	9.6302452e-2	2.0119767e1	7.1071214e-1	
2024-07-01	11:16:57	4.16457e2	1.44654e1	1.26877e1	5.14769e1	1.01809e2	9.7015800e-2	9.6349601e-2	2.0120606e1	7.1220722e-1	
2024-07-01	11:16:57	4.16457e2	1.44654e1	1.26877e1	5.14769e1	1.01809e2	9.7015800e-2	9.6349601e-2	2.0120606e1	7.1220722e-1	
2024-07-01	11:16:58	4.15874e2	1.44570e1	1.26774e1	5.14769e1	1.01798e2	9.6908273e-2	9.6302213e-2	2.0116410e1	7.1545572e-1	
2024-07-01	11:16:58	4.18179e2	1.44673e1	1.26902e1	5.14769e1	1.01811e2	9.7305297e-2	9.6360864e-2	2.0131516e1	7.0277523e-1	
2024-07-01	11:16:59	4.18055e2	1.44675e1	1.26893e1	5.14769e1	1.01804e2	9.7277221e-2	9.6355142e-2	2.0114731e1	7.1528158e-1	
2024-07-01	11:16:59	4.18513e2	1.44548e1	1.26760e1	5.14769e1	1.01805e2	9.7354831e-2	9.6297979e-2	2.0123124e1	7.1301212e-1	
2024-07-01	11:17:00	4.18713e2	1.44552e1	1.26766e1	5.14802e1	1.01806e2	9.7388086e-2	9.6300067e-2	2.0121445e1	7.1134548e-1	
2024-07-01	11:17:00	4.18713e2	1.44552e1	1.26766e1	5.14802e1	1.01806e2	9.7388086e-2	9.6300067e-2	2.0121445e1	7.1134548e-1	
2024-07-01	11:17:01	4.20324e2	1.44565e1	1.26775e1	5.14802e1	1.01803e2	9.7653207e-2	9.6303281e-2	2.0118088e1	7.1340727e-1	
2024-07-01	11:17:01	4.18006e2	1.44447e1	1.26664e1	5.14736e1	1.01812e2	9.7277641e-2	9.6258277e-2	2.0125641e1	7.0561909e-1	
2024-07-01	11:17:02	4.21721e2	1.44509e1	1.26721e1	5.14769e1	1.01806e2	9.7888288e-2	9.6280994e-2	2.0114731e1	7.1508784e-1	
2024-07-01	11:17:02	4.19644e2	1.44420e1	1.26629e1	5.14802e1	1.01808e2	9.7544908e-2	9.6240997e-2	2.0123124e1	7.1049642e-1	
2024-07-01	11:17:03	4.20092e2	1.44495e1	1.26708e1	5.14835e1	1.01808e2	9.7618341e-2	9.6274614e-2	2.0117249e1	7.1202411e-1	
2024-07-01	11:17:03	4.20092e2	1.44495e1	1.26708e1	5.14835e1	1.01808e2	9.7618341e-2	9.6274614e-2	2.0117249e1	7.1202411e-1	
2024-07-01	11:17:04	4.20152e2	1.44695e1	1.26908e1	5.14802e1	1.01801e2	9.7622032e-2	9.6360502e-2	2.0125641e1	7.1471982e-1	
2024-07-01	11:17:04	4.19101e2	1.44543e1	1.26766e1	5.14769e1	1.01813e2	9.7459735e-2	9.6301918e-2	2.0123124e1	7.0522489e-1	
2024-07-01	11:17:05	4.18153e2	1.44397e1	1.26605e1	5.14802e1	1.01808e2	9.7296657e-2	9.6230268e-2	2.0121445e1	7.1573104e-1	
