Model:	LI-7810
SN:	TG10-01087
Software Version:	2.1.41
Timestamp:	2022-07-11 07:14:15
Timezone:	EST
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1657638420	985527038	18423	0	""	2022-07-12	10:07:00	31117.395	444.1496	2086.2605	39.6656	55.0003	28.3227	37.832	0.00512585	10.9086	54.5005	0.25	0.433817	15.5954	223
DATA	1657638421	985527038	18427	0	""	2022-07-12	10:07:01	31136.834	444.60883	2086.4216	39.6664	55.0003	28.3206	37.832	0.00513507	10.9077	54.5005	35	0.433817	15.5974	181
DATA	1657638422	985527038	18431	0	""	2022-07-12	10:07:02	31147.168	445.08505	2086.5571	39.6668	55.0003	28.3218	37.832	0.00510452	10.9088	54.5005	-13	0.433817	15.5978	229
DATA	1657638423	985192060	18435	0	""	2022-07-12	10:07:03	31163.23	444.01932	2086.6038	39.6668	55.0003	28.319	37.832	0.00511412	10.9088	54.5005	104.25	0.433817	15.597	208
DATA	1657638424	985192060	18439	0	""	2022-07-12	10:07:04	31180.924	445.14886	2087.2776	39.6668	55.0003	28.3214	37.832	0.00511507	10.9082	54.5005	-8	0.433817	15.597	137
DATA	1657638425	985192060	18443	0	""	2022-07-12	10:07:05	31196.984	444.87299	2086.9324	39.6664	55.0003	28.321	37.832	0.00512087	10.9089	54.5005	40.5	0.433817	15.597	202
DATA	1657638426	985192060	18447	0	""	2022-07-12	10:07:06	31214.926	444.81882	2086.9397	39.6673	55.0003	28.3239	37.832	0.00512296	10.9084	54.5005	-22.25	0.433817	15.597	 92
DATA	1657638427	985192060	18451	0	""	2022-07-12	10:07:07	31233.273	446.05661	2086.9861	39.6673	55.0003	28.3222	37.832	0.00513806	10.907	54.5005	-1	0.433817	15.597	 67
DATA	1657638428	985192060	18455	0	""	2022-07-12	10:07:08	31251.838	445.93549	2086.9912	39.6677	55.0003	28.3227	37.832	0.00512598	10.908	54.5005	116.25	0.433817	15.5966	109
DATA	1657638429	985192060	18459	0	""	2022-07-12	10:07:09	31273.744	446.08557	2087.2932	39.6668	55.0003	28.3218	37.832	0.00515228	10.908	54.5005	1.75	0.433817	15.5946	  0
DATA	1657638430	984858989	18463	0	""	2022-07-12	10:07:10	31294.186	446.76877	2087.3132	39.6673	55.0003	28.3222	37.832	0.00514117	10.9083	54.5005	4.5	0.433817	15.5942	251
DATA	1657638431	984858989	18467	0	""	2022-07-12	10:07:11	31314.242	447.35089	2087.2986	39.6668	55.0003	28.3214	37.832	0.00514608	10.9077	54.5005	-26	0.433817	15.5942	  5
DATA	1657638432	984858989	18471	0	""	2022-07-12	10:07:12	31337.969	446.78345	2087.5857	39.6668	55.0003	28.3222	37.832	0.00514886	10.9078	54.5005	105	0.433817	15.5942	 33
DATA	1657638433	984858989	18475	0	""	2022-07-12	10:07:13	31362.215	446.9357	2087.7922	39.6668	55.0003	28.3239	37.832	0.00516428	10.9072	54.5005	52.25	0.433817	15.5935	 65
DATA	1657638434	984858989	18479	0	""	2022-07-12	10:07:14	31381.082	445.82138	2087.6414	39.6677	55.0003	28.3243	37.832	0.00515819	10.9071	54.5005	-57.5	0.433817	15.5938	114
DATA	1657638435	984858989	18483	0	""	2022-07-12	10:07:15	31400.906	446.63849	2087.9814	39.6673	55.0003	28.321	37.832	0.00516989	10.9075	54.5005	-39.5	0.433817	15.5938	 79
DATA	1657638436	984858989	18487	0	""	2022-07-12	10:07:16	31419.273	447.93619	2088.0127	39.6673	55.0003	28.321	37.832	0.00517711	10.9081	54.5005	-14	0.433817	15.5938	211
DATA	1657638437	984858989	18491	0	""	2022-07-12	10:07:17	31436.463	448.38455	2088.0559	39.6681	55.0003	28.3227	37.832	0.0051709	10.9076	54.5005	32.5	0.433817	15.5938	 24
