Model:	LI-7810
SN:	TG10-01087
Software Version:	2.1.41
Timestamp:	2022-10-27 07:25:29
Timezone:	EST
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1666884942	313442945	4509	0	""	2022-10-27	10:35:42	12500.346	458.86121	2068.0002	39.6316	55.0003	31.265	37.8524	0.00233458	10.9623	54.4998	646.75	0.45345	14.6852	 26
DATA	1666884943	313442945	4513	0	""	2022-10-27	10:35:43	12449.871	458.1066	2069.8298	39.6263	55.0003	31.2699	37.8524	0.00234918	10.9622	54.4998	150	0.45345	14.6836	168
DATA	1666884944	313442945	4517	0	""	2022-10-27	10:35:44	12418.812	458.73203	2071.5403	39.6259	55.0003	31.2732	37.8524	0.00233362	10.9626	54.4998	-68.25	0.45345	14.6836	 80
DATA	1666884945	313442945	4521	0	""	2022-10-27	10:35:45	12429.647	458.80374	2071.9604	39.6214	55.0003	31.2695	37.8524	0.00243859	10.9628	54.4998	-212.5	0.45345	14.6832	 97
DATA	1666884946	313442945	4525	0	""	2022-10-27	10:35:46	12439.889	458.28241	2069.6599	39.6189	55.0003	31.2646	37.8524	0.00246446	10.9623	54.4998	-65	0.45345	14.6824	237
DATA	1666884947	313442945	4529	0	""	2022-10-27	10:35:47	12429.368	456.93399	2066.5437	39.6193	55.0003	31.2605	37.8524	0.00246029	10.9628	54.4998	-131.75	0.45345	14.6821	164
DATA	1666884948	313124895	4533	0	""	2022-10-27	10:35:48	12375.215	457.6824	2064.261	39.6206	55.0003	31.2581	37.8524	0.00244599	10.9628	54.4998	18.5	0.45345	14.6817	158
DATA	1666884949	313124895	4537	0	""	2022-10-27	10:35:49	12348.63	458.66769	2061.196	39.6201	55.0003	31.2597	37.8524	0.00245571	10.9627	54.4998	30.25	0.45345	14.6817	220
DATA	1666884950	313124895	4541	0	""	2022-10-27	10:35:50	12318.126	457.42767	2059.4478	39.6206	55.0003	31.2617	37.8524	0.00243345	10.9625	54.4998	176.5	0.45345	14.6817	 43
DATA	1666884951	313124895	4545	0	""	2022-10-27	10:35:51	12292.673	457.37881	2059.2812	39.6193	55.0003	31.2613	37.8524	0.00241831	10.963	54.4998	11	0.45345	14.6844	 92
DATA	1666884952	313124895	4549	0	""	2022-10-27	10:35:52	12310.819	458.4361	2059.4775	39.621	55.0003	31.2613	37.8524	0.00242954	10.9629	54.4998	-45.5	0.45345	14.684	145
DATA	1666884953	313124895	4553	0	""	2022-10-27	10:35:53	12400.721	459.44623	2058.7605	39.621	55.0003	31.2601	37.8524	0.00245671	10.9634	54.4998	57.25	0.45345	14.684	182
DATA	1666884954	313124895	4557	0	""	2022-10-27	10:35:54	12519.161	458.05719	2058.9548	39.6214	55.0003	31.2585	37.8524	0.00246874	10.9625	54.4998	-65.25	0.45345	14.6836	117
DATA	1666884955	312787055	4561	0	""	2022-10-27	10:35:55	12600.776	459.78531	2059.0637	39.6214	55.0003	31.2597	37.8524	0.00249627	10.9622	54.4998	61.25	0.45345	14.6832	 59
DATA	1666884956	312787055	4565	0	""	2022-10-27	10:35:56	12662.108	460.3255	2059.7676	39.6214	55.0003	31.2601	37.8524	0.00251486	10.9618	54.4998	-73.75	0.45345	14.6828	 52
DATA	1666884957	312787055	4569	0	""	2022-10-27	10:35:57	12729.476	459.19321	2059.6509	39.6214	55.0003	31.2589	37.8524	0.00251819	10.961	54.4998	30.25	0.45345	14.6832	 18
DATA	1666884958	312787055	4573	0	""	2022-10-27	10:35:58	12817.259	460.5354	2059.7659	39.6218	55.0003	31.2601	37.8524	0.00254354	10.9612	54.4998	-37	0.45345	14.6824	160
DATA	1666884959	312787055	4577	0	""	2022-10-27	10:35:59	12914.129	460.32614	2059.8042	39.6226	55.0003	31.2581	37.8524	0.00257189	10.9608	54.4998	30.5	0.45345	14.6828	  9
