Model:	LI-7820
SN:	TG20-01182
Software Version:	2.3.8
Timestamp:	2023-11-08 10:00:00
Timezone:	America/New_York
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	N2O	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1699457085	5270004	18242	18	""	2023-11-08	10:24:45	13233.336	414.01797	39.6488	45.8154	32.1579	29.5934	0.00333541	34.7294	46.0605	-1016.3	-0.345496	23.9495	 25
DATA	1699457086	5270004	18252	16	""	2023-11-08	10:24:46	13239.856	414.04626	39.6491	45.8299	32.143	29.5912	0.00336702	34.7308	46.0747	-957.8	-0.351183	23.9492	189
DATA	1699457087	5270004	18262	16	""	2023-11-08	10:24:47	13244.567	413.81625	39.6483	45.8442	32.1274	29.5814	0.00337218	34.7355	46.0889	-950.7	-0.36007	23.9494	189
DATA	1699457088	5141019	18272	16	""	2023-11-08	10:24:48	13245.262	414.4733	39.6491	45.8582	32.1105	29.5718	0.00339067	34.7414	46.1036	-913.5	-0.368958	23.9495	190
DATA	1699457089	5141019	18282	16	""	2023-11-08	10:24:49	13248.573	413.79837	39.6481	45.8727	32.0956	29.5633	0.00344215	34.7432	46.1178	-921.9	-0.376958	23.9495	 18
DATA	1699457090	5141019	18292	16	""	2023-11-08	10:24:50	13254.848	412.2056	39.6499	45.8869	32.0798	29.5599	0.00345914	34.7389	46.132	-904.8	-0.378292	23.9497	176
DATA	1699457091	5015850	18302	16	""	2023-11-08	10:24:51	13256.413	413.19357	39.6494	45.9008	32.0641	29.561	0.00349011	34.7387	46.1456	-824.6	-0.378292	23.95	 64
DATA	1699457092	5015850	18312	16	""	2023-11-08	10:24:52	13255.92	412.0618	39.6491	45.9157	32.0469	29.561	0.00351159	34.7455	46.1601	-786.8	-0.378292	23.95	231
DATA	1699457093	5015850	18322	16	""	2023-11-08	10:24:53	13257.56	413.06897	39.6496	45.9309	32.0303	29.561	0.00353813	34.7503	46.1743	-694.9	-0.378292	23.9502	132
DATA	1699457094	4878997	18332	16	""	2023-11-08	10:24:54	13261.814	412.5882	39.6478	45.9446	32.014	29.561	0.00355018	34.7541	46.1881	-684.9	-0.378292	23.9492	116
DATA	1699457095	4878997	18342	16	""	2023-11-08	10:24:55	13264.374	412.95584	39.6493	45.9591	31.998	29.5612	0.00357968	34.7607	46.2025	-613.4	-0.378292	23.9492	244
DATA	1699457096	4878997	18352	16	""	2023-11-08	10:24:56	13267.951	412.43097	39.6486	45.9734	31.982	29.561	0.00360399	34.7634	46.2166	-574.9	-0.378292	23.9489	202
DATA	1699457097	4754066	18362	16	""	2023-11-08	10:24:57	13272.2	412.7923	39.6491	45.9876	31.9664	29.561	0.00362323	34.7697	46.2306	-471.8	-0.378292	23.9491	 61
DATA	1699457098	4754066	18372	16	""	2023-11-08	10:24:58	13281.988	411.57959	39.6497	46.0018	31.9516	29.5611	0.00365656	34.7724	46.2446	-388.6	-0.378292	23.9503	 26
DATA	1699457099	4754066	18382	16	""	2023-11-08	10:24:59	13288.514	412.53781	39.6493	46.0161	31.9355	29.561	0.00368082	34.7784	46.2588	-352.6	-0.378292	23.9503	214
DATA	1699457100	4629135	18392	16	""	2023-11-08	10:25:00	13297.48	412.38504	39.6475	46.0306	31.9185	29.561	0.00370184	34.78	46.2736	-304.6	-0.378292	23.9497	 28
DATA	1699457101	4629135	18402	16	""	2023-11-08	10:25:01	13307.819	411.68539	39.6488	46.0445	31.9037	29.561	0.00372565	34.7874	46.2877	-240	-0.378292	23.9494	 96
DATA	1699457102	4629135	18412	16	""	2023-11-08	10:25:02	13314.704	411.77289	39.6499	46.0587	31.8891	29.561	0.00374436	34.7911	46.3018	-171	-0.378292	23.9494	 90
DATA	1699457103	4501104	18422	16	""	2023-11-08	10:25:03	13323.395	412.13156	39.6491	46.0732	31.8767	29.561	0.00376618	34.7905	46.316	-151.8	-0.378292	23.9494	111
DATA	1699457104	4501104	18432	16	""	2023-11-08	10:25:04	13328.896	413.18286	39.6485	46.0872	31.8649	29.5611	0.00377932	34.7911	46.3299	-140.2	-0.378292	23.9492	239
DATA	1699457105	4501104	18442	16	""	2023-11-08	10:25:05	13337.148	413.34146	39.6491	46.1022	31.8542	29.5617	0.00380184	34.7906	46.3438	-151.4	-0.378292	23.9495	207
DATA	1699457106	4366159	18452	16	""	2023-11-08	10:25:06	13343.848	413.12289	39.6494	46.1166	31.8436	29.5617	0.00382218	34.7911	46.3582	-131.6	-0.378292	23.9495	247
DATA	1699457107	4366159	18462	16	""	2023-11-08	10:25:07	13348.193	414.46826	39.6491	46.1309	31.8329	29.5613	0.00383247	34.7923	46.3724	-113.4	-0.378292	23.9495	248
DATA	1699457108	4366159	18472	16	""	2023-11-08	10:25:08	13354.433	414.293	39.6499	46.1447	31.821	29.561	0.00385469	34.7924	46.3861	-130.2	-0.378292	23.9499	 50
DATA	1699457109	4230976	18482	16	""	2023-11-08	10:25:09	13360.403	414.41226	39.6496	46.1592	31.811	29.561	0.00387356	34.7924	46.4003	-134.1	-0.378292	23.9497	125
DATA	1699457110	4230976	18492	16	""	2023-11-08	10:25:10	13365.363	414.64923	39.6483	46.1736	31.7995	29.561	0.00388384	34.794	46.4146	-123.7	-0.378292	23.9497	157
DATA	1699457111	4230976	18502	16	""	2023-11-08	10:25:11	13369.957	415.01874	39.6483	46.1873	31.7893	29.561	0.00390437	34.7911	46.4281	-119.7	-0.378292	23.9492	198
DATA	1699457112	4106998	18512	16	""	2023-11-08	10:25:12	13373.903	414.70566	39.6491	46.202	31.7782	29.5612	0.00392967	34.7926	46.4428	-159.8	-0.378292	23.9492	203
DATA	1699457113	4106998	18522	16	""	2023-11-08	10:25:13	13377.088	414.66113	39.6483	46.2161	31.7656	29.561	0.00394182	34.7938	46.4576	-127	-0.378292	23.9489	109
DATA	1699457114	4106998	18532	16	""	2023-11-08	10:25:14	13381.946	415.0784	39.6491	46.23	31.7569	29.561	0.00396404	34.7915	46.4712	-116.8	-0.378292	23.9494	 48
DATA	1699457115	3977060	18542	16	""	2023-11-08	10:25:15	13385.053	415.08945	39.6496	46.2445	31.7465	29.5613	0.00397427	34.7892	46.4855	-121.9	-0.378292	23.9502	  0
DATA	1699457116	3977060	18552	16	""	2023-11-08	10:25:16	13386.478	415.42737	39.6494	46.2586	31.7367	29.5612	0.00398642	34.7884	46.4995	-153.8	-0.378292	23.9503	 27
DATA	1699457117	3977060	18562	16	""	2023-11-08	10:25:17	13389.898	415.79001	39.6491	46.2736	31.7254	29.561	0.00399775	34.7924	46.5138	-102.7	-0.378292	23.9497	226
DATA	1699457118	3849983	18572	16	""	2023-11-08	10:25:18	13392.779	416.17163	39.6489	46.2878	31.7168	29.561	0.00401048	34.7883	46.5276	-174.9	-0.378292	23.9494	245
DATA	1699457119	3849983	18582	16	""	2023-11-08	10:25:19	13394.736	415.7688	39.6486	46.3021	31.7046	29.561	0.0040293	34.7891	46.5417	-164.9	-0.378292	23.9495	127
DATA	1699457120	3849983	18592	16	""	2023-11-08	10:25:20	13397.108	415.90836	39.65	46.3164	31.6923	29.561	0.00404985	34.7905	46.556	-112.1	-0.378292	23.9494	 46
DATA	1699457121	3730058	18602	16	""	2023-11-08	10:25:21	13399.134	416.03448	39.6481	46.3303	31.682	29.5611	0.00406143	34.7896	46.5698	-89.6	-0.378292	23.9495	141
DATA	1699457122	3730058	18612	16	""	2023-11-08	10:25:22	13399.548	416.42517	39.6489	46.3445	31.6723	29.5612	0.00406889	34.791	46.5838	-117.2	-0.378292	23.9495	207
