decimalLongitude	decimalLatitude	timestamp	pa
1	5.42909	43.20937	1	1
2	-43.05	49.03	1	1
3	-2.52369	47.29234	1	1
4	34.054	-26.913	1	1
5	-41.63	46.3	1	1
6	-174.5	27.5	1	1
7	-125.5	42.5	1	1
8	-1.74805	49.33119	1	1
9	20.317	-39.114	1	1
10	-71.2	39.68	1	1
11	-143.5	18.5	1	1
12	-70.83	39.91	1	1
13	28.618	-32.928	1	1
14	-165.5	5.5	1	1
15	-11.5	-11.5	1	1
16	132.336334	-11.121042	1	1
17	-18.5	-18.5	1	1
18	-80.61503	30.101718	1	1
19	-123.5	-20.5	1	1
20	-9.892	52.587167	1	1
21	36.7251	-18.8115	1	1
22	159.5	-9.5	1	1
23	13.586	-26.736	1	1
24	-46.86	41.48	1	1
25	-87.35	29.01	1	1
26	-79.06	31.4	1	1
27	33.098	-28.097	1	1
28	33.104	-27.878	1	1
29	-78.96	31.46	1	1
30	-9.800794	51.418581	1	1
31	32.74551	-28.66021	1	1
32	35.582	-28.595	1	1
33	31.425	-33.042	1	1
34	-93.780637	15.992623	1	1
35	-70.40283	41.10266	1	1
36	6.46529	43.04601	1	1
37	-175.5	33.5	1	1
38	-98.550316	16.243898	1	1
39	-87.0997	26.1943	1	1
40	17.724	-38.519	1	1
41	-75.5917	37.1668	1	1
42	-139.5	20.5	1	1
43	16.828	-37.987	1	1
44	29.981	-33.471	1	1
45	32.79042	-27.36556	1	1
46	32.7649	-27.3721	1	1
47	-28.3852	38.4051	1	1
48	-67.28	39.53	1	1
49	-49	14	1	1
50	0.337414	51.454263	1	1
51	-1.33168	46.01202	1	1
52	-36.5	43.5	1	1
53	32.899	-27.372	1	1
54	-174.5	3.5	1	1
55	-87.1	29.18	1	1
56	-41	43	1	1
57	-89.5	-3.5	1	1
58	146.6728	-38.7372	1	1
59	32.035	-31.677	1	1
60	5.5	-8.5	1	1
61	-42.5	42.5	1	1
62	13.816	-32.037	1	1
63	-143.5	25.5	1	1
64	-2.9039	47.38555	1	1
65	-71.601944	41.166667	1	1
66	30.563	-34.604	1	1
67	-99.5	-21.5	1	1
68	-4.51694	51.7078	1	1
69	-8.0029	51.8218	1	1
70	31.559	-32.553	1	1
71	15.306	-38.087	1	1
72	33.2097	-28.7187	1	1
73	-80.4971	25.0222	1	1
74	-110.5	-14.5	1	1
75	7.8398	-34.7985	1	1
76	138.45139	-35.18176	1	1
77	-76.75	-12.4611	1	1
78	-5.632652	50.041216	1	1
79	-1.17708	44.40902	1	1
80	-45.18	13.9	1	1
81	34.036	-25.03	1	1
82	-86.153	29.957	1	1
83	0.9153	57.7497	1	1
84	36.033	-22.69	1	1
85	-92.5	0.5	1	1
86	32.169	-30.384	1	1
87	35.672	-28.674	1	1
88	-84.75	26.98	1	1
89	17.647	-36.531	1	1
90	-72.51	40.322	1	1
91	-80.7495	29.3272	1	1
92	-72.5	39.21	1	1
