decimalLongitude	decimalLatitude	year	species	pa
149.208	-21.2491	1	sp2	1
150.1485	-21.5233	1	sp2	1
152.4172	-24.7721	1	sp2	1
136.791667	-14.041667	1	sp2	1
136.946667	-13.633333	1	sp2	1
135.97	-11.72	1	sp2	1
149.8512	-22.0045	1	sp2	1
136.616667	-11.74	1	sp2	1
149.5863	-22.1413	1	sp2	1
152.4624	-24.8154	1	sp2	1
136.223667	-13.442167	1	sp2	1
130.373167	-11.176667	1	sp2	1
149.8351	-21.6574	1	sp2	1
136.717	-11.067	1	sp2	1
148.7561	-20.4811	1	sp2	1
153.392728	-27.623401	1	sp2	1
141.5	-12.55333	1	sp2	1
143.095	-10.5233	1	sp2	1
142.1102	-10.0753	1	sp2	1
152.4624	-24.8154	1	sp2	1
136.811333	-11.6755	1	sp2	1
149.0914	-20.6766	1	sp2	1
143.1833	-11.7	1	sp2	1
130.3717	-12.6383	1	sp2	1
136	-11.6533	1	sp2	1
148.8163	-20.5049	1	sp2	1
137.5	-12.5	1	sp2	1
130.017333	-13.19	1	sp2	1
131.468333	-11.39	1	sp2	1
151.567453	-33.288465	1	sp2	1
149.9056	-22.0757	1	sp2	1
136.8083	-14.2883	1	sp2	1
136.903833	-13.662667	1	sp2	1
137.536667	-16.163333	1	sp2	1
130.377917	-11.169917	1	sp2	1
131.02	-12.27	1	sp2	1
151.3667	-23.95	1	sp2	1
130.018333	-13.166667	1	sp2	1
139.4784	-16.6909	1	sp2	1
130.425	-11.821667	1	sp2	1
136.15665	-14.25085	1	sp2	1
142.1166	-10.1928	1	sp2	1
149.7083	-21.4436	1	sp2	1
136.501667	-14.233333	1	sp2	1
136.717	-11.067	1	sp2	1
152.4548	-24.806	1	sp2	1
136.5683	-12.0883	1	sp2	1
136.966667	-12.35	1	sp2	1
148.9141	-20.8545	1	sp2	1
136.75	-11.017	1	sp2	1
148.8097	-20.7731	1	sp2	1
136.116667	-11.558333	1	sp2	1
136.866	-15.566	1	sp2	1
136.4733	-11.8483	1	sp2	1
136.383333	-14.224167	1	sp2	1
149.833	-21.3817	1	sp2	1
151.9667	-24.3167	1	sp2	1
130.861667	-12.371667	1	sp2	1
150.1148	-21.9325	1	sp2	1
151.7833	-23.25	1	sp2	1
136.625667	-11.741	1	sp2	1
148.847	-20.7889	1	sp2	1
148.9012	-20.8315	1	sp2	1
132.855	-11.061667	1	sp2	1
153.001067	-27.465071	1	sp2	1
152.0067	-24.4383	1	sp2	1
142.82	-10.1483	1	sp2	1
149.6525	-21.9333	1	sp2	1
143.5438	-13.7054	1	sp2	1
152.4548	-24.806	1	sp2	1
150.1435	-21.972	1	sp2	1
132.8	-11.0167	1	sp2	1
145.9334	-16.6175	1	sp2	1
143.1197	-12.1156	1	sp2	1
152.3833	-23.9	1	sp2	1
136.0133	-11.6967	1	sp2	1
141.5704	-9.5192	1	sp2	1
136.717	-11.067	1	sp2	1
142.0667	-10.225	1	sp2	1
130.915183	-12.508404	1	sp2	1
130.436333	-12.5125	1	sp2	1
149.8805	-21.9956	1	sp2	1
143.2886	-12.5152	1	sp2	1
131.105	-11.286667	1	sp2	1
141.435	-15.6594	1	sp2	1
149.2312	-20.734	1	sp2	1
130.019167	-13.135	1	sp2	1
149.2645	-20.8087	1	sp2	1
140.5	-11.5	1	sp2	1
149.8117	-21.3682	1	sp2	1
130.008667	-13.1235	1	sp2	1
142.2217	-10.745	1	sp2	1
136.472835	-14.216873	1	sp2	1
136.717	-11.067	1	sp2	1
142.1	-10.983333	1	sp2	1
144.0167	-11.45	1	sp2	1
132.01	-11.136667	1	sp2	1
136.88	-14.3017	1	sp2	1
149.2275	-21.0733	1	sp2	1
139.4633	-16.6306	1	sp2	1
136.934498	-14.151	1	sp2	1
136.787832	-14.144	1	sp2	1
139.4519	-16.6689	1	sp2	1
130.068167	-11.691333	1	sp2	1
136.45	-14.2067	1	sp2	1
149.8087	-21.5995	1	sp2	1
132.501195	-11.16859	1	sp2	1
136.775	-14.143333	1	sp2	1
142.3175	-10.8406	1	sp2	1
142.1533	-10.2267	1	sp2	1
130.723	-11.384833	1	sp2	1
130.376667	-11.18	1	sp2	1
151.765	-24.0167	1	sp2	1
149.2964	-21.2751	1	sp2	1
136.536	-15.536167	1	sp2	1
142.92	-11.2433	1	sp2	1
136.2485	-11.959333	1	sp2	1
143.5133	-9.8417	1	sp2	1
136.75	-11.017	1	sp2	1
131.2925	-11.204	1	sp2	1
133.3876	-11.54453	1	sp2	1
151.166667	-23.633333	1	sp2	1
136.75	-11.017	1	sp2	1
131.476667	-11.396667	1	sp2	1
149.651111	-21.448333	1	sp2	1
136.931667	-13.635	1	sp2	1
152.4333	-24.7983	1	sp2	1
136.086983	-11.596889	1	sp2	1
137.0235	-15.615167	1	sp2	1
132.283	-12.2	1	sp2	1
142.65	-10.6333	1	sp2	1
130.4367	-12.5167	1	sp2	1
130.016667	-13.16	1	sp2	1
130.35	-12.781667	1	sp2	1
149.2949	-21.2777	1	sp2	1
140.001111	-16.065	1	sp2	1
139.1622	-16.7453	1	sp2	1
135.156925	-11.695183	1	sp2	1
130.373333	-11.17	1	sp2	1
133.01	-11.446667	1	sp2	1
138.8842	-16.875	1	sp2	1
149.2925	-21.2937	1	sp2	1
143.6721	-14.0068	1	sp2	1
149.2833	-20.7833	1	sp2	1
130.367167	-11.2305	1	sp2	1
136.811333	-11.6755	1	sp2	1
131.153842	-11.802579	1	sp2	1
152.4367	-24.7914	1	sp2	1
148.8918	-20.8302	1	sp2	1
130.815	-12.411667	1	sp2	1
136.233333	-13.433333	1	sp2	1
152.4646	-24.8223	1	sp2	1
139.4493	-16.6365	1	sp2	1
142.3928	-10.7632	1	sp2	1
137.0247	-15.613696	1	sp2	1
130.335617	-11.117833	1	sp2	1
142.1667	-10.2233	1	sp2	1
151.166667	-23.633333	1	sp2	1
152.2	-24.6563	1	sp2	1
136.328333	-14.243833	1	sp2	1
150.1176	-21.9181	1	sp2	1
151.9667	-24.3167	1	sp2	1
149.4632	-21.9109	1	sp2	1
149.3076	-21.3525	1	sp2	1
136.8833	-13.6667	1	sp2	1
150.0977	-22.0333	1	sp2	1
152.4367	-24.7914	1	sp2	1
143.5493	-13.6318	1	sp2	1
151.162062	-34.043753	1	sp2	1
130.42	-12.538333	1	sp2	1
129.598833	-14.673333	1	sp2	1
124.5	-15.5	1	sp2	1
149.6523	-21.9594	1	sp2	1
139.4796	-16.6314	1	sp2	1
149.2443	-21.1634	1	sp2	1
136.625	-11.741667	1	sp2	1
151.775	-23.995	1	sp2	1
151.95	-23.3333	1	sp2	1
152.2	-24.6563	1	sp2	1
136.0883	-13.3117	1	sp2	1
152.4167	-21.75	1	sp2	1
130.356667	-12.813333	1	sp2	1
130.325	-11.133333	1	sp2	1
136.8	-14.0433	1	sp2	1
149.1921	-21.186	1	sp2	1
135.755	-11.9267	1	sp2	1
149.4828	-21.9697	1	sp2	1
129.36	-14.403333	1	sp2	1
136.008	-11.65	1	sp2	1
150.1348	-21.9923	1	sp2	1
131.064608	-11.311117	1	sp2	1
149.4335	-21.7588	1	sp2	1
149.0965	-20.683	1	sp2	1
153.104068	-30.36686	1	sp2	1
149.8454	-21.9909	1	sp2	1
149.5863	-22.1413	1	sp2	1
141.49333	-12.63167	1	sp2	1
130.166667	-11.465	1	sp2	1
135.154487	-11.7	1	sp2	1
150.139	-21.9639	1	sp2	1
150.8333	-23.2883	1	sp2	1
149.5028	-21.6054	1	sp2	1
149.6643	-21.9771	1	sp2	1
151.8833	-24.1517	1	sp2	1
132.418333	-12.115	1	sp2	1
135.686	-14.905222	1	sp2	1
144.1167	-9.3667	1	sp2	1
153.45	-27.0533	1	sp2	1
133.389833	-11.544	1	sp2	1
135.8383	-12.1733	1	sp2	1
141.1888	-16.7132	1	sp2	1
130.895	-11.308333	1	sp2	1
130.435	-12.521667	1	sp2	1
135.93	-13.96	1	sp2	1
142.2222	-10.7435	1	sp2	1
149.317	-21.3295	1	sp2	1
142.1182	-10.2432	1	sp2	1
130.377917	-11.169917	1	sp2	1
136.9642	-14.2983	1	sp2	1
142.9034	-11.8766	1	sp2	1
149.9187	-21.4911	1	sp2	1
136.75	-11.017	1	sp2	1
149.665523	-21.973229	1	sp2	1
150.2863	-21.6853	1	sp2	1
136.790833	-14.273333	1	sp2	1
132.46	-11.625	1	sp2	1
136.0767	-11.755	1	sp2	1
153.4667	-27.0333	1	sp2	1
142.1393	-10.1828	1	sp2	1
130.35	-12.781667	1	sp2	1
131.245	-11.22	1	sp2	1
130.017891	-13.181928	1	sp2	1
151.2717	-23.5367	1	sp2	1
131.283333	-12.05	1	sp2	1
149.9238	-21.4777	1	sp2	1
130.335617	-11.117833	1	sp2	1
136.815	-13.905	1	sp2	1
138.4802	-16.7817	1	sp2	1
130.37805	-11.167658	1	sp2	1
143.5	-13.54	1	sp2	1
136.225	-13.4417	1	sp2	1
142.3806	-10.8368	1	sp2	1
152.47	-21.98	1	sp2	1
149.072	-20.6268	1	sp2	1
136.115317	-11.555221	1	sp2	1
149.8107	-21.9862	1	sp2	1
135.952315	-11.680726	1	sp2	1
144.0167	-11.6	1	sp2	1
136.921667	-13.663333	1	sp2	1
136.93	-13.81	1	sp2	1
136.673	-12.87	2	sp2	1
142.9883	-11.0067	2	sp2	1
139.4652	-16.7054	2	sp2	1
130.867966	-12.554719	2	sp2	1
141.5683	-9.61	2	sp2	1
149.3128	-21.3852	2	sp2	1
145.7121	-16.8025	2	sp2	1
126.5	-12.5	2	sp2	1
136.0317	-12.1267	2	sp2	1
142.7447	-11.0039	2	sp2	1
130.016667	-13.166667	2	sp2	1
151.2683	-23.6633	2	sp2	1
129.25	-14.85	2	sp2	1
149.3207	-21.3256	2	sp2	1
136.5	-14.2367	2	sp2	1
130.328667	-11.116667	2	sp2	1
115.5	-19.5	2	sp2	1
136.9255	-13.661833	2	sp2	1
152.4811	-24.867	2	sp2	1
130.730167	-11.383667	2	sp2	1
135.533333	-15	2	sp2	1
119.5	-19.5	2	sp2	1
136.0767	-11.755	2	sp2	1
136.216	-13.783	2	sp2	1
151.12	-23.58	2	sp2	1
149.1565	-20.677	2	sp2	1
149.3902	-20.772	2	sp2	1
142.1017	-10.0598	2	sp2	1
142.9883	-11.7283	2	sp2	1
149.4656	-21.9319	2	sp2	1
143.0958	-11.8936	2	sp2	1
144.0667	-9.9167	2	sp2	1
142.1	-10.9833	2	sp2	1
142.0962	-11.4559	2	sp2	1
152.3649	-24.7316	2	sp2	1
142.1362	-10.9463	2	sp2	1
150	-17	2	sp2	1
143.9667	-13.3667	2	sp2	1
136.076333	-11.6075	2	sp2	1
142.93	-11.595	2	sp2	1
132.3	-11.367	2	sp2	1
150.4281	-21.7573	2	sp2	1
151.501149	-33.331747	2	sp2	1
149.8066	-21.5716	2	sp2	1
136.882832	-14.306	2	sp2	1
116.5	-19.5	2	sp2	1
130.89	-11.315	2	sp2	1
148.9141	-20.8545	2	sp2	1
143.5814	-13.3769	2	sp2	1
130.016667	-13.121667	2	sp2	1
136.6875	-11.821	2	sp2	1
130.377942	-11.169983	2	sp2	1
149.2232	-21.1109	2	sp2	1
131.0234	-12.2232	2	sp2	1
136.3767	-13.7167	2	sp2	1
141.2037	-16.6934	2	sp2	1
151.95	-23.3333	2	sp2	1
131.243408	-11.221383	2	sp2	1
150.0816	-22.1606	2	sp2	1
136.895	-13.668333	2	sp2	1
150.3385	-21.6538	2	sp2	1
133.0167	-10.9	2	sp2	1
150.8883	-23.2817	2	sp2	1
148.9876	-20.8948	2	sp2	1
143.3033	-9.6167	2	sp2	1
132.183	-11.116	2	sp2	1
136.1683	-14.225	2	sp2	1
141.8333	-12.0167	2	sp2	1
136.225	-13.441667	2	sp2	1
136.9717	-14.2467	2	sp2	1
149.8512	-22.0045	2	sp2	1
149.2964	-21.3382	2	sp2	1
149.1373	-20.7151	2	sp2	1
130.009667	-13.160917	2	sp2	1
142.6117	-10.74	2	sp2	1
143.1533	-10.105	2	sp2	1
130.433333	-12.516667	2	sp2	1
149.851	-22.002	2	sp2	1
130.025333	-11.7895	2	sp2	1
148.9546	-20.8793	2	sp2	1
129.25	-14.85	2	sp2	1
130.016667	-13.166667	2	sp2	1
132.861667	-11.058333	2	sp2	1
123.5	-16.5	2	sp2	1
130.1875	-11.637167	2	sp2	1
140.067778	-15.998333	2	sp2	1
152.4683	-24.8483	2	sp2	1
151.127601	-34.01135	2	sp2	1
149.1983	-20.6972	2	sp2	1
152.4367	-24.7914	2	sp2	1
136.868333	-14.305	2	sp2	1
149.7994	-21.6213	2	sp2	1
149.7092	-21.44	2	sp2	1
136.717	-11.067	2	sp2	1
131.2431	-11.221933	2	sp2	1
136.891	-13.673	2	sp2	1
136.115833	-13.362667	2	sp2	1
149.6639	-21.9744	2	sp2	1
149.851	-22.002	2	sp2	1
136.1485	-13.396	2	sp2	1
143.2499	-12.3938	2	sp2	1
136.825	-14.3317	2	sp2	1
143.0333	-11.4833	2	sp2	1
130.335617	-11.117833	2	sp2	1
142.215	-10.9233	2	sp2	1
143.2271	-11.9903	2	sp2	1
130.994333	-11.356833	2	sp2	1
150.3184	-21.7428	2	sp2	1
136.205	-13.4517	2	sp2	1
149.5163	-22.0778	2	sp2	1
130.029583	-13.18675	2	sp2	1
133.06875	-11.569417	2	sp2	1
149.8482	-22.002	2	sp2	1
139.6289	-16.5349	2	sp2	1
130.433333	-12.521667	2	sp2	1
149.1832	-20.684	2	sp2	1
149.4841	-21.9808	2	sp2	1
142.975	-9.8	2	sp2	1
136.1083	-11.5517	2	sp2	1
136.077483	-11.600306	2	sp2	1
130.333333	-12.883333	2	sp2	1
136.895	-13.668333	2	sp2	1
130.1875	-11.637167	2	sp2	1
120.5	-18.5	2	sp2	1
136.926679	-15.590248	2	sp2	1
148.8378	-20.8268	2	sp2	1
130.828333	-11.851333	2	sp2	1
150.2843	-21.682	2	sp2	1
130.009167	-13.125	2	sp2	1
152.438553	-24.794247	2	sp2	1
149.6513	-21.9361	2	sp2	1
130.390667	-11.167833	2	sp2	1
130.358667	-12.741	2	sp2	1
136.7983	-14.0983	2	sp2	1
136.519501	-14.241	2	sp2	1
135.155	-11.686667	2	sp2	1
136.961173	-15.498553	2	sp2	1
143.5485	-12.8874	2	sp2	1
149.6606	-21.7173	2	sp2	1
149.3161	-21.374	2	sp2	1
132.283	-12.2	2	sp2	1
150.3307	-22.2292	2	sp2	1
130.018333	-13.166667	2	sp2	1
149.6704	-21.7188	2	sp2	1
131.0625	-11.312833	2	sp2	1
152.566667	-25.116667	2	sp2	1
143.1167	-10.055	2	sp2	1
149.2708	-20.8076	2	sp2	1
135.9485	-11.689833	2	sp2	1
130.36965	-11.203808	2	sp2	1
131.243408	-11.221383	2	sp2	1
149.6589	-21.9593	2	sp2	1
130.019167	-11.770667	2	sp2	1
