"Groups";"RS";"ES";"D"
"Shifters";-0.696821993542902;"Low";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Shifters";-0.696821993542902;"Low";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Shifters";-0.360612160082513;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Sustainers";0.479912423568457;"High";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Shifters";-0.360612160082513;"High";"No"
"Sustainers";-0.696821993542902;"Low";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Comparison";-0.192507243352319;"High";"No"
"Shifters";-1.03303182700329;"High";"No"
"Sustainers";-1.03303182700329;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Shifters";0.98422717375904;"Low";"No"
"Sustainers";-0.864926910273096;"High";"No"
"Comparison";1.15233209048923;"High";"Yes"
"Comparison";2.1609615908704;"High";"Yes"
"Comparison";2.83338125779118;"High";"Yes"
"Shifters";-0.696821993542902;"High";"No"
"Comparison";0.311807506838263;"Low";"No"
"Sustainers";1.99285667414021;"Low";"No"
"Comparison";-0.696821993542902;"Low";"No"
"Shifters";1.32043700721943;"High";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Comparison";-0.360612160082513;"High";"No"
"Shifters";-0.360612160082513;"High";"No"
"Comparison";-0.528717076812708;"High";"No"
"Shifters";-0.696821993542902;"Low";"No"
"Comparison";2.32906650760059;"High";"Yes"
"Sustainers";-1.03303182700329;"Low";"No"
"Comparison";0.311807506838263;"High";"No"
"Sustainers";1.32043700721943;"High";"Yes"
"Sustainers";1.48854192394962;"High";"No"
"Sustainers";-0.864926910273096;"High";"No"
"Comparison";-0.696821993542902;"Low";"Yes"
"Sustainers";0.311807506838263;"Low";"No"
"Sustainers";-0.864926910273096;"Low";"Yes"
"Sustainers";-0.192507243352319;"High";"No"
"Sustainers";-0.864926910273096;"Low";"No"
"Comparison";-1.03303182700329;"High";"Yes"
"Shifters";0.479912423568457;"Low";"No"
"Comparison";-0.192507243352319;"Low";"No"
"Shifters";0.479912423568457;"Low";"No"
"Shifters";0.479912423568457;"High";"No"
"Shifters";2.66527634106098;"High";"No"
"Sustainers";-0.696821993542902;"Low";"No"
"Comparison";-0.192507243352319;"Low";"No"
"Shifters";-0.360612160082513;"Low";"No"
"Comparison";1.32043700721943;"High";"Yes"
"Shifters";-0.696821993542902;"High";"Yes"
"Comparison";0.143702590108069;"Low";"No"
"Comparison";-0.528717076812708;"High";"No"
"Comparison";0.143702590108069;"Low";"No"
"Sustainers";0.648017340298652;"Low";"No"
"Comparison";0.648017340298652;"High";"Yes"
"Comparison";-1.03303182700329;"High";"No"
"Shifters";-0.024402326622125;"Low";"No"
"Comparison";0.479912423568457;"High";"No"
"Comparison";-0.696821993542902;"High";"No"
"Comparison";-0.864926910273096;"High";"No"
"Sustainers";-0.864926910273096;"Low";"No"
"Comparison";-0.864926910273096;"High";"No"
"Shifters";0.479912423568457;"High";"No"
"Comparison";-0.360612160082513;"High";"No"
"Shifters";-0.024402326622125;"Low";"No"
"Shifters";0.816122257028846;"Low";"No"
"Comparison";0.143702590108069;"Low";"No"
"Comparison";-0.192507243352319;"Low";"No"
"Comparison";-1.03303182700329;"Low";"No"
"Comparison";-0.528717076812708;"Low";"No"
"Comparison";-0.192507243352319;"High";"No"
"Sustainers";-0.864926910273096;"Low";"No"
"Comparison";0.98422717375904;"High";"Yes"
"Shifters";-0.360612160082513;"Low";"No"
