"school";"gender";"age";"geread";"gevocab"
767;"Male";104;3.5;3.1
767;"Male";106;1.2;2.8
767;"Male";112;2.1;1.7
767;"Male";109;1.6;2.1
767;"Female";107;3.7;2.4
767;"Female";108;2.4;2.4
767;"Female";101;3.1;3.3
767;"Male";103;2.9;3.2
767;"Female";104;4.9;9.3
767;"Male";110;5;5.4
767;"Male";110;4.9;11
767;"Male";110;4.3;10.9
767;"Male";110;4.4;5.5
767;"Female";105;5.8;5.4
767;"Male";104;7;7.3
767;"Male";104;4.9;6.7
767;"Female";104;3.4;7.6
767;"Female";107;3.1;4.7
767;"Female";106;1.9;3
767;"Male";112;0.7;2
767;"Female";104;2.3;4.5
767;"Male";106;2.7;4.8
767;"Male";108;4.9;11
767;"Female";107;4.8;4.4
767;"Female";112;3.5;4.4
767;"Male";106;6.7;6.8
767;"Female";110;4.2;8.2
767;"Female";103;8.7;11.2
767;"Female";106;12;11.2
767;"Male";102;4.3;4.8
767;"Male";107;3.2;4.8
767;"Male";103;2.4;3.1
767;"Female";100;4.5;3.6
767;"Female";110;3.5;4.6
767;"Female";112;3.7;4.5
767;"Male";109;3.9;3.4
767;"Male";110;2.9;4.7
767;"Male";109;4.9;11
767;"Female";112;5.8;7.5
767;"Female";102;4.1;3.7
767;"Female";103;2.8;3.9
767;"Female";108;3;2.4
767;"Male";105;2;1.9
767;"Male";105;0.6;1.3
767;"Male";108;3.1;2.4
767;"Female";115;2.5;3.1
767;"Male";106;3.4;2.9
767;"Male";106;3.3;6.7
767;"Male";107;2.4;3
767;"Male";108;12;11.2
767;"Male";115;3.1;2.1
767;"Male";114;2.3;2.8
767;"Female";110;2.4;2.8
767;"Female";117;4.9;3.2
767;"Female";110;0;2.9
767;"Female";110;9.2;3.9
767;"Male";108;4;3.8
767;"Male";104;4.4;3.9
785;"Female";116;2.5;2.1
785;"Male";102;2.8;3.6
785;"Female";111;4.2;6.2
785;"Male";108;6.7;3.1
785;"Female";103;3.5;2.7
785;"Male";112;1.9;3.4
785;"Female";124;2.9;3.9
785;"Female";100;5;2.9
785;"Male";107;4.3;6
785;"Female";104;4.3;2.2
785;"Male";104;4.3;3
785;"Female";108;2;4.6
785;"Female";107;6.4;3
785;"Male";114;2.8;2.4
785;"Female";103;3.1;3.7
785;"Female";104;4;3.6
785;"Female";112;2.9;5.5
785;"Male";107;2.9;2.3
785;"Male";106;1.7;1.5
785;"Male";101;2.3;2.5
785;"Male";113;2.5;3.6
785;"Female";105;1.6;2.5
785;"Male";101;2.5;2.4
785;"Male";124;2.8;2.7
785;"Female";110;3.3;3
785;"Female";108;2.6;2.2
785;"Male";101;4;3.7
785;"Female";116;3.3;2.8
785;"Female";108;3.5;4.7
789;"Female";105;2.5;2.9
789;"Male";109;1.8;1.5
789;"Female";102;4.8;6.2
789;"Male";106;1.4;2.1
789;"Female";110;2.9;3.2
789;"Male";107;6.4;4.4
789;"Female";112;3.5;5.4
789;"Male";112;4.8;6.9
789;"Male";105;4.5;4.5
789;"Female";109;4.4;4.7
789;"Male";103;4;11.2
789;"Female";101;2.8;3.1
789;"Female";106;12;9.3
789;"Male";106;5;3
789;"Male";112;6.4;3.8
789;"Female";100;5;5.8
789;"Male";109;6.4;6.2
789;"Male";100;4.5;6.7
789;"Female";102;4.5;3.1
789;"Female";101;4.8;3.1
789;"Female";103;4.3;5
789;"Female";107;6.4;3.8
789;"Male";109;3;2.1
789;"Male";111;4.8;3.8
789;"Female";110;4.3;3.6
789;"Female";110;8.3;4.4
789;"Male";99;5.8;5
789;"Male";104;2.8;3.6
789;"Female";101;3.1;6.8
789;"Female";104;7.8;3.2
789;"Male";111;4.8;4.7
789;"Male";114;3.1;2.8
789;"Male";107;2.8;3.7
789;"Female";111;5.8;7.3
789;"Female";112;4.4;2.6
789;"Female";108;3.5;2.8
789;"Male";108;4.6;6.2
789;"Male";109;4.2;2.8
789;"Female";105;4.9;4.6
789;"Male";113;3.5;7.2
789;"Male";106;4.9;3.4
789;"Male";109;2.5;2.4
789;"Male";114;1.1;1.7
789;"Male";111;2.6;2.7
789;"Female";109;2;3.4
789;"Male";101;4.7;3.2
789;"Male";103;2;1.8
789;"Female";109;4.9;7.4
789;"Female";106;3.7;3.2
789;"Female";102;3.7;4.4
789;"Male";97;4.3;3.3
789;"Male";110;4.9;10.9
789;"Female";109;3.8;5
789;"Male";110;4.5;5.5
789;"Male";106;4.7;4
789;"Female";105;3.7;4
789;"Female";108;5.2;3.3
789;"Female";118;2.2;1.8
789;"Female";112;4.4;2.8
789;"Male";107;6.5;8.1
789;"Female";106;5;5
789;"Female";106;3.9;5.7
789;"Male";107;4.5;2.8
815;"Female";113;2.5;2.5
815;"Male";103;4.5;6.8
815;"Female";102;3.9;5
815;"Female";100;6.2;4.3
815;"Male";108;4.5;3.6
815;"Male";103;4.8;4.9
815;"Male";98;5.2;4.6
815;"Female";96;3.5;2.7
815;"Female";105;4.9;4.1
815;"Male";115;0;1.9
815;"Male";104;2.1;3.2
815;"Male";108;3.5;6.2
815;"Female";104;3.1;3.9
815;"Male";109;3.1;2.9
815;"Male";108;3.8;4
815;"Female";110;3.9;4.9
815;"Male";103;6.7;5.2
815;"Male";104;2.3;2.6
815;"Female";101;2.6;3.1
815;"Male";110;4.3;11
815;"Female";109;3.7;11
815;"Male";109;12;5
815;"Male";112;3.9;4.7
815;"Female";106;4.9;3.2
815;"Female";105;3.5;4.7
815;"Male";106;4.3;6.2
815;"Male";108;3.3;11.2
815;"Female";105;1.9;2.1
815;"Female";113;1.6;2.4
815;"Male";103;3.6;7.3
815;"Male";98;3.9;4.9
815;"Male";109;8.3;3.5
815;"Female";101;4.9;3.1
815;"Male";109;12;11.2
815;"Female";108;3.9;4.1
815;"Male";111;7.8;2.8
815;"Female";102;6.4;4.8
815;"Male";112;7.8;7.5
815;"Male";102;2.4;2.7
981;"Female";111;2.9;4.2
981;"Male";110;2.1;2.8
981;"Male";107;6.4;10.9
981;"Female";109;6.4;11.2
981;"Female";102;3.2;4.5
981;"Male";113;3.1;3.2
981;"Female";101;2.8;2.2
981;"Female";109;3;2.8
981;"Female";103;3.7;5.4
981;"Female";101;2.8;4.9
981;"Female";111;3.1;4.2
981;"Female";103;2.4;3.4
981;"Male";103;3.9;4.8
981;"Male";115;2.2;3.8
981;"Male";104;2.7;6.7
981;"Male";110;4.7;7.5
981;"Female";111;2.6;2.7
981;"Female";108;2.4;4
981;"Male";105;6.4;5.2
981;"Female";104;3.3;5
981;"Male";106;4.8;5
981;"Male";103;5;5.7
981;"Female";101;6.4;6.2
981;"Female";106;12;11.2
981;"Male";111;4.5;3
981;"Male";103;3.2;1.9
981;"Female";101;4.7;4.7
981;"Male";109;3.5;10.9
981;"Female";101;2.8;3.9
981;"Female";110;6.4;3.1
981;"Male";107;3.9;2.8
981;"Female";106;2.5;4.8
981;"Male";110;10.6;4.5
981;"Male";111;9.2;5.4
981;"Female";111;4.8;10.9
981;"Male";116;2.1;2.2
981;"Female";106;2.7;5.5
981;"Female";108;2.8;3.1
981;"Female";104;5.4;10.9
981;"Male";108;3.1;3.2
981;"Male";117;4.4;3.8
981;"Male";111;3.1;4.4
981;"Female";113;4;3.3
981;"Male";107;4.7;3.5
981;"Female";108;5;6.7
981;"Male";110;3.8;3.9
981;"Male";128;4.4;4
981;"Female";110;3.9;2.9
981;"Male";105;4.9;3.5
981;"Female";108;4;2.8
981;"Female";122;3.7;5
981;"Female";104;3.4;3.7
981;"Male";107;2.5;4.1
981;"Male";101;3.1;3.3
981;"Female";109;3.5;3.4
981;"Female";115;2.1;2.2
981;"Male";105;10.6;6.7
981;"Female";110;3.5;2.8
981;"Male";104;3.3;4.2
981;"Male";121;3.9;2.7
981;"Male";108;2.6;2.3
981;"Male";108;8.7;6.3
981;"Male";127;3.8;4.6
981;"Male";110;3.3;7.5
981;"Female";104;4.6;4.5
981;"Female";97;4.5;4.3
981;"Male";110;3.9;5
981;"Female";102;4.7;4.3
981;"Male";109;4.9;4.5
981;"Male";112;3.5;4.4
981;"Female";114;4.7;3.3
981;"Female";105;5;8.2
981;"Female";108;3.3;2.7
981;"Female";112;4.1;5
981;"Female";107;4.4;3.1
981;"Female";101;4.4;4.6
981;"Female";101;3.1;2.3
981;"Male";112;2.4;2.8
981;"Male";115;3.4;3.9
981;"Female";103;5.2;6.2
981;"Male";107;4.4;5
981;"Female";108;4.6;4.7
981;"Female";107;3.9;4.3
981;"Female";108;4.1;4.8
981;"Female";109;4.8;4.1
981;"Male";116;4.1;4.9
981;"Male";105;5.2;3.4
981;"Male";105;4.9;4.3
1033;"Female";111;6.4;6.2
1033;"Male";107;4.3;7.5
1033;"Male";102;5.2;5.2
1033;"Female";109;4.6;10.9
1033;"Female";102;5;6.2
1033;"Female";112;3.9;4.6
1033;"Male";101;6.4;5
1033;"Female";106;2.2;4.6
1033;"Female";100;6.4;3.5
1033;"Female";103;4.3;4.7
1033;"Female";109;3.7;4
1033;"Female";105;2.3;3.1
1033;"Male";108;3.4;2.8
1033;"Male";112;3.3;4.7
1033;"Male";104;4;2.9
1033;"Male";106;4.8;3.9
1033;"Female";103;3.3;3.7
1033;"Male";103;6.3;5.7
1033;"Female";114;3.7;4
1033;"Female";117;2.7;3
1033;"Female";105;2.9;3.9
1033;"Male";111;12;9.2
1033;"Male";112;4.4;2.4
1033;"Female";112;3.9;11
1033;"Female";113;2.7;3
1033;"Female";109;7.8;3.4
1033;"Female";110;4.7;6.9
1033;"Male";115;3.3;5.1
1033;"Male";106;1.7;2.4
1033;"Female";106;4.5;4.7
1033;"Female";106;5.8;6.7
1033;"Female";111;4.6;3.8
1033;"Male";104;2.8;3.2
1033;"Male";109;8.7;4.9
1033;"Female";111;5.2;6.7
1033;"Female";112;3.1;4.5
1033;"Female";104;4.3;11
1033;"Female";112;4.3;6.7
1033;"Male";105;6.4;6.3
1033;"Female";104;7.2;3.8
1033;"Female";104;6.4;5.5
1033;"Female";109;2.9;3.8
1033;"Female";104;3.5;4.4
1033;"Male";110;9.2;5
1033;"Male";110;3.4;5.4
1033;"Female";109;3.5;11.2
1033;"Male";107;4.4;4.5
1033;"Male";111;4.6;4.9
1033;"Male";113;3.7;7.5
1033;"Female";110;4.8;8.2
1033;"Female";110;4.9;9.3
1033;"Male";104;2.6;2.8
1033;"Female";120;3.7;4.3
1033;"Male";110;3.1;5.5
1033;"Female";104;6.4;3.9
1033;"Male";111;5.8;6.7
1033;"Female";104;3;3.8
1033;"Male";109;12;11.2
1033;"Female";119;2.1;4.1
1033;"Male";103;4.9;4.1
1033;"Male";111;2.8;2.9
1033;"Female";102;3.1;2.9
1033;"Male";106;3.5;4.1
1033;"Female";112;8.3;11
1033;"Female";112;6.4;9.3
1033;"Female";101;2.9;4.3
1033;"Female";106;4;3.7
1033;"Female";111;12;5
1033;"Female";110;4.9;4.7
1033;"Male";103;2.8;2.8
1033;"Female";103;4.9;4.3
1033;"Female";108;12;5
1075;"Male";117;1.7;1.6
1075;"Male";105;2;2.4
1075;"Male";104;2.8;3.3
1075;"Male";105;2.7;2.3
1075;"Female";103;4.3;3.7
1075;"Female";105;6.4;3.8
1075;"Male";107;12;6.7
1075;"Male";111;2.1;1.6
1075;"Male";100;2.8;2
1075;"Female";111;12;10.9
1075;"Male";112;5.2;4.2
1075;"Female";111;3.9;4.8
1075;"Female";109;4.8;4.8
1075;"Male";107;2.7;2.9
1075;"Female";111;4.7;11
1075;"Female";103;3.2;2.7
1075;"Male";115;2.3;2.6
1075;"Male";108;8.7;7.3
1075;"Male";107;3.7;3.4
1075;"Female";101;4.2;3.5
1075;"Male";109;2.9;3.1
1075;"Female";110;3.9;5
1075;"Female";109;5.8;3.8
1075;"Female";102;10.6;5.5
1075;"Male";101;3.5;4.5
1075;"Male";110;5.2;3.1
1075;"Female";108;6.8;3.4
1075;"Male";107;6.4;4.6
1075;"Male";106;1.8;2.3
1075;"Female";110;3.9;4.2
1075;"Male";110;12;4.5
1075;"Male";117;1.4;3.1
1075;"Male";98;12;4.2
1075;"Female";115;2.3;2.5
1075;"Female";112;2.5;3.3
1075;"Female";104;4.2;3.5
1075;"Male";109;2.4;2.9
1075;"Male";104;1.9;1.8
1075;"Female";110;12;9.3
1075;"Male";106;4.6;11
1075;"Male";116;4.3;3.1
1075;"Female";112;7.3;11.2
1075;"Female";102;3.9;3.8
1075;"Male";95;4.4;3.2
1075;"Male";110;2.6;3
1075;"Male";104;3;4.6
1075;"Female";108;5.2;6.4
1075;"Female";103;3.7;6.5
1075;"Female";114;4;8.4
1075;"Female";110;7.8;3.9
1075;"Male";105;3.9;2.8
1075;"Male";104;6.4;3.2
1075;"Female";104;3.9;2.9
1075;"Male";112;4;4.2
1103;"Female";114;1.8;2.1
1103;"Male";101;2.7;2.8
1103;"Male";120;1.8;2.9
1103;"Female";110;2.7;3.1
1103;"Male";105;2.3;4.2
1103;"Female";108;2.8;6.6
1103;"Male";110;2.4;2.6
1103;"Male";109;12;4.9
1103;"Male";102;3.4;6.8
1103;"Male";108;8.2;3
1103;"Male";109;6.4;5.2
1103;"Female";114;3;2.6
1103;"Female";110;2.9;3.3
1103;"Female";118;2.8;4.2
1103;"Female";109;4.8;3.7
1103;"Female";104;2.3;2.2
1103;"Female";108;5;11.2
1103;"Male";98;2.9;3.3
1103;"Male";105;4.5;2.4
1103;"Male";111;4;4.5
1103;"Male";105;9.2;5
1103;"Male";106;3.2;3.6
1103;"Male";106;2.8;3.1
1103;"Female";105;4.9;4.5
1103;"Male";104;2.8;2.1
1103;"Female";108;3.1;2.7
1103;"Female";111;8.2;2.7
1103;"Female";106;3.3;2.7
1103;"Male";110;3.6;4.5
1103;"Female";102;3.1;3.7
1103;"Male";110;4.8;5.4
1103;"Female";115;2;1.8
1103;"Female";118;2.2;3.9
1103;"Male";111;4.1;3.6
1103;"Male";105;3.5;7.5
1103;"Female";106;4.4;6.7
1103;"Male";102;2.2;2
1103;"Male";99;4.1;4.2
1103;"Male";112;8.2;10.9
1103;"Female";118;1.9;1.7
1103;"Female";103;6.4;3.4
1103;"Female";116;3.1;2.9
1103;"Male";110;4.7;2.4
1103;"Female";117;4.2;3.2
1105;"Male";112;4.5;3.9
1105;"Male";101;3.1;4.9
1105;"Female";112;3.1;3
1105;"Female";109;7.5;8.4
1105;"Female";110;3.5;2.8
1105;"Male";107;4.1;4.4
1105;"Female";111;4.9;6.2
1105;"Male";109;3.5;3.4
1105;"Male";107;2.8;3.6
1105;"Female";102;1.8;1.1
1105;"Female";101;6.4;11
1105;"Female";111;8.7;6.7
1105;"Male";103;12;10.9
1105;"Female";105;12;8.2
1105;"Female";102;2.2;2.1
1105;"Male";105;3.1;2.2
1105;"Male";103;3.1;3
1105;"Male";113;3.6;4.2
1105;"Female";110;12;11.2
1105;"Male";107;3.1;6.2
1105;"Male";103;6.4;3.9
1105;"Male";111;3.5;3.1
1105;"Male";103;4.7;4.1
1105;"Female";110;4.3;4.4
1105;"Male";119;4.9;3.2
