"age";"prebody";"prelet";"preform";"prenumb";"prerelat";"preclas";"postbody";"postlet";"postform";"postnumb";"postrel";"postclas";"peabody"
66;16;23;12;40;14;20;18;30;14;44;14;23;62
67;30;26;9;39;16;22;30;37;17;39;14;22;80
56;22;14;9;9;9;8;21;46;15;40;9;19;32
49;23;11;10;14;9;13;21;14;13;19;8;15;27
69;32;47;15;51;17;22;32;53;18;54;14;21;71
54;29;26;10;33;14;14;27;36;14;39;16;24;32
47;23;12;11;13;11;12;22;45;12;44;12;15;28
51;32;48;19;52;15;23;31;47;18;51;17;23;38
69;27;44;18;42;15;20;32;50;17;48;14;24;49
53;30;38;17;31;10;17;32;52;19;52;17;24;32
58;25;48;14;38;16;18;26;52;15;42;10;17;43
58;21;25;13;29;16;21;27;29;15;40;13;19;58
49;28;8;9;13;8;12;20;16;9;18;10;13;39
64;26;11;15;21;10;15;26;28;15;35;16;14;43
58;23;15;9;16;9;11;28;21;10;22;10;17;56
49;25;12;17;24;12;18;28;45;14;45;13;21;37
57;25;15;13;26;10;18;25;24;16;28;8;18;43
45;16;12;8;11;6;3;25;16;11;17;9;9;29
45;25;16;12;23;10;13;32;46;18;35;14;19;45
60;19;19;8;23;14;10;28;50;12;38;12;13;51
65;29;24;14;41;10;23;29;48;20;51;15;24;55
44;25;15;17;22;11;16;32;42;19;45;15;19;49
38;20;9;2;7;8;9;22;23;17;19;15;14;31
35;11;6;8;16;8;9;22;27;16;20;14;15;40
42;15;7;8;11;12;7;14;13;7;21;12;10;48
50;26;14;10;36;13;17;25;18;14;42;13;18;35
61;28;42;16;40;16;11;24;27;15;20;14;14;62
34;17;13;7;10;5;11;21;17;13;13;10;15;42
60;23;13;9;23;11;14;28;20;18;45;14;21;58
39;11;5;5;5;5;1;27;15;13;9;8;12;29
39;24;4;11;25;11;17;21;11;12;13;9;10;49
41;24;8;3;14;8;8;21;17;10;18;9;14;30
55;31;15;17;45;16;24;32;43;18;46;13;21;62
42;23;11;7;15;6;7;29;27;14;33;9;19;58
50;18;17;12;28;12;17;29;41;15;48;12;22;55
58;13;12;6;10;6;11;29;23;11;27;8;10;33
