"age";"edc";"y1";"y2";"y3";"y4";"y5";"y6";"y7";"y8"
2;"graduated";22;20;20;41;17;20;12;32
2;"graduated";22;29;18;53;17;34;18;35
2;"not graduated";15;16;19;40;15;40;14;24
2;"graduated";23;26;24;54;19;33;10;26
2;"graduated";24;21;21;61;17;50;16;39
2;"graduated";18;21;23;40;15;36;5;26
2;"graduated";21;21;22;49;12;27;11;26
2;"graduated";24;28;13;58;18;34;14;22
2;"graduated";22;23;24;48;17;44;17;34
2;"not graduated";16;23;20;23;16;27;8;32
2;"graduated";18;23;18;35;16;29;11;31
2;"graduated";16;18;26;50;16;45;10;29
2;"graduated";22;20;22;55;15;23;13;29
2;"graduated";23;24;23;41;15;37;15;33
2;"graduated";11;23;20;42;13;33;16;19
2;"graduated";22;26;19;58;17;49;17;38
2;"graduated";21;20;22;42;16;33;17;34
2;"not graduated";8;18;17;22;13;34;12;31
2;"not graduated";14;16;18;32;16;37;8;36
2;"graduated";25;24;25;59;19;34;11;33
2;"graduated";17;26;19;46;16;46;12;38
2;"not graduated";22;26;23;52;17;43;18;27
2;"graduated";16;16;21;36;15;47;15;36
2;"graduated";22;23;22;51;17;35;15;36
2;"graduated";21;16;20;45;16;42;17;35
2;"graduated";19;14;19;30;16;26;18;31
2;"graduated";19;22;23;45;14;22;14;23
2;"graduated";17;20;17;39;14;28;12;32
2;"graduated";20;20;21;46;13;27;11;25
2;"not graduated";7;2;10;42;16;28;13;12
2;"not graduated";15;16;23;40;13;36;12;28
2;"not graduated";13;10;18;21;16;22;16;30
2;"graduated";12;8;16;18;9;9;7;19
2;"graduated";27;22;20;55;18;37;17;32
2;"graduated";10;18;13;24;16;22;20;21
2;"graduated";24;23;23;48;15;38;15;33
2;"graduated";14;18;14;36;16;37;13;28
2;"graduated";12;21;15;34;15;29;14;25
2;"graduated";21;16;15;40;13;23;11;13
2;"graduated";16;12;9;22;12;16;17;26
2;"not graduated";17;17;22;44;15;19;8;24
2;"not graduated";12;11;8;28;16;37;14;24
2;"graduated";20;22;16;57;18;37;13;33
2;"graduated";22;28;26;60;16;36;9;39
2;"not graduated";7;22;19;21;15;42;13;30
2;"not graduated";12;6;12;24;16;42;17;29
2;"not graduated";9;11;5;16;15;29;6;32
2;"graduated";20;15;22;35;16;49;13;36
2;"not graduated";17;14;8;38;13;23;9;24
2;"not graduated";22;23;24;52;18;35;15;34
2;"graduated";14;17;16;45;8;14;16;16
2;"not graduated";10;16;11;35;16;20;9;22
2;"graduated";7;14;14;23;17;38;14;28
2;"not graduated";14;23;12;19;17;30;12;32
2;"not graduated";16;17;18;37;18;33;13;36
2;"not graduated";18;17;15;39;17;33;12;35
2;"graduated";21;24;22;49;14;35;14;32
2;"graduated";21;19;20;43;14;28;12;18
2;"graduated";23;16;20;50;18;38;13;32
2;"graduated";21;19;15;42;18;42;17;34
2;"graduated";15;18;17;32;16;27;10;9
2;"not graduated";20;9;18;34;15;45;16;36
2;"not graduated";14;18;11;28;14;21;19;26
2;"graduated";18;24;20;60;18;44;19;41
2;"not graduated";7;15;16;23;14;25;8;25
2;"not graduated";7;11;13;17;16;34;13;30
2;"not graduated";19;24;22;51;18;37;18;34
2;"graduated";22;23;20;51;16;40;18;34
2;"not graduated";6;10;16;21;15;26;8;29
2;"graduated";5;11;10;12;15;29;11;23
2;"not graduated";3;8;7;11;13;21;14;15
2;"not graduated";20;19;18;46;17;22;12;37
2;"not graduated";18;20;16;42;15;15;18;32
2;"graduated";14;13;16;34;16;34;14;23
2;"graduated";16;15;17;33;13;29;14;26
2;"graduated";20;19;16;43;14;31;11;24
2;"not graduated";16;16;18;33;15;29;16;32
2;"graduated";24;20;15;52;15;42;14;36
2;"not graduated";20;21;16;52;14;21;14;32
2;"not graduated";13;18;18;37;16;36;14;31
2;"not graduated";8;10;2;11;10;8;4;12
2;"graduated";20;21;20;48;8;35;10;36
2;"graduated";23;17;24;42;17;39;14;33
2;"not graduated";21;24;21;53;19;0;16;29
2;"not graduated";7;17;18;22;14;32;2;36
2;"not graduated";6;8;3;13;10;29;2;30
2;"graduated";22;20;22;55;14;44;17;33
2;"not graduated";9;13;16;19;13;22;9;16
2;"graduated";7;19;14;15;14;17;11;31
2;"not graduated";14;14;15;22;12;27;4;24
2;"graduated";23;23;23;51;19;21;16;37
2;"not graduated";17;21;19;61;15;30;13;19
2;"not graduated";5;17;19;13;11;17;8;18
2;"graduated";11;8;9;10;12;16;9;33
2;"not graduated";18;15;15;29;15;22;14;30
2;"not graduated";9;13;18;16;13;24;4;32
2;"not graduated";6;10;7;14;11;27;6;27
