gene_id,accession,timepoint,expression_value,replicate
AT2G45660,Col0,15,76.9593628710964,ERR_ds_klepikova_SRR1688425
AT2G45660,Col0,14,81.9615062570702,ERR_ds_klepikova_SRR1688328
AT2G45660,Col0,16,59.2407681332679,ERR_ds_klepikova_SRR1688427
AT2G45660,Col0,15,68.8558146223563,ERR_ds_klepikova_SRR1688426
AT2G45660,Col0,12,64.2178007965299,ERR_ds_klepikova_SRR2106520
AT2G45660,Col0,10,72.9847567398013,ERR_ds_klepikova_SRR1661475
AT2G45660,Col0,16,64.2330043572534,ERR_ds_klepikova_SRR1688429
AT2G45660,Col0,9,11.4191709143446,ERR_ds_klepikova_SRR2073174
AT2G45660,Col0,12,47.431334564074,ERR_ds_klepikova_SRR1661484
AT2G45660,Col0,9,16.5032679160079,ERR_ds_klepikova_SRR1661473
AT2G45660,Col0,11,32.6805293897326,ERR_ds_klepikova_SRR1661477
AT2G45660,Col0,13,69.1643468600654,ERR_ds_klepikova_SRR1688325
AT2G45660,Col0,10,59.8435218231526,ERR_ds_klepikova_SRR1661476
AT2G45660,Col0,12,40.1783915345131,ERR_ds_klepikova_SRR1661483
AT2G45660,Col0,8,13.8613539805331,ERR_ds_klepikova_SRR1660398
AT2G45660,Col0,13,82.5513040230774,ERR_ds_klepikova_SRR2073146
AT2G45660,Col0,11,47.315485297214,ERR_ds_klepikova_SRR1661478
AT2G45660,Col0,9,11.7895344205368,ERR_ds_klepikova_SRR2073176
AT2G45660,Col0,10,25.4166515344412,ERR_ds_klepikova_SRR2073142
AT2G45660,Col0,14,52.865741111375,ERR_ds_klepikova_SRR1688327
AT2G45660,Col0,8,10.3440236969267,ERR_ds_klepikova_SRR1660397
AT2G45660,Col0,10,29.9076116140624,ERR_ds_klepikova_SRR2073143
AT2G45660,Col0,13,107.134990316358,ERR_ds_klepikova_SRR2073141
AT2G45660,Col0,11,25.4933061972429,ERR_ds_klepikova_SRR2073144
AT2G45660,Col0,12,50.0462382683523,ERR_ds_klepikova_SRR2073179
AT2G45660,Col0,7,12.7606922534648,ERR_ds_klepikova_SRR1659922
AT2G45660,Col0,7,15.2872258487873,ERR_ds_klepikova_SRR1659921
AT2G45660,Col0,13,61.5458266113787,ERR_ds_klepikova_SRR1688326
AT2G45660,Col0,11,18.2197432289641,ERR_ds_klepikova_SRR2073145
AT2G45660,Col0,9,23.7414850625046,ERR_ds_klepikova_SRR1661474
