"site_id","year","FFD"
"X005c",1991,25.96685083
"X005c",1992,10.43956044
"X005c",1993,33.14917127
"X005c",1994,15.46961326
"X005c",1995,20.99447514
"X005c",1996,27.47252747
"X005c",1997,23.75690608
"X005c",1998,10.49723757
"X005c",1999,12.15469613
"X005c",2000,12.63736264
"X005c",2001,23.20441989
"X005c",2002,20.44198895
"X005c",2003,11.60220994
"X005c",2004,15.38461538
"X005c",2005,14.91712707
"X005c",2006,17.12707182
"X005c",2007,18.78453039
"X005c",2008,25.82417582
"X005c",2009,22.09944751
"X005c",2010,9.944751381
"X005c",2011,17.12707182
"X005c",2012,16.48351648
"X005c",2013,7.182320442
"X005c",2014,11.04972376
"X005c",2015,8.839779006
"X005c",2016,9.340659341
"X005c",2017,22.6519337
"X005c",2018,14.36464088
"X003b",1991,44.75138122
"X003b",1992,24.72527473
"X003b",1993,53.59116022
"X003b",1994,33.70165746
"X003b",1995,41.43646409
"X003b",1996,41.75824176
"X003b",1997,45.85635359
"X003b",1998,30.38674033
"X003b",1999,44.75138122
"X003b",2000,38.46153846
"X003b",2001,48.06629834
"X003b",2002,54.14364641
"X003b",2003,34.80662983
"X003b",2004,37.91208791
"X003b",2005,40.8839779
"X003b",2006,40.8839779
"X003b",2007,43.64640884
"X003b",2008,60.43956044
"X003b",2009,61.32596685
"X003b",2010,38.67403315
"X003b",2011,56.90607735
"X003b",2012,58.24175824
"X003b",2013,44.19889503
"X003b",2014,45.85635359
"X003b",2015,40.8839779
"X003b",2016,32.41758242
"X003b",2017,49.17127072
"X003b",2018,50.27624309
"X011c",1991,24.86187845
"X011c",1992,4.945054945
"X011c",1993,27.0718232
"X011c",1994,14.91712707
"X011c",1995,28.17679558
"X011c",1996,35.16483516
"X011c",1997,41.98895028
"X011c",1998,24.30939227
"X011c",1999,25.41436464
"X011c",2000,24.72527473
"X011c",2001,35.91160221
"X011c",2002,33.14917127
"X011c",2003,17.67955801
"X011c",2004,24.17582418
"X011c",2005,25.41436464
"X011c",2006,24.30939227
"X011c",2007,30.38674033
"X011c",2008,36.81318681
"X011c",2009,39.22651934
"X011c",2010,19.33701657
"X011c",2011,32.0441989
"X011c",2012,26.92307692
"X011c",2013,12.15469613
"X011c",2014,20.99447514
"X011c",2015,13.8121547
"X011c",2016,16.48351648
"X011c",2017,35.35911602
"X011c",2018,27.0718232
