                 OBS    HYEAR     USDMG      DMGPC      LOSSPW
                   1     1932     0.1212     0.9708      36.73
                   2     1933     0.4387     3.4934     143.26
                   3     1934     0.1168     0.9242      39.04
                   4     1935     1.4177    11.1411     461.27
                   5     1936     3.1312    24.4524    1003.12
                   6     1937     4.7065    36.5341    1453.13
                   7     1938     1.0973     8.4521     313.66
                   8     1939     0.1520     1.1614      42.40
                   9     1940     0.4374     3.3106     120.88
                  10     1941     0.3949     2.9602     109.51
                  11     1942     0.8737     6.4786     240.24
                  12     1943     1.6268    11.8971     427.48
                  13     1944     0.8035     5.8058     195.05
                  14     1945     1.2888     9.2105     297.05
                  15     1946     0.5018     3.5491     116.43
                  16     1947     1.7344    12.0339     390.29
                  17     1948     1.3735     9.3671     285.40
                  18     1949     0.5629     3.7731     108.38
                  19     1950     1.0398     6.8286     198.11
                  20     1951     5.6528    36.4984    1056.33
                  21     1952     1.3690     8.6891     236.46
                  22     1953     0.6525     4.0734     107.42
                  23     1954     0.5648     3.4645      90.36
                  24     1955     5.1998    31.3371     806.56
                  25     1956     0.3269     1.9354      48.71
                  26     1957     1.7570    10.2161     249.82
                  27     1958     1.0422     5.9594     144.18
                  28     1959     0.6637     3.7322      90.18
                  29     1960     0.4294     2.3767      57.36
                  30     1961     0.7023     3.8233      91.91
                  31     1962     0.3387     1.8157      43.43
                  32     1963     0.7912     4.1809      98.49
                  33     1964     2.8619    14.9144     347.17
                  34     1965     3.3917    17.4557     395.67
                  35     1966     0.4899     2.4924      55.11
                  36     1967     1.5235     7.6669     162.96
                  37     1968     1.3184     6.5688     136.78
                  38     1969     3.3492    16.5248     331.18
                  39     1970     0.7928     3.8663      75.80
                  40     1971     0.9608     4.6268      88.78
                  41     1972    14.3417    68.3276    1252.83
                  42     1973     5.7584    27.1739     480.02
                  43     1974     1.6104     7.5304     128.58
                  44     1975     3.5015    16.2127     260.05
                  45     1976     7.2377    33.1951     521.51
                  46     1977     2.9511    13.3995     207.15
                  47     1978     1.4769     6.6352      99.99
                  48     1979     6.8101    30.2597     441.76
                  49     1980     2.6722    11.7601     164.98
                  50     1981     1.6328     7.1157      96.87
                  51     1982     3.8374    16.5645     220.55
                  52     1983     5.8878    25.1839     334.65
                  53     1984     5.3162    22.5430     303.60
                  54     1985     0.6862     2.8841      38.36
                  55     1986     8.0099    33.3561     436.77
                  56     1987     1.8700     7.7181      98.82
                  57     1988     0.2816     1.1517      14.53
                  58     1989     1.2965     5.2528      65.50
                  59     1990     1.8812     7.5417      93.79
                  60     1991     1.8786     7.4511      92.91
                  61     1992     0.8207     3.2184      40.75
                  62     1993    17.1678    66.6056     840.36
                  63     1994     1.1491     4.4147      54.63
                  64     1995     5.1108    19.4504     235.34
                  65     1996     5.9774    22.5410     269.62
                  66     1997     8.3576    31.2275     367.34
