"station" "r1" "r2" "r3" "r4"
"1" 1 85 82 80 80
"2" 2 98 86 84 82
"3" 3 75 74 74 70
"4" 4 95 94 89 86
"5" 5 88 87 86 80
"6" 6 93 91 84 84
"7" 7 108 99 86 79
"8" 8 101 94 90 88
"9" 9 81 80 78 76
"10" 10 89 89 86 86
"11" 11 74 73 71 69
"12" 12 102 94 89 84
"13" 13 66 64 62 62
"14" 14 88 84 82 80
"15" 15 100 97 96 92
"16" 16 72 71 69 69
"17" 17 82 75 74 74
"18" 18 86 84 78 76
"19" 19 83 83 79 79
"20" 20 138 119 104 102
"21" 21 113 107 107 106
"22" 22 144 124 123 107
"23" 23 141 118 112 110
"24" 24 137 125 98 98
"25" 25 99 98 98 97
"26" 26 145 114 108 103
"27" 27 103 99 93 89
"28" 28 151 120 113 110
"29" 29 153 126 108 104
"30" 30 143 129 100 97
"31" 31 125 108 105 102
"32" 32 123 108 101 99
"33" 33 115 99 93 86
"34" 34 119 111 110 104
"35" 35 121 112 100 100
"36" 36 115 107 100 100
"37" 37 117 105 100 90
"38" 38 122 114 108 89
"39" 39 128 115 114 97
"40" 40 114 103 96 96
"41" 41 78 75 74 72
"42" 42 88 80 79 79
"43" 43 102 95 93 92
"44" 44 94 92 91 89
"45" 45 76 76 74 73
"46" 46 107 105 105 105
"47" 47 97 90 88 86
"48" 48 86 85 81 80
"49" 49 96 90 84 82
"50" 50 91 90 87 86
"51" 51 97 96 93 92
"52" 52 144 119 114 110
"53" 53 112 90 87 87
"54" 54 84 77 70 69
"55" 55 83 82 78 77
"56" 56 88 87 86 83
"57" 57 93 90 89 83
"58" 58 118 99 89 87
"59" 59 85 83 79 78
"60" 60 96 81 80 77
"61" 61 101 87 86 83
"62" 62 97 96 92 91
"63" 63 87 84 78 74
"64" 64 82 77 75 75
"65" 65 84 77 77 74
"66" 66 92 84 81 77
"67" 67 105 94 89 88
"68" 68 107 95 95 95
"69" 69 79 76 76 76
"70" 70 78 77 73 73
"71" 71 90 88 81 78
"72" 72 79 78 76 75
"73" 73 98 90 83 83
"74" 74 79 78 76 76
"75" 75 85 81 78 76
"76" 76 101 89 85 84
"77" 77 112 102 99 89
"78" 78 112 106 100 92
"79" 79 101 91 87 83
"80" 80 92 89 88 80
"81" 81 81 79 79 78
"82" 82 89 84 81 77
"83" 83 104 97 92 92
"84" 84 104 94 91 89
"85" 85 100 91 89 82
"86" 86 108 93 89 88
"87" 87 103 101 99 95
"88" 88 80 78 71 71
"89" 89 83 81 75 73
"90" 90 76 73 73 73
"91" 91 71 71 69 66
"92" 92 87 86 81 80
"93" 93 76 76 75 72
"94" 94 77 74 74 72
"95" 95 90 81 75 75
"96" 96 82 78 72 72
"97" 97 82 81 74 73
"98" 98 90 88 87 86
"99" 99 90 90 88 87
"100" 100 112 106 102 98
"101" 101 99 94 89 89
"102" 102 110 107 90 84
"103" 103 122 99 98 96
"104" 104 101 99 91 88
"105" 105 89 87 85 81
"106" 106 101 100 99 92
"107" 107 97 96 95 95
"108" 108 113 108 99 97
"109" 109 97 87 85 82
"110" 110 90 86 86 85
"111" 111 105 96 92 90
"112" 112 94 93 87 86
"113" 113 95 90 88 87
"114" 114 101 100 95 91
"115" 115 97 91 89 88
"116" 116 94 88 87 85
"117" 117 109 102 94 92
"118" 118 106 99 92 92
"119" 119 105 102 94 94
"120" 120 105 102 94 94
"121" 121 99 88 87 84
"122" 122 88 88 87 86
"123" 123 100 96 94 92
"124" 124 109 98 98 96
"125" 125 108 97 96 95
"126" 126 72 69 69 68
"127" 127 75 69 68 65
"128" 128 68 67 64 60
"129" 129 68 66 66 64
"130" 130 82 75 74 73
"131" 131 83 76 75 74
"132" 132 71 69 65 63
"133" 133 67 65 64 58
"134" 134 93 91 89 81
"135" 135 78 76 74 74
"136" 136 86 86 83 81
"137" 137 113 88 87 86
"138" 138 111 92 89 86
"139" 139 102 99 90 89
"140" 140 86 84 83 82
"141" 141 99 97 91 87
"142" 142 88 88 80 77
"143" 143 96 89 84 82
"144" 144 89 87 84 78
"145" 145 91 87 84 79
"146" 146 95 87 86 85
"147" 147 74 74 72 71
"148" 148 77 77 77 75
"149" 149 92 92 86 82
"150" 150 105 99 91 90
"151" 151 100 98 95 92
"152" 152 102 100 91 89
"153" 153 97 90 83 80
"154" 154 96 95 92 84
"155" 155 74 68 68 66
"156" 156 102 97 93 93
"157" 157 94 91 87 85
"158" 158 99 89 88 86
"159" 159 91 85 84 83
"160" 160 83 82 79 77
"161" 161 109 108 98 86
"162" 162 65 63 63 62
"163" 163 70 65 64 64
"164" 164 83 81 75 73
"165" 165 76 73 73 73
"166" 166 112 97 88 87
"167" 167 92 90 84 83
"168" 168 88 85 83 81
"169" 169 96 87 85 85
