id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1001,3,0.685,0.650,0.631,0.597,0.508,0.500,0.487,0.469,0.454,0.467,0.460
1002,3,0.867,0.846,0.835,0.874,0.938,0.885,0.875,0.899,0.863,0.866,0.919
1003,1,0.633,0.609,0.653,0.683,0.672,0.617,0.602,0.584,0.556,0.566,0.589
1004,5,0.810,0.778,0.822,0.876,0.822,0.909,1.000,1.000,1.000,1.000,1.000
1005,2,0.805,0.848,0.943,0.997,1.000,1.000,1.000,0.983,1.000,0.984,0.968
1006,1,0.797,0.802,0.721,0.789,0.760,0.786,0.728,0.716,0.707,0.706,0.727
1007,2,0.865,0.881,0.870,0.870,0.818,0.910,0.943,0.990,0.982,1.000,1.000
1008,4,0.858,0.908,0.888,0.880,0.856,0.865,0.902,0.865,0.864,0.852,0.844
1009,5,0.897,0.823,0.800,0.779,0.818,0.795,0.773,0.731,0.752,0.773,0.804
1010,2,0.846,0.768,0.740,0.703,0.713,0.649,0.650,0.675,0.666,0.720,0.739
1011,2,0.751,0.785,0.846,0.903,0.940,0.965,1.000,1.000,1.000,0.968,0.965
1012,4,0.842,0.847,0.817,0.889,0.891,0.908,0.954,0.957,0.920,0.975,0.943
1013,1,0.663,0.656,0.635,0.657,0.664,0.581,0.607,0.635,0.619,0.656,0.637
1014,4,0.539,0.539,0.592,0.549,0.589,0.581,0.565,0.559,0.565,0.575,0.557
1015,5,0.625,0.600,0.628,0.649,0.625,0.604,0.564,0.536,0.537,0.543,0.553
1016,2,0.640,0.643,0.556,0.548,0.540,0.516,0.534,0.544,0.531,0.540,0.535
1017,3,0.778,0.793,0.784,0.737,0.717,0.716,0.714,0.708,0.727,0.702,0.667
1018,4,0.874,0.889,0.905,0.985,1.000,1.000,1.000,0.969,1.000,1.000,1.000
1019,4,0.710,0.717,0.680,0.692,0.710,0.672,0.650,0.689,0.643,0.629,0.612
1020,1,0.583,0.580,0.595,0.575,0.580,0.573,0.544,0.523,0.511,0.530,0.530
1021,5,0.670,0.674,0.680,0.659,0.720,0.712,0.682,0.712,0.712,0.741,0.730
1022,3,0.821,0.817,0.860,0.880,0.841,0.839,0.818,0.789,0.777,0.815,0.788
1023,3,0.751,0.715,0.681,0.664,0.695,0.650,0.684,0.703,0.661,0.649,0.677
1024,3,0.889,0.798,0.837,0.802,0.822,0.797,0.891,0.919,0.944,0.949,0.995
1025,1,0.630,0.659,0.653,0.603,0.627,0.620,0.661,0.670,0.708,0.685,0.631
1026,1,0.723,0.689,0.703,0.663,0.696,0.620,0.589,0.608,0.610,0.535,0.536
1027,4,0.704,0.698,0.687,0.734,0.733,0.723,0.714,0.679,0.735,0.685,0.623
1028,2,0.688,0.710,0.699,0.666,0.642,0.662,0.762,0.720,0.757,0.756,0.729
1029,5,0.794,0.868,0.838,0.848,0.921,1.000,1.000,1.000,0.989,0.980,0.965
1030,4,0.744,0.741,0.805,0.797,0.774,0.748,0.702,0.780,0.727,0.679,0.748
1031,2,0.875,0.891,0.892,0.837,0.858,0.827,0.897,0.955,0.906,0.956,0.943
1032,4,0.730,0.748,0.702,0.653,0.692,0.632,0.639,0.643,0.622,0.604,0.624
1033,5,0.952,0.996,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.981
1034,3,0.757,0.795,0.771,0.822,0.904,0.853,0.882,0.877,0.879,0.934,0.961
1035,3,0.638,0.645,0.636,0.665,0.730,0.755,0.730,0.735,0.740,0.728,0.690
1036,1,0.590,0.615,0.613,0.653,0.641,0.663,0.696,0.749,0.726,0.691,0.648
1037,5,0.833,0.770,0.808,0.790,0.826,0.760,0.765,0.757,0.780,0.732,0.733
1038,3,0.523,0.478,0.514,0.532,0.541,0.500,0.531,0.511,0.497,0.533,0.554
1039,3,0.799,0.821,0.776,0.813,0.779,0.720,0.697,0.679,0.706,0.711,0.730
1040,1,0.706,0.768,0.770,0.788,0.759,0.819,0.783,0.789,0.795,0.791,0.741
