id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1001,2003,39235,39132.25673,38988.60423,23614.84148,23629.58987,23981.55156,24032.26656,39364.19286,64585.58459,64018.87381,63758.15676
1002,2001,42533,70862.75211,69655.04378,70187.41463,42896.49455,42434.41606,42790.18322,71126.92711,71197.73727,117711.7528,116259.4898
1003,2002,81463,81950.40603,49711.083,49542.8528,49628.85936,82498.21379,133827.5138,133013.9933,133126.1844,80077.66791,80559.26772
1004,2004,34363,33788.56488,33744.42552,33556.58172,33658.70241,20477.59341,19994.63454,19939.64129,19850.30365,19869.06281,31870.81167
1005,2000,96627,97232.96232,96614.22746,95153.38149,57226.46073,57846.22278,57361.4931,94513.91744,95099.73896,94393.98329,93521.18622
1006,2000,81552,81219.28205,80966.39,81258.77223,80573.05039,79874.91511,79569.1224,79847.03322,80492.58639,80553.66123,80703.09367
1007,2001,42193,42102.27809,42440.05813,42577.50529,42574.68544,42912.28614,43258.98593,26330.24155,26235.28113,26836.71533,26976.25738
1008,2001,462,467.4206426,465.9307262,469.4538548,478.1985832,470.5864866,460.6614485,456.7569633,462.8132518,459.2281921,755.6714128
1009,2003,5567,3344.725995,3346.511561,3343.875166,3363.313019,3370.331227,3359.008163,3347.249861,5492.753459,5502.702401,9123.968656
1010,2000,37567,38267.75664,38473.71965,39172.29572,39107.146,39314.80136,24063.15608,23935.26683,24104.57469,24196.19203,14635.28158
1011,2000,12459,20793.20404,20526.75896,20649.94561,20760.35116,34218.99328,34648.51248,34790.58367,34690.62868,21207.89532,12844.80789
1012,2002,67104,66927.69416,66166.44424,65674.78179,64685.95061,64618.5859,63881.05804,64292.42279,64733.95694,64932.77883,65193.06557
1013,2001,75618,75933.09845,76119.27315,76815.49828,76576.88786,75853.85328,76978.42518,76634.59923,76386.60978,76805.23935,47431.73981
1014,2002,82765,50294.90502,49430.35797,50067.935,49527.98779,49429.42625,49581.96382,49922.96552,82150.47139,82415.04453,81409.87595
1015,2002,26809,26652.77231,26691.80835,26882.01383,27127.80889,16627.28843,27264.06018,27291.61336,27014.16154,27367.77976,27458.24935
1016,2000,84272,82648.44954,49949.70694,30263.42378,18445.09225,18743.90685,18959.051,19065.07547,18943.73001,19001.51322,18966.80945
1017,2002,41498,40940.07136,41166.49334,41036.60916,40882.84713,40911.64,40917.16211,40890.01573,40105.03775,24199.07502,14541.42608
1018,2002,50863,51140.10732,51072.53224,50600.04939,49955.52279,49929.43486,49511.59565,49626.63589,81542.35376,81474.90933,81902.21865
1019,2003,68581,69547.48935,69214.99765,68784.08269,68756.90803,69730.33116,114759.8443,188103.8503,188064.8994,311319.117,308522.599
1020,2004,45109,44924.82163,44826.47613,44901.1893,27423.20235,27222.30534,27405.57644,27208.25403,27306.39257,45563.76808,45233.05828
1021,2001,4977,4979.486179,5011.585001,5037.810611,5034.917539,3068.155922,3055.202253,4984.00091,5017.311725,3033.604258,3035.895765
1022,2001,56914,56583.56037,56411.55052,56281.87144,56587.37421,56894.79701,57176.76833,58458.57529,35162.54016,21276.12744,12887.92225
1023,2004,13267,13369.92617,13587.28245,13529.06404,13570.05924,13636.54497,13633.37728,13601.58014,22230.94925,22540.53938,22759.98748
1024,2000,47183,77142.66139,77307.7981,76522.84472,126525.7236,126236.1986,77655.00924,76544.66868,77114.55557,77219.14494,77546.92022
1025,2000,57551,57473.56873,57207.97942,56236.42123,56667.68144,56957.48477,57230.80044,57317.37914,58856.2304,36024.51286,58695.53979
1026,2002,7756,7638.516695,7572.975074,7610.186105,7737.909786,12781.05917,12699.72098,12749.88344,12851.90463,13060.19729,13093.47395
1027,2002,93249,94670.87009,56891.38567,93872.03563,94030.82354,94712.23316,94400.47407,92633.88655,93324.31178,93732.06425,93274.90583
1028,2002,19710,20222.37505,20292.75487,20207.12664,20464.77746,20488.19171,20379.75895,20409.4543,20239.92417,20233.97191,20233.27607
1029,2003,80082,131229.2436,133060.2533,133898.1763,222470.3369,220051.6481,218284.1302,218425.6192,216521.7677,219919.3648,133561.8324
1030,2003,29286,29439.93376,17896.74309,18282.91287,18101.69723,18088.34736,29878.93657,30292.89132,30130.52176,29785.46863,29681.77871
1031,2004,95708,95835.75091,95834.11008,95214.67941,95566.85375,94239.33131,94983.17902,95017.30991,157941.9846,158970.9358,157129.1045
1032,2000,68758,69721.71258,69410.89876,68941.33235,67751.41863,67766.72903,67859.87396,68336.72694,68871.90572,68526.37526,67421.23973
1033,2001,83550,83804.86647,83369.44967,82869.78041,83676.21505,50682.39929,31031.84204,31290.29975,31252.44667,31140.03955,31101.55413
1034,2000,33525,33407.28078,33951.77464,33746.87926,33531.84223,33778.57039,33602.50418,33373.33276,33544.46425,33247.46357,33549.50265
1035,2002,64915,110320.2997,109933.7008,66425.24921,66092.46927,66275.4931,66190.09799,65550.46103,65593.48985,66838.18549,66879.83407
1036,2003,64175,64859.14599,65261.64467,64672.99546,64380.08603,65277.47151,66065.73509,66375.29281,65066.69851,64725.28293,64750.90849
1037,2004,59793,59144.36942,59604.63749,59386.06476,59695.50453,58869.7934,59299.03696,98240.6011,98861.42335,100210.7832,100978.609
