id,cohort,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
1001,2001,0.00,0.00,24415.00,24485.61,25253.05,0.00,24703.00,24036.05,23662.88,24120.99,0.00
1002,2003,45106.00,45314.79,46713.58,49007.87,50888.86,47898.20,49399.55,53143.44,55978.71,56983.36,59182.61
1003,2004,80121.00,82263.35,83358.68,90643.29,89680.17,94470.90,98536.20,104455.15,108826.24,107642.78,116288.30
1004,2002,93007.00,100408.36,105855.17,101288.34,109741.89,119094.33,113864.60,121033.57,118722.57,143593.33,145862.88
1005,2004,68428.00,69769.50,70192.14,71230.44,74149.44,80886.80,87339.71,85485.26,94353.29,95422.05,97787.60
1006,2004,0.00,0.00,11217.00,11831.39,12133.64,0.00,919.00,929.26,966.41,1017.02,1060.67
1007,2003,0.00,0.00,0.00,0.00,0.00,0.00,1723.00,1894.04,2001.52,1939.15,1964.12
1008,2000,67509.00,71749.28,73799.39,77160.97,73450.81,79111.21,85815.89,95518.28,96129.53,97885.59,103166.31
1009,2002,30216.00,31416.22,28746.30,29151.70,30411.28,0.00,3422.00,3523.47,3582.43,3999.41,4460.67
1010,2000,32789.00,31190.60,32896.45,33466.00,34342.04,33729.72,34795.01,32065.38,32268.50,33189.30,35503.98
1011,2002,0.00,0.00,0.00,0.00,0.00,14530.00,15258.73,15340.89,14829.63,16366.86,16519.36
1012,2000,0.00,0.00,16979.00,17859.19,19404.88,19494.32,19504.70,20792.76,20690.52,23230.87,0.00
1013,2002,0.00,25283.00,25964.23,25639.66,24210.79,0.00,24037.00,24248.19,25783.26,25488.29,25753.44
1014,2001,98768.00,103444.54,104364.75,102323.54,106501.10,100531.94,103514.42,111985.88,114662.70,126731.44,125280.57
1015,2001,0.00,0.00,0.00,0.00,19244.00,19056.46,18789.38,19193.55,19321.71,20579.72,20304.30
1016,2004,0.00,0.00,7349.00,8341.51,8886.24,0.00,19144.00,20545.14,19783.24,21153.45,21414.35
1017,2000,0.00,6734.00,6925.92,6586.41,6733.85,6741.08,6864.63,7768.58,8248.98,8318.37,8334.78
1018,2003,20507.00,21188.50,23931.56,23288.34,24218.53,22856.72,23458.09,23901.21,23127.92,24179.97,23662.27
1019,2004,0.00,23459.00,22650.81,25065.43,23487.97,22159.06,22370.34,22129.94,21571.30,20412.90,22791.43
1020,2000,25698.00,26511.50,25428.11,24463.31,23849.93,25579.89,0.00,7582.00,7995.69,8075.84,7977.93
1021,2004,0.00,0.00,23607.00,25424.61,27315.06,28119.17,32836.44,31139.56,29261.35,28661.50,31346.26
1022,2001,32665.00,31418.01,31123.88,32168.22,31126.15,30263.64,31041.93,32082.41,34014.02,36919.61,37406.56
1023,2002,74418.00,76342.76,78109.58,0.00,24629.00,25633.57,24994.67,25053.95,24489.59,28312.76,29342.43
1024,2004,0.00,25702.00,0.00,24582.00,27389.41,24600.14,0.00,0.00,0.00,5062.00,5340.49
1025,2004,3009.00,3014.38,3339.07,3402.52,3758.92,3795.36,4023.13,3981.80,4178.99,4057.27,4323.57
1026,2001,8528.00,8287.45,8261.15,8666.58,8555.71,8442.87,8462.24,8444.00,8325.10,8425.34,0.00
1027,2003,13404.00,13613.84,13594.11,13142.48,12761.22,12258.78,13189.00,14805.90,14117.57,14147.59,14893.38
1028,2004,72611.00,73883.11,71835.35,75196.72,76158.22,76371.39,76095.45,82034.80,85402.23,86429.32,79483.69
1029,2000,0.00,0.00,7038.00,7024.17,7699.69,7753.64,8023.60,0.00,0.00,20479.00,20546.73
1030,2004,59943.00,54313.50,56924.63,57998.43,59594.21,58382.43,54005.26,0.00,0.00,0.00,15346.00
1031,2003,97143.00,105960.92,108770.35,106165.01,103594.40,105539.03,104818.90,110394.79,114824.56,113418.82,120391.71
1032,2003,25257.00,27482.41,27245.65,26936.41,27790.18,30631.08,29164.07,29123.38,27690.94,27446.65,27751.44
1033,2000,12900.00,13801.45,14615.25,0.00,0.00,0.00,0.00,0.00,8107.00,7979.09,8124.33
1034,2004,0.00,27784.00,26407.21,27528.84,27354.11,27921.21,29134.01,29599.29,27930.38,28366.35,28900.08
1035,2000,29316.00,29974.93,30175.56,30017.16,28864.33,26894.17,28033.32,27170.39,29421.85,31475.16,31998.98
1036,2000,0.00,0.00,11736.00,12404.31,12490.89,12367.27,11977.08,12720.92,13478.27,13860.74,13482.16
1037,2003,0.00,0.00,0.00,7873.00,8106.78,8299.66,8170.78,8454.00,8821.81,8790.20,8982.70
1038,2004,90068.00,93775.08,101232.73,94206.60,91746.37,99311.87,99755.87,103604.12,102439.62,103411.97,0.00
1039,2003,31460.00,31558.28,31255.82,34149.79,36574.63,41394.69,40449.74,40730.50,42306.52,46137.77,47347.89
1040,2002,45500.00,45681.96,45971.39,48220.00,50455.73,49270.43,49332.98,49919.17,49696.64,51708.11,52609.27
1041,2002,0.00,0.00,8923.00,9642.67,10329.72,10469.79,10456.16,11099.55,0.00,20768.00,21373.32
1042,2000,0.00,18767.00,19281.98,21960.86,24239.49,27805.92,26908.49,27083.64,27779.87,25796.03,23593.10
1043,2004,82322.00,82306.89,90626.22,99486.54,103286.72,101394.96,99326.56,108253.08,112019.03,112499.54,106434.60
1044,2003,27887.00,27173.31,26141.61,0.00,0.00,1480.00,1532.97,1710.57,1728.03,1719.73,1657.22
1045,2000,76879.00,72450.81,77356.51,78414.77,81321.47,82286.70,83133.05,79565.88,77558.88,77402.45,82269.92
1046,2000,0.00,21047.00,21067.10,21611.29,21131.75,22863.49,22497.71,23034.14,25238.37,25000.64,26822.83
1047,2000,28486.00,26831.66,26597.01,27607.05,27480.08,27452.19,27114.80,28342.13,31222.88,31331.42,33169.12
1048,2001,60689.00,63238.81,58018.47,64786.08,61915.21,60042.23,56058.98,57703.24,56847.06,59204.65,58922.29
1049,2003,13636.00,12850.69,13072.76,13950.97,13593.34,13423.82,12874.00,13820.42,13968.61,14205.33,14192.29
1050,2000,0.00,0.00,0.00,0.00,0.00,0.00,5006.00,5170.62,5343.91,5602.78,5750.22
1051,2003,1701.00,1777.24,1717.85,1738.63,1852.40,1937.00,1966.32,1928.76,1938.76,2063.13,2009.11
1052,2001,0.00,0.00,0.00,24087.00,24031.42,23136.39,25174.69,26941.12,28198.16,27608.43,25685.52
1053,2001,37638.00,36992.51,35861.26,35434.21,34459.20,36129.69,34715.83,36568.09,35689.33,38130.83,38878.54
1054,2002,0.00,0.00,0.00,4062.00,4276.77,4742.47,4984.70,4803.46,4890.40,5267.41,5128.19
1055,2004,97100.00,103187.69,109880.67,107928.15,104226.13,109035.09,108988.50,111479.95,120561.03,127100.36,129747.20
1056,2000,0.00,3726.00,3722.76,3728.29,3665.31,3737.97,3626.80,3625.83,3738.57,3721.99,3805.07
1057,2001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13032.00,14369.42,15718.41
1058,2002,0.00,0.00,0.00,0.00,0.00,0.00,19892.00,20568.67,20243.44,21129.16,20324.86
1059,2000,0.00,26571.00,26007.85,24610.97,25631.62,25211.85,24631.76,28283.36,30157.17,28785.16,27286.50
1060,2001,77174.00,80938.95,87395.33,84620.07,83547.96,87232.33,96144.69,98048.06,89864.18,88287.98,91444.50
1061,2000,40496.00,41173.08,41125.73,0.00,28833.00,30415.98,28608.88,28971.28,28314.75,30654.87,32235.65
1062,2003,98771.00,95975.37,105244.87,108560.25,0.00,0.00,0.00,0.00,3566.00,3865.54,0.00
1063,2000,0.00,0.00,15805.00,17014.63,17534.04,17912.55,0.00,0.00,0.00,0.00,16313.00
1064,2001,97907.00,98906.15,91272.79,0.00,24145.00,24001.09,23462.54,25891.68,26812.00,27128.17,29060.47
1065,2003,0.00,20496.00,21721.88,23491.06,26185.03,26525.08,25636.09,26539.18,25933.10,27803.25,27085.95
1066,2003,0.00,0.00,28286.00,26847.12,27660.77,28294.21,28710.73,29211.46,30703.43,31425.15,30793.83
1067,2003,72093.00,67332.19,72330.65,74412.99,0.00,0.00,0.00,0.00,26134.00,24565.38,0.00
1068,2004,0.00,4068.00,4115.40,3865.13,3928.76,4194.46,3903.85,4010.86,4318.03,4266.43,4521.52
1069,2004,78929.00,77033.25,75024.68,75047.96,79106.09,0.00,17728.00,19462.53,20770.09,21471.82,22396.66
1070,2001,0.00,14969.00,15489.43,15628.79,15825.06,15903.12,15738.79,14837.37,15128.22,15119.84,14696.82
1071,2004,41443.00,42824.18,42594.75,42676.21,44104.30,43586.94,44685.98,43721.08,45227.96,45080.08,49699.28
1072,2003,0.00,11998.00,13256.62,13255.24,14548.79,14325.12,15943.65,17360.03,19312.25,0.00,18812.00
1073,2001,52084.00,52345.26,51552.66,0.00,27126.00,28083.25,29870.62,33148.51,34531.47,37442.84,36307.36
1074,2001,0.00,0.00,0.00,10324.00,0.00,0.00,0.00,1702.00,1709.12,1745.75,1808.39
1075,2000,99406.00,107347.08,106815.87,116352.53,121334.50,117136.31,117980.03,124688.50,122360.91,115793.88,118903.99
1076,2004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2050.00,1837.36,1784.05,1817.96
1077,2000,0.00,0.00,0.00,0.00,9766.00,11130.04,11718.98,12181.61,13319.28,14029.62,13296.40
1078,2000,0.00,0.00,16478.00,16492.52,17113.86,17361.89,16343.26,16571.39,15936.42,17485.28,20040.47
1079,2001,0.00,16060.00,17498.44,15841.19,15477.34,15672.84,15151.44,0.00,16107.00,17293.69,16303.09
1080,2002,85932.00,92650.53,0.00,0.00,279.00,0.00,21683.00,21752.57,22852.47,23417.40,23886.04
1081,2004,0.00,0.00,0.00,28096.00,27876.01,30422.74,0.00,8066.00,8291.09,7649.68,7636.57
1082,2002,0.00,0.00,0.00,23307.00,24123.53,25916.70,26561.33,28796.64,30169.06,0.00,0.00
1083,2003,12094.00,11523.24,10919.75,12289.17,12220.61,14149.60,14919.80,16198.49,15598.13,16739.92,15957.52
1084,2003,56134.00,53182.82,52607.19,52758.38,0.00,0.00,0.00,0.00,0.00,0.00,10458.00
1085,2001,0.00,0.00,20920.00,20102.95,20488.76,19779.76,20209.05,20361.93,20618.57,21069.83,0.00
1086,2002,38635.00,39496.08,37416.77,41051.20,44569.39,0.00,0.00,0.00,5709.00,5622.81,6135.03
1087,2003,85666.00,0.00,0.00,0.00,7932.00,7998.79,8863.66,9330.25,9730.60,9462.42,10946.76
1088,2003,80562.00,82808.32,0.00,21570.00,22451.59,0.00,0.00,0.00,0.00,0.00,0.00
1089,2004,0.00,0.00,27904.00,29970.68,32650.48,32818.30,32804.21,31245.07,33252.25,32039.68,32760.08
