,,,Raw Abundance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Blank,,,MB1113,,,MB1114,,,MB1115,,,MB1116,,,MB1117,,,MB1109,,,MB1110,,,MB1111,,,MB1112,,
Compound,m/z,Retention time (min),200826_blank1_r1,200826_blank1_r2,200826_blank1_r3,200826_PTY087I2_0umce1_r1,200826_PTY087I2_0umce1_r2,200826_PTY087I2_0umce1_r3,200826_PTY087I2_0umce2_r1,200826_PTY087I2_0umce2_r2,200826_PTY087I2_0umce2_r3,200826_PTY087I2_0umce3_r1,200826_PTY087I2_0umce3_r2,200826_PTY087I2_0umce3_r3,200826_PTY087I2_250umce1_r1,200826_PTY087I2_250umce1_r2,200826_PTY087I2_250umce1_r3,200826_PTY087I2_250umce2_r1,200826_PTY087I2_250umce2_r2,200826_PTY087I2_250umce2_r3,200826_PTY087I2_250umce3_r1,200826_PTY087I2_250umce3_r2,200826_PTY087I2_250umce3_r3,200826_media1_r1,200826_media1_r2,200826_media1_r3,200826_media2_r1,200826_media2_r2,200826_media2_r3,200826_media3_r1,200826_media3_r2,200826_media3_r3
0.80_418.1451n,419.1520828,0.802766667,0,0,0,302024.3977,305662.0487,310170.2364,297881.0193,303589.0316,302993.8027,302974.5839,303741.6788,305307.5888,304461.589,305909.5728,301102.3268,295073.0935,294507.8526,292934.1828,296501.3881,285505.5576,297442.4103,255482.6616,259923.3092,256021.5059,256086.1649,254782.4608,256524.3842,260141.6872,252624.6524,258254.2441
0.81_210.0803m/z,210.0803421,0.809916667,0,0,0,165582.521,166833.631,167507.5475,162552.1965,164746.3211,163903.734,163537.7504,163110.5199,162538.7182,159919.3592,162244.1441,160509.2149,156986.2942,157018.7416,158178.5414,158784.3314,156528.8967,158022.7622,170590.9885,172671.6994,170716.0539,168874.3698,167636.7017,169296.3161,169513.0934,167252.6177,170766.4661
4.11_444.1061n,889.218976,4.110983333,0,0,0,34018.69364,35301.62378,35432.50963,20008.216,20050.72264,20880.29986,22257.61067,23254.43336,23551.62571,115011.9215,113790.373,111088.3039,91716.77607,93573.47803,91634.24982,109639.8989,105935.6966,109386.9001,0,0,0,0,0,0,0,0,0
4.11_400.0799n,401.0872034,4.110983333,0,0,0,43581.86821,43705.43252,43577.72398,31556.34314,31272.70481,32045.00687,32885.51773,34089.23273,34572.55101,86989.85992,86601.43933,84092.94428,76092.88742,76935.45726,75787.62548,83643.73893,82556.23968,83420.72468,0,0.014312212,0,0,0,0,0,0,0
0.80_627.2171n,650.2063013,0.802766667,0,0,0,43326.38649,43882.68009,45578.23804,43359.71046,44807.89402,44925.54654,44175.7859,44779.28226,45432.68848,46936.50804,46717.44194,44639.13434,43812.6078,44053.75013,42694.93794,43896.2723,40825.92921,44286.66295,33815.75401,33977.54229,33169.47338,34372.98871,34003.54798,33961.4707,35182.83998,33176.13484,34222.95011
2.65_752.8361n,753.8434083,2.6526,0,0,0,22683.72893,25506.40985,27762.82514,34783.97116,36050.08385,38119.70809,7344.162883,7615.746411,8149.337067,135.435488,144.6374647,163.5749713,192.5168638,224.2572623,206.8699637,197.4782221,190.3614691,210.9526715,0,5.260925353,0,0,4.386023042,0,0,0,7.441755249
4.77_240.1117n,241.1189378,4.772383333,0,0,0,754.2037757,770.798672,799.75887,1731.884541,1731.670559,1730.068416,2497.648995,2477.734617,2536.200321,23394.87828,22967.09022,22514.36629,24948.48523,25283.85281,24618.76972,18710.63159,17803.83436,18236.97097,0,0,0,0,0,0,0,0,0
4.62_401.0873m/z,401.0872589,4.623133333,0,0,0,14249.29747,13940.27862,14084.64777,9828.254987,9658.710395,9693.08546,12062.09185,11919.27315,11946.84465,24239.11374,23664.92123,23140.52618,21732.78769,21814.08265,20835.40329,19704.59241,18866.78314,19115.86504,0,0,0,0.89346664,0,0,0,0,0
1.46_132.1024m/z,132.1023553,1.464516667,0,0,0,58.98745586,70.10857883,56.47827635,44.86523793,46.64413452,45.17318683,20.0888519,25.8153636,20.63140508,0,0.706924438,1.303489685,0,1.54662323,2.268959016,0,0,0,22559.77638,23219.5516,22818.83094,23644.13848,23633.88763,23439.99759,23977.05577,23477.21895,24085.55985
2.00_120.0817m/z,120.0816648,1.998166667,0,0,0,217.57722,226.3554906,232.4924436,148.1501933,159.0503818,155.0091635,145.7343797,143.578783,147.1970851,135.1307413,131.2924678,133.910732,158.5015417,169.4933465,154.353724,118.6447466,125.0499893,126.193849,21212.34875,21800.30567,21457.20936,21744.81372,21977.59268,21012.42185,22245.30972,21535.42147,21797.19397
2.31_165.0801n,188.071814,2.310966667,0,0,0,76.00929193,68.3404252,65.15901502,59.22271268,57.95572512,58.79561787,28.32766744,28.1808568,32.32870017,4.193685945,5.693704131,1.764099059,11.80949967,12.29047394,12.16938234,9.587171021,3.827974245,7.828559594,13689.68852,14134.36684,13338.85808,13675.36365,13958.8892,13373.14141,13735.3206,13669.39182,13760.88285
2.44_751.8294n,752.8366867,2.439083333,0,0,0,6238.209588,9238.570082,11668.26645,2788.696635,3284.549744,3707.324497,17782.34955,20012.91265,21567.34483,8719.623697,10057.56853,10257.98114,10615.97767,12420.21572,12411.13568,9428.139677,10095.15618,10987.6927,1.259944508,0,0,0,0,3.110565186,0,0,0
0.77_342.1171n,365.1062868,0.767066667,0,0,0,9290.45848,9298.982924,9366.835894,11895.16358,11827.57563,12046.40449,7349.89926,7348.417747,7496.870671,1577.221667,1569.902309,1514.323048,1566.835172,1541.600652,1516.476727,1711.550607,1625.351696,1722.770084,10258.43729,10205.661,9852.963069,10028.07463,10066.49983,9782.334473,9893.384263,9690.787981,9828.949853
2.65_763.8268n,764.8341073,2.6526,0,0,0,8687.516856,9850.195615,10764.41873,13437.13056,13579.35506,14547.87301,3018.251418,3124.187674,3309.583651,86.73834899,107.539724,51.56078984,94.56757387,169.0813557,142.75647,76.47753894,88.11428197,90.40270545,0,0,0,0,0,0,0,4.334043458,3.544883005
1.30_268.1048m/z,268.1048369,1.300983333,0,0,0,47.93238078,54.43907503,64.92305499,35.67027951,40.04693298,54.99757852,36.99191514,43.40899721,41.31741257,42.35745852,37.16755059,34.1357805,40.80539952,58.44968579,58.66998464,49.38687856,43.14166885,55.13841952,8968.391875,9330.575639,9112.847038,9424.582967,9614.577638,9307.100398,9365.099794,9382.712672,9419.079568
2.50_795.7742m/z,795.7741774,2.50335,0,0,0,13995.64724,10056.47512,8464.667781,6364.217557,5174.7925,4643.382457,5852.926804,5229.650711,4935.429529,2990.765161,2621.6702,2327.772468,2693.435014,2453.236408,2289.701086,2123.022497,1873.360333,1801.644475,0,0,0,0,0,0,0,0,0
2.66_778.2862n,779.293459,2.65975,0,0,0,6412.775124,7338.243708,7387.277559,5527.299615,5509.031308,5629.970049,8752.488388,8579.864091,8670.348774,4941.011129,4706.653046,4422.624585,5010.068639,5009.005927,4655.397155,4786.707286,4267.898175,4392.358462,0,0.010023756,0,0,1.617226061,1.041462024,0,1.218313091,0
3.92_166.0868m/z,166.0868186,3.918633333,0,0,0,6508.242315,6437.72136,6669.329633,6784.644385,6706.556109,6915.101136,6200.685386,6287.216136,6367.465159,7864.197263,7770.736783,7701.646626,7151.282745,7182.851559,6955.752745,7307.356263,7144.934299,7317.018669,1.363952853,0,0,1.061318507,0,0,0.433857177,0.826349417,0
4.12_466.0880n,467.0952481,4.118116667,0,0,0,5311.54202,5424.517947,5326.993105,4374.183987,4305.703917,4427.194939,4518.12583,4660.519473,4603.491422,7173.567153,7062.847983,6823.69881,6782.488887,6772.359475,6776.733815,7031.270096,6917.445198,6950.22351,0,0,0,0,0,0,0,0,0
9.34_564.6443m/z,564.6442923,9.339116667,5580.013046,15093.01921,981.642816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.974958374,2.966862476,0,0,0,0,0,0
2.32_205.0978m/z,205.0977518,2.318116667,0,0,0,90.20303538,90.95058603,84.36684355,72.58641285,60.37436344,71.54656038,52.78173466,56.00610497,62.70261711,43.88897509,48.30935478,48.51520714,34.38066922,38.11273205,35.84256652,37.59294624,45.97741126,45.6507568,7029.63086,7216.182904,7096.888279,7135.374419,7057.006505,7074.237667,7247.552936,7163.454326,7240.723904
0.72_203.9632n,226.9524236,0.717083333,0,0,0,6130.125604,6046.07841,6256.981967,5936.836708,5898.05046,5915.104347,6037.138516,5994.100923,6026.127489,5851.00006,5839.378732,5743.774388,5615.574789,5457.053107,5510.617321,5709.482059,5694.121867,5744.056771,4090.271356,3969.290892,3994.784895,4061.591105,4043.265874,4079.349679,3959.714084,3946.01459,4018.684433
4.11_1776.4112n,1777.418455,4.110983333,0,0,0,684.208465,770.3200039,757.5331327,179.6908436,180.6387468,199.1651386,240.5123488,236.3695613,262.590552,7406.759628,7050.704127,6939.031205,4788.083245,5065.523374,4857.503771,6620.328194,6163.320108,6798.24138,0,0,0,0,0,0,0,0,0
0.77_117.0796n,118.0868361,0.7742,0,0,0,5275.927274,5376.481626,5421.853376,5235.748788,5263.856485,5366.489395,5302.502294,5503.680009,5405.439111,6238.082593,5997.219255,6019.649885,6175.621314,6218.686104,6105.042609,5889.923644,5741.871781,5917.476992,5072.077337,5133.043261,5136.235572,5219.332287,5183.995538,5167.046248,5205.492695,5160.207539,5270.579458
4.62_889.2189m/z,889.2189437,4.623133333,0,4.574676275,0,2468.881492,2410.534622,2477.7251,1202.830946,1151.819715,1159.052201,1836.70498,1819.310309,1756.737368,7681.429912,7467.766877,6792.982477,5923.323622,5975.083272,5583.563391,4870.634522,4564.137536,4694.055308,0,0,0,0,0,0,0,0,0
