Injection,Sample_Code,Biological_Group
UM1850B_ANGDT_0.25_mL_36_1_4792,ANGDT,ANGDT
UM1850B_ANGDT_0.25_mL_36_1_4802,ANGDT,ANGDT
UM1850B_ANGDT_0.25_mL_36_1_4815,ANGDT,ANGDT
UM1852B_Coculture_42_1_4685,Coculture,Coculture
UM1852B_Coculture_42_1_4695,Coculture,Coculture
UM1852B_Coculture_42_1_4709,Coculture,Coculture
UM1852B_Coculture_42_1_4785,Coculture,Coculture
UM1850B_ANGDT_48_1_4782,ANGDT,ANGDT
UM1850B_ANGDT_48_1_4794,ANGDT,ANGDT
UM1850B_ANGDT_48_1_4823,ANGDT,ANGDT
UM1852B_Coculture_0.25mgml_19_1_4812,Coculture,Coculture
UM1852B_Coculture_0.25mgml_19_1_4819,Coculture,Coculture
UM1852B_Coculture_0.25mgml_19_2_4820,Coculture,Coculture
