Injection,Sample_Code,Biological_Group,dilution
102623_UM1848B_JC1_69_1_5004,UM1848B,JC1,1
102623_UM1846B_Media_67_1_5005,UM1846B,Media,1
102623_UM1847B_JC28_68_1_5006,UM1847B,JC28,1
102623_UM1850B_ANGDT_71_1_5007,UM1850B,ANGDT,1
102623_UM1849B_ANG18_70_1_5008,UM1849B,ANG18,1
102623_UM1852B_Coculture_72_1_5009,UM1852B,Coculture,1
102623_MixedMonoculture_84_1_5015,MixedMonoculture,Mixed_Monoculture,1
102623_UM1848B_JC1_69_1_5017,UM1848B,JC1,1
102623_UM1846B_Media_67_1_5018,UM1846B,Media,1
102623_UM1847B_JC28_68_1_5019,UM1847B,JC28,1
102623_UM1850B_ANGDT_71_1_5020,UM1850B,ANGDT,1
102623_UM1849B_ANG18_70_1_5021,UM1849B,ANG18,1
102623_UM1852B_Coculture_72_1_5022,UM1852B,Coculture,1
102623_MixedMonoculture_84_1_5028,MixedMonoculture,Mixed_Monoculture,1
102623_UM1848B_JC1_69_1_5030,UM1848B,JC1,1
102623_UM1846B_Media_67_1_5031,UM1846B,Media,1
102623_UM1847B_JC28_68_1_5032,UM1847B,JC28,1
102623_UM1850B_ANGDT_71_1_5033,UM1850B,ANGDT,1
102623_UM1849B_ANG18_70_1_5034,UM1849B,ANG18,1
102623_UM1852B_Coculture_72_1_5035,UM1852B,Coculture,1
102623_MixedMonoculture_84_1_5041,MixedMonoculture,Mixed_Monoculture,1
102423_Blank_77_1_5095,Blank,Solvent_Blank,1
102423_Blank_77_2_5096,Blank,Solvent_Blank,1
102423_Blank_77_3_5097,Blank,Solvent_Blank,1
