"pdf","pagenum","storet_code","state","name","county","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","retention_time_units","alkalinity","conductivity","secchi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading","lat","long","chl"
474,100,"2709","MINNESOTA","BIG STONE","BIG STONE (MN)","NATURAL",3004.4,51.03,3.4,3.3,1.7,"years",131,800,1,0.159,0.126,0.335,NA,7696,23,213,8014,15946,22599,NA,8036,188812,219447,15846,1,0.31,214068,2,4.3,45.308333,-96.456667,16.5
474,101,"2710","MINNESOTA","BIRCH LAKE","CASS","NATURAL",NA,5.19,3,NA,NA,"years",106,210,2.4,0.019,0.009,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.933333,-94.525,6.2
474,102,"2711","MINNESOTA","BLACKDUCK LAKE","BELTRAMI","NATURAL",75.11,11.1,4.5,0.4,4.2,"years",128,243,1.7,0.038,0.019,0.195,NA,676,NA,NA,916,1592,2023,NA,NA,27329,29351,717,55,0.14,16091,45,2.6,47.738889,-94.629167,14.5
474,103,"2712","MINNESOTA","BLACKHOOF LAKE","CROW WING","NATURAL",20.72,0.74,4.4,0.1,257,"days",103,230,1.6,0.043,0.024,0.185,NA,639,NA,9,254,902,1914,NA,268,6522,8703,141,84,1.22,5075,42,11.8,46.471667,-94.010556,12.8
474,104,"2713","MINNESOTA","BUFFALO LAKE","WRIGHT","NATURAL",113.96,6.11,4.4,0.6,1.4,"years",167,395,1,0.209,0.16,0.795,NA,4821,NA,23,1129,5973,10086,NA,853,18000,28939,3950,34,0.98,51429,NA,4.7,45.170833,-93.88,38
474,105,"2714","MINNESOTA","CARRIGAN LAKE","WRIGHT","NATURAL",NA,0.66,NA,NA,NA,"years",185,590,0.3,1.215,0.785,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.058333,-93.958333,84.3
474,106,"2715","MINNESOTA","CASS LAKE","BELTRAMI CASS","NATURAL",2926.7,63.12,7.6,17.8,313,"days",140,280,1.9,0.02,0.009,0.14,NA,8966,NA,NA,13261,22227,46390,NA,NA,505968,552358,8118,63,0.35,450798,18,8.8,47.4125,-94.627778,8.7
474,107,"2716","MINNESOTA","CLEARWATER LAKE","WRIGHT STEARNS","NATURAL",450.66,12.88,5.2,1.5,1.4,"years",153,358,1.6,0.028,0.014,0.145,NA,3138,NA,59,5433,8630,9152,NA,2227,95782,107161,2036,76,0.67,59188,45,8.3,45.303333,-94.115,14.1
474,108,"2719","MINNESOTA","COKATO LAKE","WRIGHT","NATURAL",116.55,2.2,7.6,0.5,413,"days",225,543,1.9,0.231,0.218,1.075,NA,1551,NA,9,4159,5719,5497,NA,372,54367,60236,3202,44,2.6,40304,33,27.4,45.115833,-94.171667,10.7
474,109,"2720","MINNESOTA","CRANBERRY LAKE","CROW WING","NATURAL",NA,0.08,NA,NA,NA,"years",42,110,1.2,0.027,0.017,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.398611,-93.775833,30.1
474,11,"0901","CONNECTICUT","ASPINOOK","NEW LONDON","IMPOUNDMENT",1851.85,1.35,2.7,35.5,1.2,"days",20,115,0.8,0.092,0.053,0.59,NA,28259,NA,14,106816,135088,80236,NA,535,1679467,1760237,125927,7,100.24,1610394,9,1306.2,41.626944,-71.978056,35.8
474,110,"2725","MINNESOTA","ELBOW LAKE","ST LOUIS","NATURAL",16.32,0.69,3.1,0.1,296,"days",88,278,1.9,1.38,1.26,0.48,NA,5351,NA,NA,95,5447,16059,NA,NA,4163,20222,1828,66,7.87,6295,69,29.2,47.427778,-92.621667,9.6
474,111,"2728","MINNESOTA","EMBARRASS LAKE","ST LOUIS","NATURAL",389.54,2.05,2.6,2.8,22,"days",37,130,1,0.025,0.013,0.2,NA,1683,NA,9,1810,3501,5043,NA,376,104068,109487,3587,NA,1.71,82195,25,53.4,47.531111,-92.318889,4.9
474,112,"2730","MINNESOTA","FALL LAKE","LAKE","NATURAL",NA,8.79,4,NA,NA,"years",14,50,1.6,0.02,0.011,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.936111,-91.777222,7.2
474,113,"2737","MINNESOTA","GULL LAKE","CASS CROW WING","NATURAL",766.64,38.61,9.1,3.8,2.9,"years",106,208,2.3,0.022,0.011,0.15,NA,NA,NA,150,3519,3669,NA,NA,5701,136263,141963,2290,38,0.1,87560,38,3.7,46.478333,-94.32,12.5
474,114,"2739","MINNESOTA","HERON LAKE","JACKSON","NATURAL",1222.48,33.39,0.9,2.6,135,"days",128,908,0.3,0.302,0.154,0.135,NA,14082,NA,NA,20535,34617,42254,NA,NA,512054,554308,22426,35,1.04,341787,38,16.6,43.783333,-95.283333,111.1
474,115,"2746","MINNESOTA","LEECH LAKE","CASS","NATURAL",2693.6,453.26,4.7,13.1,5.2,"years",132,260,2.2,0.015,0.009,0.13,NA,1751,NA,5,16209,17964,5261,NA,181,1071065,1076507,8222,54,0.04,525170,51,2.4,47.116667,-94.583333,6.2
474,116,"2747","MINNESOTA","LILY LAKE","BLUE EARTH","NATURAL",112.92,0.57,0.9,0.3,20,"days",184,533,0.3,0.607,0.297,0.235,NA,2036,NA,NA,1746,3782,6821,NA,NA,87179,94000,5651,NA,6.58,98943,NA,163.6,44.116667,-94.225,229.1
474,117,"2748","MINNESOTA","LITTLE LAKE","GRANT","NATURAL",NA,0.28,NA,NA,NA,"years",200,790,1.1,0.93,0.765,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.088333,-95.809167,58.8
474,118,"2750","MINNESOTA","MADISON LAKE","BLUE EARTH","NATURAL",61.64,4.5,4,0.2,3.3,"years",131,305,0.9,0.05,0.02,0.68,NA,NA,45,667,889,1601,NA,63,1995,48218,50277,385,76,0.36,19351,62,11.2,44.196667,-93.8,30.8
