De Kommunale Nøgletal;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;Kom.nr;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
;;;;;;;;;;;;;;;;;;;
Andel udpendlere;;;;;;;;;;;;;;;;;;;
Dragør Kommune;155;76,2;77,0;76,3;76,3;76,1;76,4;77,3;77,3;77,4;77,1;77,2;77,1;77,6;77,5;76,9;77,3;M;M
Vallensbæk Kommune;187;83,9;83,5;84,4;83,5;83,2;83,7;83,8;84,7;85,0;84,8;85,4;84,9;85,4;84,9;84,4;85,1;M;M
Langeland Kommune;482;26,3;27,8;28,0;29,6;30,0;30,5;30,7;30,0;30,6;32,1;32,2;32,3;32,4;33,2;33,4;33,3;M;M
Ærø Kommune;492;17,7;17,9;17,4;17,2;15,3;16,2;16,5;15,5;15,6;15,2;15,3;16,2;16,0;14,8;15,4;15,5;M;M
Fanø Kommune;563;49,2;48,5;48,7;48,2;48,0;48,3;48,1;47,4;47,4;46,3;47,0;46,7;47,7;46,9;46,2;48,4;M;M
Lemvig Kommune;665;22,4;23,5;22,6;22,8;23,1;24,0;23,7;24,1;24,9;26,6;26,3;26,5;27,5;28,7;29,2;27,7;M;M
Samsø Kommune;741;10,3;12,7;12,7;11,8;13,1;10,4;11,8;13,6;12,9;14,7;12,4;12,9;12,3;13,4;14,2;14,5;M;M
Læsø Kommune;825;9,9;11,5;12,1;12,0;10,2;12,4;11,1;11,6;12,0;11,4;11,5;10,3;10,2;11,0;12,3;13,2;M;M
;;;;;;;;;;;;;;;;;;;
Andel indpendlere;;;;;;;;;;;;;;;;;;;
Dragør Kommune;155;47,3;45,6;45,6;42,9;45,2;45,2;47,9;49,2;50,6;51,3;51,6;50,1;49,5;48,6;49,8;49,4;M;M
Vallensbæk Kommune;187;71,8;72,2;72,7;71,7;72,2;73,0;73,1;74,6;75,3;77,0;78,5;77,7;77,5;77,5;77,4;77,4;M;M
Langeland Kommune;482;16,1;17,7;18,9;19,8;18,5;18,2;18,6;20,4;21,5;22,1;21,7;21,6;22,1;23,4;23,3;22,8;M;M
Ærø Kommune;492;6,6;5,5;6,2;7,6;7,5;7,7;7,1;7,1;6,7;8,3;8,0;8,0;8,7;10,2;9,5;9,6;M;M
Fanø Kommune;563;23,1;21,4;24,0;25,9;25,4;25,4;24,2;23,9;24,6;23,7;25,2;27,1;27,2;29,7;31,9;32,7;M;M
Lemvig Kommune;665;14,9;15,5;18,0;18,7;19,2;19,4;19,9;20,8;21,0;21,5;21,5;21,8;22,5;22,7;22,6;22,2;M;M
Samsø Kommune;741;9,7;7,2;8,6;9,3;8,4;8,3;7,9;9,5;10,5;10,2;9,8;10,8;12,1;13,3;14,7;14,4;M;M
Læsø Kommune;825;9,9;8,2;6,6;6,3;7,1;8,9;8,6;10,5;11,4;11,0;13,4;12,4;13,1;13,9;14,7;13,0;M;M
;;;;;;;;;;;;;;;;;;;
Tegnforklaring:;;;;;;;;;;;;;;;;;;;
M  Det pågældende nøgletal mangler for året.;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Indenrigs- og Sundhedsministeriet d. 10. september 2024;;;;;;;;;;;;;;;;;;;
