"id","species","geographic.origin","sex","status","birth","death","dam","dam.type","sire","sire.type","from.center","departure"
"5V7NV","JAPANESE MACAQUE","Japan","m","Dead",1979-03-09,1986-09-14,"3965N","Observed",,,"Yes",
"WL1BM","JAPANESE MACAQUE","Japan","f","Shipped",1979-03-06,,"JHBX2","Observed",,,"Yes",1989-06-28
"I23LE","JAPANESE MACAQUE","Japan","f","Shipped",1979-03-25,,"M7GKA","Observed",,,"Yes",1982-04-11
"7PIYD","JAPANESE MACAQUE","Japan","f","Dead",1979-03-06,1979-03-12,"4WR71","Observed",,,"Yes",
"1S0W1","JAPANESE MACAQUE","Japan","f","Dead",1979-03-18,1979-03-19,"VFQ7J","Observed",,,"Yes",
"BY9KR","JAPANESE MACAQUE","Japan","f","Shipped",1979-03-10,,"9W2BY","Observed",,,"Yes",1982-04-29
"TVME2","JAPANESE MACAQUE","Japan","f","Shipped",1979-03-25,,"MKT12","Observed",,,"Yes",1982-04-07
"WMIWQ","JAPANESE MACAQUE","Japan","f","Dead",1979-04-03,1979-03-19,"B3UEZ","Observed",,,"Yes",
"YZ1QU","JAPANESE MACAQUE","Japan","m","Shipped",1979-04-23,,"KJWR8","Observed",,,"Yes",1982-05-13
"QYRPK","JAPANESE MACAQUE","Japan","f","Dead",1979-05-09,2004-07-28,"HMAIX","Observed",,,"Yes",
"A29ET","JAPANESE MACAQUE","Japan","m","Dead",1979-04-02,1985-08-09,"QHAAY","Observed",,,"Yes",
"HLVRH","JAPANESE MACAQUE","Japan","m","Dead",1979-05-11,1986-10-02,"FFX8B","Observed",,,"Yes",
"HHE2H","JAPANESE MACAQUE","Japan","m","Dead",1979-04-03,1989-06-27,"AW2U9","Observed",,,"Yes",
"ED4CE","JAPANESE MACAQUE","Japan","f","Dead",1979-04-08,1989-07-21,"B9U7M","Observed",,,"Yes",
"H7ZS8","JAPANESE MACAQUE","Japan","f","Shipped",1979-03-29,,"78LW5","Observed",,,"Yes",1982-05-25
"2HDMS","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-15,,"55S8U","Observed",,,"Yes",1982-05-23
"TWAX8","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-13,,"WEZ5M","Observed",,,"Yes",1982-05-01
"YIDZJ","JAPANESE MACAQUE","Japan","f","Shipped",1979-05-18,,"HPLW3","Observed",,,"Yes",1982-04-03
"Z6EHT","JAPANESE MACAQUE","Japan","f","Dead",1979-04-01,1985-01-16,"9KM0C","Observed",,,"Yes",
"SKB2L","JAPANESE MACAQUE","Japan","m","Dead",1979-04-14,2002-05-03,"JUB6J","Observed",,,"Yes",
"L27VK","JAPANESE MACAQUE","Japan","m","Shipped",1979-05-02,,"6EW5B","Observed",,,"Yes",1982-04-21
"NQQRE","JAPANESE MACAQUE","Japan","f","Shipped",1979-05-15,,"72YRW","Observed",,,"Yes",1982-03-31
"X2D1K","JAPANESE MACAQUE","Japan","m","Dead",1979-04-04,1993-02-11,"PJIQJ","Observed",,,"Yes",
"40MJH","JAPANESE MACAQUE","Japan","f","Shipped",1979-04-12,,"7RM1A","Observed",,,"Yes",1982-04-01
"AUIJQ","JAPANESE MACAQUE","Japan","f","Shipped",1979-05-25,,"4XW5Q","Observed",,,"Yes",1982-04-29
