"id","sire","dam","sex","gen","birth","exit","age"
"BRI2MW",NA,NA,"F",0,1998-12-06,NA,20.7
"677E7M",NA,NA,"F",0,1998-07-24,NA,21.1
"ZZ646X",NA,NA,"F",0,1997-12-08,NA,21.7
"FEEN9W",NA,NA,"M",0,1997-12-23,NA,21.7
"83U0EX",NA,NA,"M",0,NA,NA,NA
"6VUC6R",NA,NA,"F",0,NA,NA,NA
"FD3BB6",NA,NA,"M",0,NA,NA,NA
"GQUCRY",NA,NA,"F",0,NA,NA,NA
"WS6D1B",NA,NA,"M",0,NA,NA,NA
"1BYXWJ",NA,NA,"M",0,NA,NA,NA
"N2C1PW",NA,NA,"F",0,NA,NA,NA
"PH0IXL",NA,NA,"F",0,NA,NA,NA
"8WG9U2",NA,NA,"F",0,NA,NA,NA
"PLT00S",NA,NA,"F",0,NA,NA,NA
"BCH8AH",NA,NA,"M",0,NA,NA,NA
"ZLS786",NA,NA,"F",0,NA,NA,NA
"HJ555Y",NA,NA,"F",0,NA,NA,NA
"CMJQGU",NA,NA,"M",0,NA,NA,NA
"9R28KQ",NA,NA,"F",0,NA,NA,NA
"GYQNV5",NA,NA,"F",0,1982-04-21,NA,37.3
"MND3AC",NA,NA,"F",0,1982-11-29,NA,36.7
"RXPJPP",NA,NA,"F",0,1982-04-28,NA,37.3
"HDJ52R",NA,NA,"F",0,1982-01-10,NA,37.6
"7KWRZK",NA,NA,"F",0,1980-03-26,NA,39.4
"SQ908D",NA,NA,"F",0,1980-03-19,NA,39.4
"P87V3K",NA,NA,"F",0,1981-04-24,NA,38.3
"C3IFT0",NA,NA,"F",0,1980-02-23,NA,39.5
"RKBTHH",NA,NA,"F",0,1982-06-02,NA,37.2
"EZ97J5",NA,NA,"F",0,NA,NA,NA
"9A1LWF",NA,NA,"F",0,1982-12-12,NA,36.7
"Y7IUMX",NA,NA,"F",0,NA,NA,NA
"BZ8K78",NA,NA,"M",0,NA,NA,NA
"4WWCPB",NA,NA,"F",0,1982-07-21,NA,37.1
"Q8MRCZ",NA,NA,"F",0,NA,NA,NA
"8DKELJ",NA,NA,"F",0,NA,NA,NA
"LVS6QV",NA,NA,"F",0,1982-06-19,NA,37.2
"8P17E3",NA,NA,"F",0,1982-06-12,NA,37.2
"8933XB",NA,NA,"M",0,NA,NA,NA
"IYYFP6",NA,NA,"F",0,NA,NA,NA
"G8EBU9",NA,NA,"F",0,1982-06-19,NA,37.2
"C1BAND",NA,NA,"F",0,NA,NA,NA
"E2D59U",NA,NA,"F",0,1982-04-30,NA,37.3
"LVP52A",NA,NA,"F",0,NA,NA,NA
"KWKJXQ",NA,NA,"F",0,1982-06-05,NA,37.2
"CEA455",NA,NA,"F",0,1982-06-29,NA,37.2
"8THU85",NA,NA,"F",0,1982-07-11,NA,37.1
"1ZERVB",NA,NA,"F",0,NA,NA,NA
