"id"	"sire"	"dam"	"sex"	"gen"	"birth"	"exit"	"age"
"4LFS70"	NA	NA	"F"	0	NA	1978-10-27	NA
"81KHJN"	NA	NA	"F"	0	1963-01-12	1985-12-25	23
"IU065S"	NA	NA	"F"	0	1961-12-07	1986-10-22	24.9
"H7R5WN"	NA	NA	"M"	0	1959-01-16	1989-05-30	30.4
"YAYD44"	NA	NA	"F"	0	1960-12-12	1982-08-16	21.7
"BRLQFI"	NA	NA	"F"	0	1991-12-31	2010-06-08	18.4
"YOVEJ0"	NA	NA	"F"	0	1988-09-16	2004-10-25	16.1
"GHH9LB"	NA	NA	"M"	0	1996-03-16	NA	23.3
"67RZLW"	NA	NA	"F"	0	1990-07-21	2006-11-01	16.3
"2HEFGM"	NA	NA	"F"	0	1998-06-14	2017-03-16	18.8
"R34BVI"	NA	NA	"F"	0	1992-12-12	2008-01-22	15.1
"RRWDL5"	NA	NA	"F"	0	1994-12-25	2017-02-01	22.1
"TOWLS9"	NA	NA	"F"	0	1991-01-05	2007-10-22	16.8
"9K2LZF"	NA	NA	"F"	0	1992-01-22	2007-02-27	15.1
"95U2JO"	NA	NA	"F"	0	2002-12-10	2016-02-04	13.2
"9Z9TIJ"	NA	NA	"M"	0	1965-12-18	1984-10-04	18.8
"6H17B7"	NA	NA	"F"	0	1968-12-11	1988-08-08	19.7
"OOJ8A6"	NA	NA	"F"	0	1968-01-18	1989-09-07	21.6
"YKG4ZM"	NA	NA	"F"	0	1969-12-02	1990-10-19	20.9
"2FU86J"	NA	NA	"F"	0	1972-12-31	1998-11-12	25.9
"PEQ4YC"	NA	NA	"F"	0	1972-01-26	1996-03-04	24.1
"CNPGS5"	NA	NA	"F"	0	1969-12-11	1991-08-20	21.7
"XAFYGN"	NA	NA	"F"	0	1969-01-03	1991-08-21	22.6
"ZYTIYY"	NA	NA	"F"	0	1974-12-21	1984-02-19	9.2
"QPY0LL"	NA	NA	"F"	0	1975-01-26	2000-08-16	25.6
"MBJMH1"	NA	NA	"F"	0	1975-01-23	1992-06-20	17.4
"Y5QZ1U"	NA	NA	"F"	0	1983-12-11	1992-07-16	8.6
"HKOSVZ"	NA	NA	"F"	0	NA	1900-01-01	NA
"P9GZ32"	NA	NA	"M"	0	NA	1900-01-01	NA
"1B71NB"	NA	NA	"F"	0	1966-01-14	1989-02-27	23.1
"ONA6E5"	NA	NA	"M"	0	1964-12-05	1982-12-12	18
"HB9B30"	NA	NA	"M"	0	1965-12-10	1990-10-20	24.9
"0DXI08"	NA	NA	"F"	0	1965-01-04	1989-03-28	24.2
"WORLYK"	NA	NA	"M"	0	1967-12-19	1983-04-06	15.3
"ZQ0DRX"	NA	NA	"F"	0	1968-01-09	1991-05-18	23.4
"I31V3S"	NA	NA	"F"	0	1965-01-18	1984-09-23	19.7
"FHY041"	NA	NA	"F"	0	1967-12-17	1982-08-27	14.7
"TWWT1N"	NA	NA	"F"	0	NA	1981-12-30	NA
"AC683M"	NA	NA	"F"	0	1965-01-01	1989-02-17	24.1
"OL3D1I"	NA	NA	"F"	0	1970-01-17	1993-07-20	23.5
"596J7E"	NA	NA	"F"	0	1968-12-21	1990-06-03	21.4
"9AZMHA"	NA	NA	"F"	0	1970-01-15	1987-01-17	17
"KK179H"	NA	NA	"F"	0	1967-12-17	1981-02-04	13.1
"6EJ6RI"	NA	NA	"F"	0	1964-12-02	1989-09-04	24.8
"F50D26"	NA	NA	"F"	0	1969-01-21	1992-05-11	23.3
"ODSV6N"	NA	NA	"M"	0	1970-01-08	1992-09-29	22.7
"7SXL07"	NA	NA	"F"	0	1970-01-29	1991-02-14	21
"0RZ5LL"	NA	NA	"M"	0	1971-01-05	1978-12-28	8
"60D5ZA"	NA	NA	"F"	0	1968-01-24	2001-02-13	33.1
"KG1JSQ"	NA	NA	"F"	0	1968-12-07	1986-12-28	18.1
"P4CQ2T"	NA	NA	"F"	0	1968-01-20	1992-05-12	24.3
"MQB1AE"	NA	NA	"M"	0	1969-01-30	1986-08-24	17.6
"VHXHVH"	NA	NA	"F"	0	1972-01-23	2000-01-13	28
"RD6KMA"	NA	NA	"F"	0	1968-12-13	1992-04-15	23.3
"HRBVOE"	NA	NA	"M"	0	1970-12-04	1993-05-01	22.4
"GCXT5X"	NA	NA	"F"	0	1968-12-08	1998-06-11	29.5
"XHP9KQ"	NA	NA	"F"	0	1970-01-04	1992-03-01	22.2
"ZXJQQ5"	NA	NA	"F"	0	1970-01-03	1998-12-07	28.9
"ZSDDUI"	NA	NA	"F"	0	1969-12-10	2001-03-16	31.3
"SEZCEY"	NA	NA	"F"	0	1970-12-08	2000-01-17	29.1
"PZQW1J"	NA	NA	"F"	0	1967-12-29	1984-03-02	16.2
"8G72QV"	NA	NA	"F"	0	1969-12-27	1994-11-29	24.9
"HRQJQR"	NA	NA	"M"	0	1969-12-04	1991-03-16	21.3
"OC8QQZ"	NA	NA	"M"	0	1970-01-09	1995-04-16	25.3
"TNDED2"	NA	NA	"M"	0	1968-12-04	1984-09-20	15.8
"K52Y6D"	NA	NA	"M"	0	1969-12-21	1991-08-21	21.7
