"STRM.ID"	"jday"	"lon"	"lat"	"sed"	"elev"	"slope"	"area"	"sed.log"	"temp"	"temp.avg"	"elev.ut"	"sp"
"00001CSR"	177	-123.8316	45.35165	NA	2.161368	-0.3565473	3.172091	NA	NA	NA	144.999999253798	1.2294982
"00001REM"	191	-122.6099	43.90181	NA	3.082426	0.2552725	3.410536	NA	NA	NA	1208.99916245644	1.9605405
"00001WSE"	233	-122.205	43.55441	5.714286	3.656386	0.9175055	2.961179	0.8269998	6.4	6.442857	4533.00293235911	2.398095
"00002CSR"	178	-123.8483	45.89721	17.64706	2.225309	-0.1079054	3.417801	1.27061	NA	NA	167.99989101881	1.6009951
"00002REM"	192	-122.6034	44.02301	20.75472	3.127753	0.1319393	3.741519	1.337553	NA	NA	1342.00149611045	2.0026988
"00002WSE"	179	-123.298	45.88232	26.66667	2.869818	0.6042261	4.114638	1.441957	15.5	15.3	740.99964514252	2.6615451
"00003CSR"	177	-123.4703	44.19884	34.54545	2.862728	0.3970705	2.347126	1.550784	13.2	14.24286	729.000791758582	1.5706335
"00003REM"	193	-122.3158	43.62585	9.090909	3.416308	0.9524049	2.755649	1.00393	NA	NA	2608.00247976519	2.3302294
"00003WSE"	213	-123.8475	43.32637	12.2449	2.749736	0.386499	2.959205	1.122049	16.4	16.57143	561.999591637114	1.8661015
"00004CSR"	179	-123.3946	44.26556	16.36364	2.721811	0.5976952	2.919348	1.239641	14.6	19	527.000466925292	2.0573692
"00004REM"	233	-122.2608	44.3924	3.636364	3.318481	1.251881	2.349516	0.6661775	NA	NA	2082.00131750888	2.426639
"00005CSR"	177	-122.8902	43.74075	NA	2.947434	0.5010593	2.889685	NA	NA	NA	886.000567375737	1.9459018
"00005REM"	234	-122.1479	44.46161	20	3.412124	0.521857	3.609505	1.322219	NA	NA	2582.99758425393	2.3266095
"00006CSR"	178	-122.678	43.62085	4.705882	3.487138	1.106361	2.409212	0.7563228	NA	NA	3069.99734577686	2.310967
"00006REM"	235	-122.3789	44.51235	14.54545	3.016616	0.2227165	4.435982	1.191603	NA	NA	1039.0010824184	2.4407075
"00007CSR"	179	-122.8415	43.57916	9.090909	3.215902	0.6424645	2.882606	1.00393	14.9	12.97143	1644.00070710693	2.0837675
"00007REM"	235	-122.2016	44.26718	3.636364	3.299071	0.4653829	3.489635	0.6661775	15	15.31429	1990.9988079185	2.2102004
"00008CSR"	178	-123.4832	42.52352	NA	2.905796	0.05307844	4.441495	NA	NA	NA	805.000221747876	2.27382594
"00008REM"	234	-122.1529	44.01723	1.538462	3.392169	0.9350032	3.145836	0.4045706	10.5	11.1	2466.99915082708	2.5079212
"00009CSR"	179	-123.0408	42.42398	12.38095	3.04454	0.1986571	3.339979	1.126487	NA	NA	1108.00061130245	1.8686466
"00009REM"	233	-122.2562	44.1268	0	3.289589	1.008472	2.719111	0	NA	NA	1948.00021286714	2.3680275
"00010CSR"	180	-123.2099	42.60261	41.90476	3.295567	0.9413126	2.90902	1.632505	NA	NA	1974.99954541013	2.3958226
"00010REM"	235	-122.1951	44.04191	3.636364	3.296226	NA	3.904626	0.6661775	12.8	13.41429	1977.99869166565	NA
"00010WSE"	214	-123.8279	43.01943	17.14286	3.073352	-0.004364805	3.694422	1.258706	15	17.52857	1184.00081137119	1.842846195
"00011REM"	234	-122.0539	44.93045	NA	3.398114	NA	3.295768	NA	NA	NA	2501.00177525232	NA
"00012CSR"	178	-123.9473	42.78835	20	3.350636	-0.2146702	3.806289	1.322219	14.4	18.47143	2242.00202232323	1.6884743
"00012REM"	235	-121.9031	44.93659	1.818182	3.401228	NA	3.181452	0.449969	8.9	9.485714	2518.99902847565	NA
"00013CSR"	179	-124.0794	42.75539	20	2.925828	0.2355284	3.594089	1.322219	16.8	15.94286	843.000825687484	2.0325729
"00013REM"	233	-122.1939	44.94743	0	3.368287	0.3639878	3.587441	0	NA	NA	2335.00061882794	2.1577083
