especie,accepted_species,anexo,categoria,nombre_comun,accepted_name_author
Aphelandra cuscoensis,Aphelandra cuscoensis,I,EN PELIGRO CRITICO (CR),NA,Wassh.
Aphelandra formosa,Aphelandra formosa,I,EN PELIGRO CRITICO (CR),NA,(Bonpl.) Nees
Aphelandra wurdackii,Aphelandra wurdackii,I,EN PELIGRO CRITICO (CR),NA,Wassh.
Tetramerium sagasteguianum,Tetramerium sagasteguianum,I,EN PELIGRO CRITICO (CR),NA,T.F. Daniel
Pucara leucantha,Stenomesson leucanthum,I,EN PELIGRO CRITICO (CR),NA,(Ravenna) Meerow & van der Werff
Rauhia decora,Rauhia decora,I,EN PELIGRO CRITICO (CR),NA,Ravenna
Rauhia multiflora,Rauhia multiflora,I,EN PELIGRO CRITICO (CR),NA,(Kunth) Ravenna
Rauhia staminosa,Rauhia staminosa,I,EN PELIGRO CRITICO (CR),NA,Ravenna
Haplorhus peruviana,Haplorhus peruviana,I,EN PELIGRO CRITICO (CR),"Ccasi, molle macho",Engl.
Loxopterygium huasango,Loxopterygium huasango,I,EN PELIGRO CRITICO (CR),"Hualtaco, huasango",Spruce ex Engl.
Domeykoa amplexicaulis,Domeykoa amplexicaulis,I,EN PELIGRO CRITICO (CR),NA,(H. Wolff) Mathias & Constance
Aralia soratensis,Aralia soratensis,I,EN PELIGRO CRITICO (CR),Q´ello phati,Marchal
Ceroxylon parvifrons,Ceroxylon parvifrons,I,EN PELIGRO CRITICO (CR),NA,(Engel) H. Wendl.
Ceroxylon weberbaueri,Ceroxylon pityrophyllum,I,EN PELIGRO CRITICO (CR),NA,(Mart.) Mart. ex H. Wendl.
Ambrosia dentata,Ambrosia dentata,I,EN PELIGRO CRITICO (CR),NA,(Cabrera) M.O. Dillon
Ambrosia pannosa,Ambrosia pannosa,I,EN PELIGRO CRITICO (CR),NA,W.W. Payne
Arnaldoa macbrideana,Arnaldoa macbrideana,I,EN PELIGRO CRITICO (CR),NA,Ferreyra
Arnaldoa weberbaueri,Arnaldoa weberbaueri,I,EN PELIGRO CRITICO (CR),NA,(Muschl.) Ferreyra
Ascidiogine wurdackii,Ascidiogyne wurdackii,I,EN PELIGRO CRITICO (CR),NA,Cuatrec.
Ascidiogyne sanchezvegae,Ascidiogyne sanchezvegae,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Bishopanthus soliceps,Bishopanthus soliceps,I,EN PELIGRO CRITICO (CR),NA,H. Rob.
Caxamarca sanchezii,Caxamarca sanchezii,I,EN PELIGRO CRITICO (CR),NA,M.O. Dillon & SagÃ¡st.
Chersodoma arequipensis,Chersodoma arequipensis,I,EN PELIGRO CRITICO (CR),NA,(Cuatrec.) Cuatrec.
Chucoa ilicifolia,Chucoa ilicifolia,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Dasyphyllum brevispinum,Dasyphyllum brevispinum,I,EN PELIGRO CRITICO (CR),NA,SagÃ¡st. & M.O. Dillon
Dyssodia lopez-mirandae,Dyssodia lopez-mirandae,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Ferreyrella cuatrecasasii,Ferreyrella cuatrecasasii,I,EN PELIGRO CRITICO (CR),NA,R.M. King & H. Rob.
Ferreyrella peruviana,Ferreyrella peruviana,I,EN PELIGRO CRITICO (CR),NA,S.F. Blake
Fulcaldea laurifolia,Fulcaldea laurifolia,I,EN PELIGRO CRITICO (CR),NA,(Bonpl.) Poir.
Gynoxys dilloniana,Gynoxys dilloniana,I,EN PELIGRO CRITICO (CR),NA,SagÃ¡st. & C. TÃ©llez
Helogyne hutchisonii,Helogyne hutchisonii,I,EN PELIGRO CRITICO (CR),NA,R.M. King & H. Rob.
Mikania filicifolia,Mikania filicifolia,I,EN PELIGRO CRITICO (CR),NA,B.L. Rob.
Onoseris chrysactinioides,Onoseris chrysactinioides,I,EN PELIGRO CRITICO (CR),NA,SagÃ¡st. & M.O. Dillon
Pentacalia nunezii,Pentacalia nunezii,I,EN PELIGRO CRITICO (CR),NA,H. Rob. & Cuatrec.
Senecio calcicola,Senecio calcicola,I,EN PELIGRO CRITICO (CR),NA,Meyen & Walp.
Senecio chachaniensis,Senecio chachaniensis,I,EN PELIGRO CRITICO (CR),NA,Cuatrec.
Senecio mollendoensis,Senecio mollendoensis,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Senecio okopanus,Senecio okopanus,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Senecio smithianus,Senecio smithianus,I,EN PELIGRO CRITICO (CR),NA,Cabrera
Senecio yurensis,Senecio yurensis,I,EN PELIGRO CRITICO (CR),NA,Rusby
Smallanthus glabratus,Smallanthus glabratus,I,EN PELIGRO CRITICO (CR),NA,(DC.) H. Rob.
Bishopanthus soliceps,Bishopanthus soliceps,I,EN PELIGRO CRITICO (CR),NA,H. Rob.
Batis maritima,Batis maritima,I,EN PELIGRO CRITICO (CR),NA,L.
Buddleja bullata,Buddleja bullata,I,EN PELIGRO CRITICO (CR),Qolle,Kunth
Buddleja coriacea,Buddleja coriacea,I,EN PELIGRO CRITICO (CR),"Quichihuayta, kishuar, qolle, safrán",J.Rémy
