"group"	"year"	"y"	"x"
"1"	1	1991	0	-1.04320702888072
"2"	1	1992	0	0.565818276256323
"3"	1	1993	0	-1.21016175858676
"4"	1	1994	0	0.0763236163184047
"5"	1	1995	0	-0.406699916347861
"6"	1	1996	1	0.442699585109949
"7"	2	1991	0	-1.25522658601403
"8"	2	1992	0	0.297389877960086
"9"	2	1993	0	1.00741250254214
"10"	2	1994	0	-0.422112035565078
"11"	2	1995	0	-1.15269584488124
"12"	2	1996	1	1.10876296088099
"13"	3	1991	0	0.892295068129897
"14"	3	1992	1	1.99715620372444
"15"	4	1991	0	-0.174644993618131
"16"	4	1992	0	-1.16632828116417
"17"	4	1993	0	-1.4075859952718
"18"	4	1994	0	0.633773197419941
"19"	4	1995	0	-0.584177461452782
"20"	4	1996	0	-1.31871024612337
"21"	4	1997	0	0.745964115485549
"22"	4	1998	0	-1.84002930205315
"23"	4	1999	0	1.01639068033546
"24"	4	2000	0	-1.94158473238349
"25"	4	2001	0	-1.97156479768455
"26"	4	2002	0	1.24423944670707
"27"	4	2003	0	-0.971983912400901
"28"	4	2004	0	1.78700558748096
"29"	4	2005	0	0.624924356117845
"30"	4	2006	0	-1.26272404100746
"31"	4	2007	1	1.91516385786235
"32"	5	1991	0	1.66317589953542
"33"	5	1992	0	-0.42975811380893
"34"	5	1993	0	-0.254945960827172
"35"	5	1994	1	-1.51665773242712
"36"	6	1991	1	0.962683508172631
"37"	7	1991	0	0.517705406062305
"38"	7	1992	0	-0.836916552856565
"39"	7	1993	1	0.682632845826447
"40"	8	1991	0	-0.1149962246418
"41"	8	1992	1	1.67358085699379
"42"	9	1991	0	-0.981184721924365
"43"	9	1992	0	1.43108538445085
"44"	9	1993	0	-0.512718657031655
"45"	9	1994	0	-1.05054325331002
"46"	9	1995	0	1.71822046115994
"47"	9	1996	0	1.24579411372542
"48"	9	1997	0	-0.905378743074834
"49"	9	1998	0	1.11412540636957
"50"	9	1999	0	-1.64984475821257
"51"	9	2000	0	-1.14543814305216
"52"	9	2001	0	-0.528596459887922
"53"	9	2002	0	-0.555377929471433
"54"	9	2003	0	0.278701202012599
"55"	9	2004	1	1.63655857183039
"56"	10	1991	0	-0.675894980318844
"57"	10	1992	0	-1.0926768546924
"58"	10	1993	0	0.575558541342616
"59"	10	1994	0	-1.42434306815267
"60"	10	1995	0	-0.563222634606063
"61"	10	1996	1	1.68930882029235
"62"	11	1991	1	-0.922866525128484
"63"	12	1991	1	0.733901438303292
"64"	13	1991	1	-0.58443514816463
"65"	14	1991	1	0.381448693573475
"66"	15	1991	1	1.1774269239977
"67"	16	1991	0	0.244284086860716
"68"	16	1992	1	0.788490950129926
"69"	17	1991	0	-0.924879220314324
"70"	17	1992	0	0.405101152136922
"71"	17	1993	0	-1.60695645585656
"72"	17	1994	0	0.176940093748271
"73"	17	1995	0	-0.726500464603305
"74"	17	1996	0	1.10388237051666
"75"	17	1997	0	-0.962194560095668
"76"	17	1998	1	0.364263386465609
"77"	18	1991	0	1.13723939657211
"78"	18	1992	0	-0.34509096108377
"79"	18	1993	0	-0.469578990712762
"80"	18	1994	0	0.294392373412848
