"name"	"low"	"high"
"cytidine"	243.083069145	243.087930855
"pseudouridine"	244.067059305	244.071940695
"uridine"	244.067059305	244.071940695
"dihydrouridine"	246.082739148	246.087660852
"2?-O-methylcytidine"	257.098628988	257.103771012
"3-methylcytidine"	257.098628988	257.103771012
"5-methylcytidine"	257.098628988	257.103771012
"N4-methylcytidine"	257.098628988	257.103771012
"1-methylpseudouridine"	258.082619148	258.087780852
"2?-O-methylpseudouridine"	258.082619148	258.087780852
"2?-O-methyluridine"	258.082619148	258.087780852
"3-methylpseudouridine"	258.082619148	258.087780852
"3-methyluridine"	258.082619148	258.087780852
"5-methyluridine"	258.082619148	258.087780852
"2-thiocytidine"	259.060109373	259.065290627
"5-hydroxycytidine"	259.077809196	259.082990804
"2-thiouridine"	260.044099533	260.049300467
"4-thiouridine"	260.044099533	260.049300467
"5-hydroxyuridine"	260.061899355	260.067100645
"5-methyldihydrouridine"	260.098198992	260.103401008
"adenosine"	267.094129032	267.099470968
"inosine"	268.078119192	268.083480808
"5-formylcytidine"	271.077689196	271.083110804
