"site","date","depth","temp"
"Antelope Flat",2023-08-17,0.4,21.36
"Antelope Flat",2023-08-17,1,21.35
"Antelope Flat",2023-08-17,2,21.36
"Antelope Flat",2023-08-17,3,21.24
"Antelope Flat",2023-08-17,4,20.63
"Antelope Flat",2023-08-17,5,20.32
"Antelope Flat",2023-08-17,6,20.17
"Antelope Flat",2023-08-17,7,20.19
"Antelope Flat",2023-08-17,8,20
"Antelope Flat",2023-08-17,9.1,19.98
"Antelope Flat",2023-08-17,10,19.88
"Antelope Flat",2023-08-17,11,17.52
"Antelope Flat",2023-08-17,12,16.01
"Antelope Flat",2023-08-17,13,15.18
"Antelope Flat",2023-08-17,14,13.79
"Antelope Flat",2023-08-17,15,12.65
"Antelope Flat",2023-08-17,19.9,7.67
"Antelope Flat",2023-08-17,25,6.14
"Antelope Flat",2023-08-17,30,5.46
"Antelope Flat",2023-08-17,35,5.02
"Antelope Flat",2023-08-17,40,4.76
"Antelope Flat",2023-08-17,45,4.47
"Antelope Flat",2023-08-17,50.1,4.27
"Anvil Draw",2023-08-17,0.5,21.51
"Anvil Draw",2023-08-17,1.1,21.5
"Anvil Draw",2023-08-17,2.1,21.46
"Anvil Draw",2023-08-17,3.1,20.7
"Anvil Draw",2023-08-17,4.1,20.4
"Anvil Draw",2023-08-17,5,19.99
"Anvil Draw",2023-08-17,6,19.91
"Anvil Draw",2023-08-17,7,19.79
"Anvil Draw",2023-08-17,8,19.74
"Anvil Draw",2023-08-17,9.1,19.65
"Anvil Draw",2023-08-17,10,19.37
"Anvil Draw",2023-08-17,11,18.9
"Anvil Draw",2023-08-17,11,18.85
"Anvil Draw",2023-08-17,12,17.77
"Anvil Draw",2023-08-17,13.1,15.31
"Anvil Draw",2023-08-17,14,13.79
"Anvil Draw",2023-08-17,15,11.91
"Anvil Draw",2023-08-17,19.9,7.55
"Anvil Draw",2023-08-17,25,6.4
"Anvil Draw",2023-08-17,30,5.93
"Anvil Draw",2023-08-17,35,5.55
"Anvil Draw",2023-08-17,40,5.23
"Anvil Draw",2023-08-17,45,5.2
