 ,Area,Mean,Min,Max,X,Y
1,0,90,90,90,1256.250,1029.500
2,0,81,81,81,1298.250,1029.500
3,0,146,146,146,1339.000,1031.500
4,0,174,174,174,1380.750,1032.250
5,0,74,74,74,1421.500,1032.250
6,0,89,89,89,1463.000,1031.500
7,0,118,118,118,1506.000,1030.750
8,0,36,36,36,1548.500,1032.000
9,0,57,57,57,1587.750,1031.750
10,0,36,36,36,1630.250,1032.500
11,0,123,123,123,1672.250,1032.500
12,0,148,148,148,1714.500,1031.750
13,0,111,111,111,1755.500,1029.750
14,0,128,128,128,1797.750,1030.250
15,0,92,92,92,1840.000,1028.000
16,0,36,36,36,1880.000,1028.250
17,0,79,79,79,1919.750,1027.750
18,0,114,114,114,1958.750,1024.750
19,0,40,40,40,1993.500,1024.000
20,0,10,10,10,2036.000,1024.000
