 ,Area,Mean,Min,Max,X,Y,Ch
1,0,357,357,357,335.000,277.000,1
2,0,290,290,290,340.500,331.500,1
3,0,311,311,311,411.500,323.500,1
4,0,500,500,500,357.500,203.500,1
5,0,644,644,644,352.500,155.500,1
6,0,1397,1397,1397,138.899,133.009,1
7,0,1346,1346,1346,167.396,141.621,1
8,0,768,768,768,179.114,226.498,1
9,0,596,596,596,213.880,250.792,1
10,0,574,574,574,171.918,273.652,1
11,0,660,660,660,123.561,276.137,1
12,0,802,802,802,98.508,253.120,1
13,0,541,541,541,126.794,319.515,1
14,0,576,576,576,107.066,336.112,1
15,0,708,708,708,78.412,352.396,1
16,0,852,852,852,60.963,372.991,1
17,0,348,348,348,193.830,393.433,1
18,0,383,383,383,237.458,474.124,1
19,0,302,302,302,313.362,438.794,1
20,0,270,270,270,324.166,374.375,1
21,0,387,387,387,287.114,282.272,1
22,0,430,430,430,249.341,282.934,1
23,0,411,411,411,345.796,240.535,1
24,0,345,345,345,452.187,309.590,1
25,0,460,460,460,507.302,288.922,1
26,0,366,366,366,464.087,341.844,1
27,0,759,759,759,353.070,135.930,1
28,0,547,547,547,340.001,195.421,1
29,0,468,468,468,325.596,227.206,1
30,0,1239,1239,1239,280.615,89.611,1
31,0,2041,2041,2041,286.082,29.563,1
32,0,602,602,602,138.074,286.819,1
33,0,644,644,644,181.133,249.867,1
34,0,926,926,926,86.222,248.903,1
35,0,494,494,494,135.237,428.980,1
36,0,386,386,386,379.986,460.552,1
37,0,369,369,369,365.268,467.911,1
38,0,465,465,465,306.711,508.563,1
39,0,639,639,639,520.769,224.354,1
40,0,573,573,573,501.041,215.429,1
41,0,598,598,598,466.799,166.001,1
42,0,580,580,580,358.053,180.911,1
43,0,330,330,330,366.757,286.383,1
44,0,356,356,356,311.592,294.809,1
45,0,290,290,290,329.249,349.844,1
