Temperature	DaytimeMeanTemperature	NightTemperature	Rainfall	WindSpeed	DaytimeMeanIrradiance	MeanIrradiance	SaturatedVapourPressure	VapourPressure	VaporPressureDeficit	DayTimeVapourPressureDeficitVPDbasic	DaytimeMeanVapourPressureDeficit
24.3	26.381	22.967	9.455	0.904	318.735	147.852	3.06	2.908	0.152	0.277	0.642
24.321	26.214	22.971	9.523	0.941	293.209	154.536	3.066	2.811	0.255	0.43	0.521
24.09	26.43	22.98	9.579	0.876	312.132	130.149	2.988	2.848	0.17	0.26	0.559
24.649	26.782	23.045	10.525	0.908	323.873	161.216	3.133	2.859	0.274	0.482	0.585
24.561	26.679	23.363	15.997	0.756	310.756	135.711	3.105	2.947	0.158	0.286	0.498
24.555	26.512	22.988	8.053	0.828	334.872	158.017	3.114	2.897	0.217	0.407	0.55
24.814	26.865	23.067	5.695	0.868	364.641	175.115	3.171	2.855	0.316	0.57	0.682
25.261	28.104	23.28	3.805	0.836	414.63	184.064	3.264	2.869	0.395	0.691	1.021
26.162	28.942	23.718	1.192	0.967	460.273	225.931	3.46	2.792	0.668	1.116	1.294
26.721	29.395	24.112	0.586	1.03	461.21	220.76	3.578	2.816	0.762	1.268	1.425
26.068	28.772	23.825	2.613	1.078	417.363	193.169	3.431	2.868	0.563	0.965	1.174
24.937	26.745	23.366	7.285	1.008	313.928	150.143	3.185	2.903	0.282	0.494	0.616
