starttime	endtime	vardaytime_light	vardaytime_vpd	vardaytime_T
6.5	7.0	0.05283	0.02188	0.82541
7.0	7.5	0.18726	0.03172	0.83583
7.5	8.0	0.38709	0.07813	0.85755
8	8.5	0.62078	0.15776	0.88473
8.5	9.0	0.86349	0.30046	0.91774
9	9.5	1.0942	0.50437	0.95372
9.5	10.0	1.2772	0.7207	0.98393
10	10.5	1.4372	0.91113	1.00664
10.5	11.0	1.53825	1.07031	1.02418
11	11.5	1.64981	1.21563	1.04026
11.5	12.0	1.71256	1.34073	1.05351
12	12.5	1.73836	1.43944	1.06366
12.5	13.0	1.73095	1.51062	1.07101
13	13.5	1.66709	1.54796	1.07358
13.5	14.0	1.58361	1.5712	1.07439
14	14.5	1.42158	1.56466	1.07136
14.5	15.0	1.27715	1.52164	1.06589
15	15.5	1.08612	1.47056	1.05913
15.5	16.0	0.90533	1.42111	1.05326
16	16.5	0.72872	1.36007	1.04684
16.5	17.0	0.51361	1.27057	1.03601
17	17.5	0.32461	1.15048	1.02171
17.5	18.0	0.15901	0.99763	1.00197
18	18.5	0.04316	0.82124	0.97768
