param	value	description
cols	200	/* nb of columns */
rows	200	/* nb of rows  */
HEIGHT	70	/* vertical extent of simulation */
length_dcell	25	/* linear size of a dcell */
nbiter	1500	/* total nb of timesteps */
iterperyear	365	/* number of iteration per year */
NV	1	/* vertical nb of cells (nb per m) */
NH	1	/* horizontal nb of cells (nb per m) */
nbout	4	/* Number of outputs */ 
nbspp	45	/* Number of species */
SWtoPPFD	2.27	/* convert short wave irradiance to PAR photons (cf. code) */
p_nonvert	0.05	/* light incidence param (diff through turbid medium) */
klight	0.63	/* light attenuation in the canopy Beer-Lambert */
phi	0.093	/*  quantum yield (in micromol C/micromol photon) */
absorptance_leaves	0.9	/* absorptance of individual leaves */
theta	0.7	/* parameter of the Farquhar model */
g1	3.77	/* parameter g1 of Medlyn et al ’s stomatal conductance model */
vC	0.021	/* variance of the flexion moment */
DBH0	0.005	/* initial dbh (m) */
H0	0.95	/* initial height (m) */
CR_min 	0.3	/* minimum crown radius (in m) */
CR_a	2.13	/* CR log intercept or Michaelis Menten initial growth */
CR_b	0.63	/* CR log slope or Michaelis Menten asymptotic CR */
CD_a	0.0	/* CD intercept (absolute value) */
CD_b	0.2	/* CD slope (as fraction of tree height) */
CD0	0.3	/* initial crown depth(in m) */
shape_crown	0.72	/* crown shape parameter */
dens	1.0	/* initial leaf density (m^2/m^2) */
fallocwood	0.35	/* fraction of biomass allocated to above ground wood (branch turnover+stem) */
falloccanopy	0.25	/* fraction of biomass allocated to canopy (leaves + reproductive organs + twigs) */
Cseedrain	50000	/* constant used to scale total seed rain per hectare across species (in next computation) */
nbs0	10	/* nb of seeds produced and dispersed by each mature tree when SEEDTRADEOFF is not defined */
sigma_height	0.19	/* intraspecific variation in tree height (lognormal) */
sigma_CR	0.29	/* intraspecific variation in crown radius (lognormal) */
sigma_CD	0.0	/* intraspecific variation in crown depth (lognormal) */
sigma_P	0.24	/* intraspecific variation in leaf phosphorus (lognormal) */
sigma_N	0.12	/* intraspecific variation in leaf nitrogen (lognormal) */
sigma_LMA	0.24	/* intraspecific variation in LMA (lognormal) */
sigma_wsg	0.06	/* intraspecific variation in wood specific gravity */
sigma_dbhmax	0.05	/* intraspecific variation in maximum diameter */
corr_CR_height	0.0	/* correlation coefficient between crown radius and tree height */
corr_N_P	0.65	/* correlation coefficient between leaf nitrogen and leaf phosphorus */
corr_N_LMA	-0.43	/* correlation coefficient between leaf nitrogen and LMA */
corr_P_LMA	-0.39	/* correlation coefficient between leaf phosphorus and LMA */
leafdem_resolution	30	/* resolution of leaf demography model */
p_tfsecondary	1.0	/* probability of secondary treefall */
hurt_decay	0	/*  parameter determining how tree damages are repaired */
crown_gap_fraction	0.15	/* fraction of gaps in the crown */
m	0.013	/* minimal death rate */
m1	0.013	/* m1 (slope of death rate) */
Cair	400	/* atmospheric CO2 concentration in micromol/mol */
_LL_parameterization	1	/* LL parameterizations: empirical, Kikuzawa model, and Kikuzawa model with leaf plasticity (0,1,2) */
_LA_regulation	2	/* dynamic LA regulation: off, 1.0, 0.75, or 0.5 (0,1,2,3) */
_sapwood	1	/* sapwood parameterizations: constant thickness (0.04), Fyllas percentage, Fyllas lower limit (0,1,2) */
_seedsadditional	0	/* excess biomass into seeds after maturation (0,1) */
_NONRANDOM	1	/* If _NONRANDOM == 1, the seeds for the random number generators will be kept fixed at 1, default for bug fixing */
_GPPcrown	0	/* This defines an option to compute only GPP from the topmost value of PPFD and GPP, instead of looping within the crown. */
_BASICTREEFALL	1	/* if defined: treefall is a source of tree death */
_SEEDTRADEOFF	0	/* if defined: the number of seeds produced is determined by NPP allocated to reproduction and seed mass, otherwise the number of seeds is fixed */
_CROWN_MM	0	/* Michaelis Menten allometry for crowns instead of power law, parameters have to be changed in other input sheets accordingly */
_OUTPUT_extended	1	/* extended set of ouput files */
extent_visual	0	/* extent for visualization output */
