s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_tlp	s_drymass
Abarema_jupunba	110.38	0.0232	0.00057	0.576	0.66	50.92	0.308	1	0.00526315789473684	-1.595426667	0.0273944445782238
Bocoa_prouacensis	95.6	0.0255	0.0005054	0.798	0.4	47.91	0.251	1	0.00526315789473684	-2.08046285714286	0.565737443427517
Brosimum_rubescens	85.79	0.0188	0.0006881	0.619	0.52	50.92	0.308	1	0.00526315789473684	-2.279746667	0.239722225608097
Carapa_procera	130.13	0.0177	0.0006356	0.55	0.49	41.42	0.187	1	0.00526315789473684	-1.92684	2.64374467117567
Caryocar_glabrum	84.25	0.0217	0.0008129	0.612	1.15	48.6	0.275	1	0.00526315789473684	-1.879693333	0.35652631325157
Cecropia_obtusa	69.53	0.0276	0.0013827	0.388	0.35	50.92	0.308	1	0.00526315789473684	-1.43	10.4924167493979
Chrysophyllum_sanguinolentum	151.41	0.0154	0.000469	0.566	0.67	50.92	0.308	1	0.00526315789473684	-1.4474	2.79240001837412
Conceveiba_guianensis	86.66	0.0235	0.0007295	0.537	0.23	33.3	0.16	1	0.00526315789473684	-1.69596	0.910089740768458
Cordia_sagotii	134.37	0.0253	0.0005916	0.443	0.47	36.36	0.139	1	0.00526315789473684	-1.90916	1.76876190635893
Couepia_bracteosa	122.8	0.015	0.0004817	0.784	0.45	50.92	0.308	1	0.00526315789473684	-2.25548	1.29282051783342
Couepia_caryophylloides	98.67	0.0171	0.0006778	0.752	0.39	50.92	0.308	1	0.00526315789473684	-1.86756	0.960750004897515
Cupania_scrobiculata	61.4	0.0232	0.0018221	0.692	0.2	41.86	0.274	1	0.00526315789473684	-2.13484	0.284351850825328
Cyrillopsis_paraensis	53.03	0.0289	0.0005725	0.757	0.55	50.92	0.308	1	0.00526315789473684	-2.06828	0.296888890641707
Dacryodes_cuspidata	107.74	0.0155	0.0004892	0.626	0.34	50.92	0.308	1	0.00526315789473684	-1.719533333	0.505066667745511
Dicorynia_guianensis	91.25633	0.0243	0.00069	0.61	1.02	57.87	0.362	1	0.00526315789473684	-1.7119066666	0.463542220857408
Diospyros_carbonaria	118.47	0.0131	0.0004029	0.606	0.3	55.62	0.366	1	0.00526315789473684	-1.7056666665	0.571253968136651
Drypetes_variabilis	112.52	0.0204	0.0007755	0.699	0.5	50.92	0.308	1	0.00526315789473684	-2.1220133335	0.774722219755252
Eperua_grandiflora	134.8	0.0152	0.0006276	0.677	0.67	44.77	0.218	1	0.00526315789473684	-2.06507333325	0.419526881588403
Eschweilera_coriacea	104.6	0.0207	0.00115	0.657	0.54	41.86	0.22	1	0.00526315789473684	-1.82828761914286	0.903774946263641
Eschweilera_grandiflora	123.98	0.0232	0.00116	0.628	0.81	54.04	0.342	1	0.00526315789473684	-1.7542	1.55482882449219
Gustavia_hexapetala	77.40275	0.0258	0.00064	0.618	0.26	51.76	0.346	1	0.00526315789473684	-1.98346222216667	0.511711113254229
Hirtella_glandulosa	121.81	0.0151	0.0004578	0.743	0.35	50.92	0.308	1	0.00526315789473684	-1.88628	1.03762963303813
Iryanthera_sagotiana	91.02	0.0193	0.0005287	0.522	0.37	44.27	0.264	1	0.00526315789473684	-1.83012	0.36029268352966
Lecythis_persistens	130.09	0.0189	0.0004985	0.685	0.32	54.22	0.339	1	0.00526315789473684	-1.94972	1.46643492257784
Lecythis_poiteaui	85.98	0.0276	0.0005868	0.695	0.61	49.23	0.27	1	0.00526315789473684	-2.5810693332	0.494473118294952
Licania_alba	138.36	0.0141	0.0003925	0.755	0.42	40.33	0.207	1	0.00526315789473684	-2.04401333342857	1.48725724112296
Licania_canescens	102.52	0.0206	0.0004366	0.766	0.29	27.27	0.11	1	0.00526315789473684	-2.047826666625	0.279396825484813
Licania_membranacea	127.69	0.0163	0.0003884	0.785	0.56	43.24	0.196	1	0.00526315789473684	-2.23912888866667	0.561384614939109
Manilkara_huberi	194.29	0.015	0.0004925	0.75	0.88	50.92	0.308	1	0.00526315789473684	-2.2482	1.85459999243418
Micropholis_cayennensis	170.57	0.015	0.0003879	0.563	0.67	50.92	0.308	1	0.00526315789473684	-1.88732	2.12416665256024
Minquartia_guianensis	80.91	0.0221	0.0006279	0.686	0.87	50.92	0.308	1	0.00526315789473684	-1.611373333	0.51503509296137
Neea_floribunda	74.27	0.036	0.0007652	0.451	0.28	50.92	0.308	1	0.00526315789473684	-1.90604	0.616925922808824
Pouteria_cladantha	129.87	0.013	0.0003076	0.811	0.32	50.92	0.308	1	0.00526315789473684	-1.926146667	0.333555556005902
Pouteria_filipes	80.34	0.0278	0.0008959	0.696	0.68	50.92	0.308	1	0.00526315789473684	-2.19932	0.374866670370102
Pouteria_gonggrijpii	110.67	0.0204	0.00056	0.698	0.36	25.9	0.103	1	0.00526315789473684	-2.075213333	0.805405794602373
Protium_gallicum	74.58	0.0184	0.0005926	0.639	0.28	31.79	0.116	1	0.00526315789473684	-2.49719333325	0.117902124749203
