"key";"es";"en"
"acercade";"Acerca De";"About"
"acerto";"Acertó";"Matched"
"activa";"Activa";"Active"
"agregarcluster";"Agregar Clústers a Tabla de Datos";"Add Clusters to Dataset"
"algoritmo";"Algoritmo:";"Algorithm:"
"anterior";"Anterior";"Previous"
"aplicar";"Aplicar";"Apply"
"aprendizaje";"Aprendizaje Supervisado";"Supervised Learning"
"asimetria";"Asimetría";"Asymmetry"
"atipicos";"Datos Atípicos";"Atypical Data"
"automatico";"Automático";"Automatic"
"ayudacp";"Ayuda Interpretación";"Interpretation Help"
"basico";"Estadísticas Básicas";"Basic Statistics"
"bigPlot";"El gráfico es demasiado grande para desplegarse";"The graph is too large to display"
"bl";"Potenciación";"Boosting"
"boost";"Potenciación";"Boosting"
"BOOST";"Potenciación";"Boosting"
"buscar";"Buscar:";"Search:"
"calibracion";"Calibración de Modelos";"Model Calibration"
"calidadcos";"Cos2 - Calidad de la Representación";"Cos2 - Quality of Representation"
"cantidadcasos";"Cantidad de Casos";"Number of Cases"
"cargar";"Cargar";"Load"
"cargarchivo";"Cargar Archivo";"Load Archive"
"cargarComp";"Cargar Tabla Completa";"Load Full Data"
"cargarDatos";"Cargar Datos";"Load Data"
"cargarNuev";"Cargar Individuos Nuevos";"Load New Cases"
"categorias";"Categorías";"Categories"
"categoricas";"Categóricas";"Categoricals"
"categorico";"Categórico";"Categorical"
"cci";"Cosenos Cuadrados de los Individuos";"Square Cosines of Individuals"
"ccv";"Cosenos Cuadrados de las Variables";"Square Cosines of Variables"
"centrar";"Centrar y Reducir";"Center and Reduce"
"codecentros";"Cálculo de los Centros";"Calculation of Centers"
"codedist";"Gráfico de la Distribución";"Distribution Plot"
"codehoriz";"Gráfica todas las variables en Horizontal";"Plot all the variables in Horizontal"
"codejambu";"Cálculo del Codo de Jambu";"Calculation of Jambu Elbow"
"coderadar";"Gráfica todas las variables en radar";"Plot all the variables in Radar"
"codevert";"Gráfica todas las variables en Vertical";"Plot all the variables in Vertical"
"codigo";"Código";"Code"
"codigodistcat";"Grafico de la Distribución (Categóricas)";"Distribution Plot (Categorical)"
"codigodistnum";"Grafico de la Distribución (Numéricas)";"Distribution Plot (Numerical)"
"codreporte";"Código del Reporte";"Report Code"
"coeff";"Coeficientes";"Coefficients"
"coma";"Coma";"Comma"
"comparacion";"Comparación de Modelos";"Model Comparison"
"confg";"Configuración";"Configuration"
"configuraciones";"Configuraciones";"Settings"
"contribucion";"Contribuciones (%)";"Contributions (%)"
"copyright";"TODOS LOS DERECHOS RESERVADOS A";"ALL RIGHTS RESERVED TO"
"correlacion";"Correlación";"Correlation"
"coseno";"Coseno:";"Cosine:"
"cosind";"Coseno de los Individuos:";"Cosines of Individuals:"
"cosvar";"Coseno de las Variables:";"Cosines of Variables:"
"cp1";"Contribución de las variables Dim-1";"Contribution of the variables Dim-1"
"cp2";"Contribución de las variables Dim-2";"Contribution of the variables Dim-2"
"crossval";"Validación Cruzada";"Cross Validation"
"curvanormal";"Curva Normal";"Normal Curve"
"cvc";"Correlación Variables con los Componenetes";"Correlation Variables with the Componenetes"
"data";"Datos";"Data"
"dataA";"Datos de Aprendizaje";"Training Sample"
"dataP";"Datos de Prueba";"Test Sample"
"dendograma";"Dendograma";"Dendogram"
"densidad";"Densidad";"Density"
"denspodlab";"Densidad de la variable ${X} según ${Y}";"Density of variable ${X} according to ${Y}"
"denspred";"Densidad de Variables Numéricas Según Variable a Predecir";"Density of Numerical Variables According to Variable to Predict"
"descarga";"Descargar Datos";"Download Data"
"descargar";"Descargar";"Download"
"deshabilitada";"Deshabilitada";"Disabled"
"dif";"Diferencia";"Difference"
"dimensiones";"Dimensiones";"Dimensions"
"dispersion";"Dispersión";"Scatter Plot"
"distancia";"Método Distancia:";"Distance Method:"
"distknn";"Distancia q:";"q Distance:"
"distpodcat";"Distribución relativa de la variable ${X} según ${Y}";"Relative distribution of the variable ${X} according to ${Y}"
"distpred";"Distribución de Variable a Predecir";"Distribution of Variable to Predict"
"distpredcat";"Distribución de Variables Categóricas Según Variable a Predecir";"Distribution of Categorical Variables According to the Variable to Predict"
"distrelvar";"Distribución relativa de la variable";"Relative distribution of the variable"
"distribucion";"Distribución";"Distribution"
"distribuciones";"Distribuciones";"Distributions"
"disyuntivo";"Disyuntivo";"Disjunctive"
"ds";"Desviación Estandar";"Standard deviation"
"dt";"Árboles de Regresión";"Regression Trees"
"DT";"Árboles de Regresión";"Regression Trees"
"dtl";"Árboles de Regresión";"Regression Trees"
"ejecutar";"Ejecutar";"Run"
"ejes";"Ejes:";"Axes:"
"eliminana";"Acción para Datos Ausentes (NAs)";"Action for Missing Data (NAs)"
"eliminar";"Eliminar";"Delete"
"ER";"Error Relativo (%)";"Relative Error (%)"
"errG";"Error Global";"Global Error"
"ErrorBsize";"La tabla de aprendizaje es muy pequeña para ejecutar este modelo";"The learning table is too small to run this model"
"errorcat";"Se necesitan variables categóricas  para esta parte";"You need categorical variables for this part"
"errorCData";"Error al cargar los Datos: Revisar separadores";"Error when loading the Data: Check separators"
"ErrorDatosPN";"Aún no carga los datos a predecir";"It still doesn't load the data to predict"
"ErrorModelo";"Aún no genera el modelo";"The model has not yet been generated"
"errornum";"Se necesitan variables numéricas  para esta parte";"You need numerical variables for this part"
"errorSeg";"Error al dividir los datos :";"Error when dividing the data :"
"errRDnCom";"La cantidad de componentes excede la cantidad existente";"The quantity of components exceeds the existing quantity"
"escal";"Escalar Datos";"Scale Data"
"espanol";"Español";"Spanish"
"evolerror";"Evolución del Error";"Error Evolution"
"fallo";"Falló";"Failed"
"fisher";"Cálculo de Fisher";"Fisher's calculation"
"garbol";"Gráfico Árbol";"Tree Plot"
"gclasificacion";"Gráfico Clasificación";"Classification Plot"
"gcoeff";"Coeficientes y lambda";"Coefficients and lambda"
"generar";"Generar";"Generate"
"generarM";"Generar Modelo";"Generate Model"
"generatem";"Generación del Modelo";"Generation of the Model"
"grafBarras";"Gráfico de Barras";"Bar Plot"
"grafError";"Gráfico de Variación del Error";"Error Variation Plot"
"grafLineas";"Gráfico de Líneas";"Line Plot"
"habilitada";"Habilitada";"Enabled"
"header";"Nombre de Variables";"Variables names"
"histograma";"Histograma";"Histogram"
"horizontal";"Horizontal";"Horizontal"
"ID";"ID";"ID"
"idioma";"Idioma";"Language"
"imputar";"Imputar";"Impute"
"impVarA";"Importancia de Variables Según el Porcentaje de Incremento del MSE";"Importance of Variables According to Percentage Increase in Mean Square Error"
"impVarRI";"Importancia de Variables según Influencia Relativa";"Importance of Variables by Relative Influence"
"impVarRSS";"Importancia Variables según Reducción del RSS";"Importance Variables according to RSS reduction"
"IncMSE";"Aumento Porcentual del Error Cuadrático Medio";"Percentage Increase in Mean Square Error"
"indiceagrega";"Índice de Agregación:";"Aggregation Index:"
"indices";"Índices Generales";"General Indices"
"individuos";"Individuos";"Individuals"
"inferior";"Valor Inferior";"Lower Value"
"info";"MÁS INFORMACIÓN";"MORE INFORMATION"
"interpretacioncat";"Interpretación Categórico";"Categorical Interpretation"
"iter";"Iteraciones:";"Iterations:"
"jambu";"Codo de Jambu";"Jambu Elbow"
"kiter";"Cantidad de iteraciones para K";"Number of iterations to K"
"knn";"K Vecinos Más Cercanos";"K Nearest Neighbors"
"KNN";"K Vecinos Más Cercanos";"K Nearest Neighbors"
"knnl";"K Vecinos Más Cercanos";"K Nearest Neighbors"
"kv";"Valor de K:";"K Value:"
"lambda";"Log(λ)";"Log(λ)"
"landa";"Seleccionar Log(λ):";"Select Log(λ):"
"log_landa";"Lambda Log(x) =";"Lambda Log(x) ="
"lowCurve";"Curva Inferior";"Lower Curve"
"MAE";"Error Absoluto Medio";"Mean Absolute Error"
"manual";"Manual";"Manual"
"mapa";"Mapa";"Map"
"maxdepth";"Profundidad Máxima:";"Max Depth:"
"maximo";"Máximo";"Maximum"
"mc";"Matriz de Confusión";"Confusion Matrix"
"mediana";"Mediana";"Median"
"metodo";"Método:";"Method:"
"metododist";"Método para la Distancia:";"Distance Method:"
"minimo";"Mínimo";"Minimum"
"minsplit";"Mínimo para dividir un nodo:";"Minimum to split a node:"
"modelo";"Modelo";"Model"
"MSE";"Error Cuadrático Medio";"Mean Squared Error"
"msjclusters";"Los clústeres fueron correctamente agregados.";"The clusters were added correctly."
"ncomp";"Número de Componentes";"Number of components"
"ndec";"Número de Decimales";"Number of Decimals"
"negativo";"Negativo";"Negative"
"niter";"Número de Iteraciones:";"Number of Iterations:"
"nn";"Redes Neuronales";"Neural Networks"
"NN";"Redes Neuronales";"Neural Networks"
"nnWar";"El modelo no converge con los parámetros actuales, intente modificarlos";"The model does not converge with the current parameters, try to modify them"
"no";"NO";"NO"
"nodata";"No hay datos disponibles";"No data available in table"
"NoDRule";"No se puede mostrar las reglas para el árbol seleccionado";"Cannot display rules for selected tree"
"nombre";"Digite su nombre:";"Enter your Name:"
"noModel";"No se ha generado el modelo";"The model has not been generated"
"nonZeroCoeff";"Coeficientes Distintos de Cero";"Non-Zero Coefficients"
"normalidad";"Test de Normalidad";"Normality Test"
"NoTamColum";"Los datos no poseen las mismas columnas";"Data does not have the same columns"
"nstart";"Ejecuciones en Formas Fuertes:";"Executions in Strong Forms:"
"numericas";"Numéricas";"Numericals"
"numerico";"Numérico";"Numeric"
"numerodim";"Número de Dimensiones";"Number of Dimentions"
"numTree";"Número de Árboles:";"Number of Trees:"
"numVars";"Número de variables:";"Number of variables:"
"opciones";"Opciones";"Options"
"pares";"Gráfico de Pares";"Pair Plot"
"plotComp";"Gráfico Comparativo";"Comparison Plot"
"plotnormal";"Gráfico Normalidad";"Normal Plot"
"poderpred";"Poder Predictivo";"Predictive Power"
"porcvee";"Porcentaje de Varianzas Explicadas";"Percentage of Variances Explained"
"posibLanda";"Posibles lambda";"Possible lambda"
"positivo";"Positivo";"Positive"
"prec";"Precisión";"Precision"
"precG";"Precisión Global";"Global Precision"
"pred";"Predicción";"Prediction"
"predicnuevos";"Predicción Individuos Nuevos";"New Cases Prediction"
"predm";"Predicción del Modelo";"Prediction of the Model"
"predvsreal";"Predicciones vs Valores Reales";"Predictions vs Real Values"
"primero";"Primero";"First"
"promedio";"Promedio";"Mean"
"propA";"Partición de Aprendizaje:";"Training partition:"
"propP";"Partición de Prueba:";"Test partition:"
"punto";"Punto";"Point"
"puntocoma";"Punto y coma";"Semicolon"
"pvalue";"P-valor (Shapiro)";"P-value (Shapiro)"
"q1";"Primer Cuartil";"First Quartile"
"q3";"Tercer Cuartil";"Third Quartile"
"R2";"R cuadrado";"R squared"
"radar";"Radar";"Radar"
"rd";"Reducción de Dimensión";"Dimension Reduction"
"RD";"Reducción de Dimensión";"Dimension Reduction"
"RdPred";"Varianza Explicada en Predictores";"Variance Explained in Predictors"
"RdVarPred";"Varianza Explicada en Variable a Predecir";"Variance Explained in Variable to Predict"
"reald";"Datos Reales";"Real Data"
"realValue";"Valor Real";"Real Value"
"redPlot";"Red Neuronal";"Neural Network"
"reglas";"Reglas";"Rules"
"reglin";"Regresión Lineal";"Linear Regression"
"regpen";"Regresión Penalizada";"Penalized Regression"
"rep";"Repetición";"Repetition"
"repcabi";"Sobreposición del Circulo y el Plano";"Overlap of the Circle and the Plane"
"repcaind";"Plano Principal";"Main Plane"
"repcat";"Interpretación Variables Categóricas";"Interpretation of Categorical Variables"
"repcavar";"Circulo de Correlaciones";"Correlation Circle"
"repcor";"Matriz de Correlaciones";"Correlation Matrix"
"repcosind";"Coseno Individuos:";"Individuals Cosine:"
"repcosvar";"Coseno Variables:";"Variables Cosine:"
"repdim";"Dimensiones:";"Dimentions:"
"repeliminacion";"Eliminación de Variables";"Elimination of Variables"
"rephc";"Clusterización Jerarquica";"Hierarchical Clusterization"
"rephoriz";"Interpretación Horizontal";"Horizontal Interpretation"
"repinter";"Retroalimentación";"Feedback"
"repmodelo";"Modelo ACP";"PCA Model"
"reporte";"Generar Reporte";"Generate Report"
"repradar";"Gráfico Radar";"Radar Plot"
"reptransformar";"Transformación de Datos";"Data Transformation"
"repvert";"Interpretación Vertical";"Vertical Interpretation"
"resultados";"Resultados Numéricos";"Numerical Results"
"resumen";"Resumen Numérico";"Numeric Summary"
"resumenvar";"Resumen Numérico por Variable";"Numeric Summary by Variable"
"resumenVarPre";"Resumen Numérico de la Variable a Predecir";"Numerical Summary of the Variable to be Predicted"
"rf";"Bosques Aleatorios";"Random Forests"
"RF";"Bosques Aleatorios";"Random Forests"
"rfl";"Bosques Aleatorios";"Random Forests"
"RI";"Influencia Relativa";"Relative Influence"
"rl";"Regresión Lineal";"Linear Regression"
"rlr";"Regresión Penalizada";"Penalized Regression"
"Rmse";"Raíz Error Cuadrático Medio";"Root Mean Squared Error"
"RMSE";"Raíz Error Cuadrático Medio";"Root Mean Squared Error"
"RMSEComp";"RMSE Según Número de Componentes";"RMSE According to Number of Components"
"rocCurva";"Curva ROC";"ROC Curve"
"RocNo";"La curva ROC solo aplica para variables binarias";"The ROC curve only applies to binary variables"
"Rownames";"Nombre de Individuos";"Row names"
"ruleNumTree";"Reglas del árbol número:";"Rules of the tree number:"
"salida";"Salida R";"R Output"
"selbooster";"Seleccionar el Amplificador:";"Select Booster:"
"selcolbar";"Seleccione color de las barras:";"Select bar color:"
"selcolline";"Seleccione color de las líneas:";"Select line color:"
"selcolor";"Seleccionar Color:";"Select Color:"
