ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
"D House, D Senate",9/25/2019 12:00:00 AM,$0.31,$0.33,$0.31,$0.33,1665
"D House, R Senate",9/25/2019 12:00:00 AM,$0.50,$0.52,$0.50,$0.52,315
"R House, R Senate",9/25/2019 12:00:00 AM,$0.23,$0.24,$0.23,$0.23,747
"R House, D Senate",9/25/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,128
"D House, D Senate",9/26/2019 12:00:00 AM,$0.33,$0.33,$0.30,$0.32,1584
"D House, R Senate",9/26/2019 12:00:00 AM,$0.52,$0.52,$0.50,$0.50,1761
"R House, R Senate",9/26/2019 12:00:00 AM,$0.23,$0.24,$0.20,$0.23,1536
"R House, D Senate",9/26/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,1684
"D House, D Senate",9/27/2019 12:00:00 AM,$0.32,$0.32,$0.31,$0.31,511
"D House, R Senate",9/27/2019 12:00:00 AM,$0.50,$0.52,$0.49,$0.52,1784
"R House, R Senate",9/27/2019 12:00:00 AM,$0.23,$0.24,$0.22,$0.23,1135
"R House, D Senate",9/27/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,962
"D House, D Senate",9/28/2019 12:00:00 AM,$0.31,$0.33,$0.31,$0.33,196
"D House, R Senate",9/28/2019 12:00:00 AM,$0.52,$0.52,$0.51,$0.52,51
"R House, R Senate",9/28/2019 12:00:00 AM,$0.23,$0.24,$0.22,$0.24,91
"R House, D Senate",9/28/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.02,501
"D House, D Senate",9/29/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.33,271
"D House, R Senate",9/29/2019 12:00:00 AM,$0.52,$0.52,$0.51,$0.51,132
"R House, R Senate",9/29/2019 12:00:00 AM,$0.24,$0.24,$0.22,$0.24,35
"R House, D Senate",9/29/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,265
"D House, D Senate",9/30/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.33,741
"D House, R Senate",9/30/2019 12:00:00 AM,$0.51,$0.52,$0.51,$0.52,659
"R House, R Senate",9/30/2019 12:00:00 AM,$0.24,$0.24,$0.22,$0.24,471
"R House, D Senate",9/30/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,550
"D House, D Senate",10/1/2019 12:00:00 AM,$0.33,$0.33,$0.32,$0.33,604
"D House, R Senate",10/1/2019 12:00:00 AM,$0.52,$0.52,$0.51,$0.52,484
"R House, R Senate",10/1/2019 12:00:00 AM,$0.24,$0.24,$0.23,$0.23,900
"R House, D Senate",10/1/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.02,546
"D House, D Senate",10/2/2019 12:00:00 AM,$0.33,$0.33,$0.30,$0.30,3837
"D House, R Senate",10/2/2019 12:00:00 AM,$0.52,$0.53,$0.51,$0.52,1426
"R House, R Senate",10/2/2019 12:00:00 AM,$0.23,$0.24,$0.22,$0.23,2880
"R House, D Senate",10/2/2019 12:00:00 AM,$0.02,$0.02,$0.01,$0.01,976
"D House, D Senate",10/3/2019 12:00:00 AM,$0.30,$0.32,$0.29,$0.32,590
"D House, R Senate",10/3/2019 12:00:00 AM,$0.52,$0.53,$0.52,$0.52,71
"R House, R Senate",10/3/2019 12:00:00 AM,$0.23,$0.24,$0.23,$0.23,567
"R House, D Senate",10/3/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,579
"D House, D Senate",10/4/2019 12:00:00 AM,$0.32,$0.32,$0.30,$0.30,183
"D House, R Senate",10/4/2019 12:00:00 AM,$0.52,$0.52,$0.51,$0.51,11
"R House, R Senate",10/4/2019 12:00:00 AM,$0.23,$0.26,$0.23,$0.26,3084
"R House, D Senate",10/4/2019 12:00:00 AM,$0.01,$0.02,$0.01,$0.01,11
"D House, D Senate",10/5/2019 12:00:00 AM,$0.30,$0.32,$0.29,$0.31,466
"D House, R Senate",10/5/2019 12:00:00 AM,$0.51,$0.52,$0.50,$0.50,2423
"R House, R Senate",10/5/2019 12:00:00 AM,$0.26,$0.29,$0.24,$0.26,3535
"R House, D Senate",10/5/2019 12:00:00 AM,$0.01,$0.01,$0.01,$0.01,148
"D House, D Senate",10/6/2019 12:00:00 AM,$0.31,$0.31,$0.30,$0.30,1132
"D House, R Senate",10/6/2019 12:00:00 AM,$0.50,$0.52,$0.50,$0.51,294
"R House, R Senate",10/6/2019 12:00:00 AM,$0.26,$0.27,$0.25,$0.25,357
