Wreck ID;Strauss ID;Name;Parker Number;Sea area;Country;Region;Latitude;Longitude;Min depth;Max depth;Depth;Period;Dating;Earliest date;Latest date;Date range;Mid point of date range;Probability;Place of origin;Place of destination;Reference;Comments;Amphorae;Marble;Columns etc;Sarcophagi;Blocks;Marble type;Other cargo;Hull remains;Shipboard paraphernalia;Ship equipment;Estimated tonnage;Amphora type
1;331;Komiza;;Adriatic;Croatia;Vis Island;43,03333;16,08333;30;30;30m;Roman Imperial;C1st-2nd AD;1;200;;;;Egypt;Northern Italy;M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no.27.;Completely looted site with sherds of Egyptian (Somalian) amphorae.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
2;328;Lokunji;;Adriatic;Croatia;Kvarner region;44,7;14,28333;4;12;12m;Roman Imperial;C 1st AD;1;100;;;;Cos;Northern Italy;"D. Vrsalovi?, Istraživanja i Zaštita Podmorških Arheoloskih Spomenika u S.R. Hrvatskoj (1974), 35; M. Juriši? Ancient Shipwrecks of the Adriatic  (2000), no.37.";;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
3;329;Maharac Cape;;Adriatic;Croatia;Mljet island;42,73333;17,66666;3;20;3-20m;Roman Imperial;C 1st AD;1;100;;;;Rhodes;Northern Italy;"D. Vrsalovi?, PhD thesis (unpublished; 1979), 247; M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no.38.";;SAND;FALSK;FALSK;FALSK;FALSK;;Eastern coarse ware pottery of biconical dishes and trefoil mouth jugs.;;;;;
4;330;Mlin;702;Adriatic;Croatia;Split channel;43,45;16,23333;25;40;40m;Roman Imperial;C 1st-2nd AD;1;200;;;;Aegean;Northern Italy;"D. Vrsalovi?, Istraživanja i Zaštita Podmorških Arheoloskih Spomenika u S.R. Hrvatskoj (1974), 25; D. Vrsalovi?, PhD thesis (unpublished, 1979), 217-18; N. Cambi, Amphores Romaines, MEFRA 114 (1989), 323-5; M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no. 45.";A heavily looted mixed cargo of Greek amphorae - Rhodian in two sizes, smaller Rhodian with ribbed belly, Greek variant of Dr. 2-4, Cnidian in two sizes, possibly Dr. 28 and at least three other unidentified forms.;SAND;FALSK;FALSK;FALSK;FALSK;;;Remains of the hull.;;Two lead anchor stocks, though possibly not from this site.;;
5;322;Plavac B;832;Adriatic;Croatia;Zlarin Island, central Dalmatia;;;;;;Roman Imperial;C1st AD;1;100;;;;;;;;FALSK;FALSK;FALSK;FALSK;FALSK;;;;;.;;
6;326;Tramerka;;Adriatic;Croatia;Northern Dalmatia;44,21666;14,78333;15;20;20m;Roman Imperial;C 1st AD;1;100;;;;Rhodes;northern Italy;"Z. Brusiç, Zbornik Zadarsko oto?je 1 (1974), 67; D. Vrsalovi?, PhD thesis (unpublished; 1979), 174; M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no.79.";A cargo of Rhodian amphorae;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
7;332;Veliki Skolj;;Adriatic;Croatia;Mljet island;42,7;17,75;30;31;31m;Roman Imperial;C1st-2nd AD;1;200;;;;Aegean;Northern Italy;"D. Vrsalovi?, PhD thesis (unpublished, 1979), 248-9; M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no.81.";;FALSK;SAND;FALSK;SAND;FALSK;15 basins or unfinished sarcophagi with lids.;Sherds of Eastern coarse ware two-handled dishes, oinochoe.;;A piece of Beltran 2A amphora and some fragments of a Dr. 6A amphora.;;;
8;453;La Fourmigue C;425;Western Mediterranean;France;Alpes-Maritimes;;;58;58;58m;Roman Republic;mid C1st  BC;-80;-60;;;;Aegean via Cosa;France;"DRASM, Archéologie Sous-marine, Arles 83, (1983), nos. 277-304; G. Amar and B. Liou,  Archaeonautica 4 (1984), 154; M.-B. Carre and M.-P. Jezegou, Archaeonautica 4 (1984), 134; A. Pollino, Objets Métalliques sur les épaves antiques, (1984), 35-49; B. Liou and P. Pomey, Gallia 43 (1985), 574-5; F. Braemer, L’Exploitation de la Mer. La mer, moyen d’échange et de communication (1986), 149-50; A. Hesnard et al., Archaeonautica 8 (1988), 92 ; Parker (1992), 425; C. Baudoin, B. Liou and L. Long, Une Cargaison de Bronzes Hellénistiques, Archaeonautica 12 (1994).";A well-preserved tumulus, in spite of looting, of Dr. 1B, stamped on the lip with PAP or ANT. Lamboglia  2 stamped with TERE on the lip and Dr. 1A.;SAND;FALSK;FALSK;FALSK;FALSK;;"A fine collection of furniture and sculptural appliques, mostly belonging to bronze couches inlaid with silver and copper; an inscription indicated Greek manufacture.
Also a large dish, a bucket, decorated with a fine Bacchic mask, a candelabrum foot and other pieces of bronze furniture.";Proposed length of about 15m capable of carrying 300 amphorae.;"A stone mortar and pestle of Cycladic marble, two touch-stones, a tin oil lamp, Campanian B dishes and coarse ware jugs and jars.
Five small pieces of marble (for a merchant to show to clients?).";Some wooden discs probably belonging to the ship's pumps.;;
9;407;Le Grotticelle;486;Tyrrhenian Sea;Italy;Between Ventotene and S. Stefano, Pontine Islands;;;42;45;42-45m;Roman Republic;Mid C1st BC;-75;-25;;;;Aegean.;Rome;"M. Cecchini, Sesto Continente 2  (1980), p. 43 and 46; C. Mocchegiani, Archeologia Subacquea. Note di viaggio nell'italia Sommersa (1986), 178-9; P. Gianfrotta, Le Isole Pontine attraverso I Tempi,  (1986), 214-6; Parker (1992), 486.";Amphorae of Dr. 1 form marked a much-looted wreck.;SAND;FALSK;FALSK;FALSK;FALSK;;"About four hundred pieces belonging to couches, bronze fittings from the legs and carved bone decoration (including female figures and animal heads)  from the bed and back of the couch. 
Other items include bronze fittings from chests and boxes. 
Also a marble base (for a statue), a marble basin, a wooden marline-spike. 
Coarse ware and fineware.";;"A set of surgical equipment; if 4 probe-like instruments are surgical then they are amongst the oldest examples from antiquity. Some coins, two bronze rings and two small wooden sandals (a child's?).";;;
10;323;Koromasna  Cove;;Adriatic;Croatia;North side of Zirje island;43,65;15,65;35;40;40m;Roman Imperial;C 1st AD;1;100;;;;Aegean;Northern Italy;"J. Mesi?, Obavijesti HAD-a XXX1/2 (1999), 76; M. Juriši?, Ancient Shipwrecks of the Adriatic (2000), no. 30; M . Jurisic in D. Davison, V. Gaffney and E. Martin (eds.) BAR 2006, 175-192";Intact cargo of Greek amphorae, Cretan AC4 and Aegean ER1. More than 100 each of AC4 and ER1 amphorae now preserved under an iron cage.;SAND;FALSK;FALSK;FALSK;FALSK;;;;;;;
