X_WGS84;Y_WGS84;Faidherbia albida;Balanites aegyptiaca;Anogeissus leiocarpus
-16,36169;14,6336;1;0;0
-16,36178;14,63363;1;0;0
-16,36167;14,63375;1;0;0
-16,36139;14,63381;1;0;0
-16,36135;14,63413;1;0;0
-16,36125;14,63397;1;0;0
-16,36112;14,63396;1;0;0
-16,36122;14,63301;0;0;0
-16,36109;14,63304;0;0;0
-16,36073;14,63355;0;1;0
-16,361;14,63374;1;0;0
-16,36154;14,63347;1;0;0
-16,36138;14,63346;1;0;0
-16,36083;14,63342;1;0;0
-16,36083;14,63363;1;0;0
-16,36107;14,63345;1;0;0
-16,36114;14,63331;1;0;0
-16,36122;14,63349;1;0;0
-16,36156;14,63326;1;0;0
-16,36154;14,63305;1;0;0
-16,36115;14,63315;0;0;0
-16,36113;14,633;0;0;0
-16,36117;14,6329;0;0;0
-16,36151;14,6328;1;0;0
-16,36163;14,63273;1;0;0
-16,36165;14,63256;1;0;0
-16,36141;14,63232;1;0;0
-16,36091;14,63265;1;0;0
-16,36073;14,63298;1;0;0
-16,36077;14,63312;1;0;0
-16,36056;14,63317;0;1;0
-16,36122;14,63259;1;0;0
-16,3613;14,63242;1;0;0
-16,36113;14,63289;0;0;0
-16,48438;14,6309;0;1;0
-16,4848;14,63096;1;0;0
-16,48495;14,63097;1;0;0
-16,48489;14,63104;0;0;0
-16,48482;14,63106;1;0;0
-16,48515;14,63115;1;0;0
-16,48514;14,63124;1;0;0
-16,4852;14,63149;0;0;0
-16,48533;14,63167;1;0;0
-16,48552;14,63183;1;0;0
-16,48513;14,63179;1;0;0
-16,48487;14,63177;1;0;0
-16,48474;14,63151;1;0;0
-16,48457;14,6315;0;0;0
-16,48449;14,63157;0;0;0
-16,48445;14,63209;1;0;0
-16,48509;14,63212;1;0;0
-16,48426;14,63201;1;0;0
-16,48422;14,63196;0;0;0
-16,48395;14,63191;0;0;0
-16,48401;14,63184;0;0;0
-16,48427;14,63183;0;0;0
-16,48416;14,63169;0;0;1
-16,4835;14,63141;0;0;0
-16,48364;14,63153;0;1;0
-16,48379;14,63156;0;1;0
-16,4837;14,63139;1;0;0
-16,48413;14,63123;0;1;0
-16,48401;14,63093;0;0;0
-16,48518;14,63077;0;1;0
-16,48535;14,63093;0;1;0
-16,48542;14,63074;0;0;0
-16,48551;14,63097;1;0;0
-16,48513;14,63049;0;0;1
-16,48486;14,63045;1;0;0
-16,485;14,6303;0;0;0
-16,48496;14,63011;0;0;0
-16,48519;14,63007;0;1;0
-16,48533;14,63022;0;0;1
-16,48538;14,63028;1;0;0
-16,48526;14,63011;0;1;0
-16,48481;14,63013;1;0;0
-16,48484;14,63028;1;0;0
-16,51868;14,62757;0;1;0
-16,46591;14,63108;1;0;0
-16,46597;14,63095;0;1;0
-16,46606;14,63085;0;1;0
-16,4662;14,63085;1;0;0
-16,46627;14,63061;0;0;1
-16,46636;14,63058;0;0;0
-16,46644;14,63115;0;0;0
-16,46636;14,63127;1;0;0
-16,46638;14,6314;0;0;0
-16,46623;14,6313;0;0;0
-16,46612;14,63121;0;1;0
-16,46617;14,63118;0;0;1
-16,46559;14,63005;0;1;0
-16,46559;14,62997;0;0;0
-16,46593;14,63072;0;1;0
-16,46587;14,63086;0;0;0
-16,46576;14,63151;1;0;0
-16,46551;14,63162;0;1;0
-16,46553;14,63108;1;0;0
-16,46551;14,63095;1;0;0
-16,46558;14,63082;1;0;0
-16,4655;14,63042;0;0;0
-16,46557;14,63042;0;1;0
-16,46583;14,6304;0;0;0
-16,46593;14,63044;0;0;0
-16,46652;14,63097;0;0;0
-16,46661;14,6309;0;0;0
-16,46655;14,63086;0;0;0
-16,46666;14,63104;0;0;0
-16,46681;14,63118;1;0;0
-16,46692;14,63127;0;0;0
-16,46698;14,63126;1;0;0
-16,46701;14,63119;1;0;0
-16,46708;14,63144;0;0;0
-16,46723;14,63142;1;0;0
-16,46729;14,63148;1;0;0
-16,46731;14,63156;1;0;0
-16,46726;14,63172;1;0;0
-16,46719;14,63179;1;0;0
-16,46748;14,6317;1;0;0
-16,46742;14,63161;0;0;0
-16,4681;14,63184;0;0;0
-16,46827;14,632;0;1;0
-16,46837;14,63215;0;1;0
-16,46857;14,63205;0;1;0
-16,46854;14,63194;1;0;0
-16,46856;14,63182;0;1;0
-16,46833;14,63153;0;0;1
-16,46808;14,63148;0;0;0
-16,46825;14,63107;0;0;1
-16,46822;14,63098;0;0;1
-16,46805;14,63112;0;0;1
-16,46785;14,63139;0;0;0
-16,46724;14,63181;0;0;0
-16,46709;14,63139;0;0;0
-16,46737;14,6317;1;0;0
-16,46741;14,63176;1;0;0
-16,39272;14,63029;1;0;0
-16,39243;14,63025;1;0;0
-16,39254;14,62967;0;1;0
-16,39245;14,62955;1;0;0
-16,39237;14,62972;0;0;0
-16,39232;14,62936;0;1;0
-16,3921;14,62921;0;0;0
-16,39179;14,62942;0;0;0
-16,39188;14,62938;0;0;0
-16,39184;14,62945;0;1;0
-16,39181;14,62957;0;1;0
-16,39207;14,62968;0;0;0
-16,39187;14,63048;0;0;0
-16,3921;14,63035;0;1;0
-16,39224;14,6304;0;0;0
-16,39235;14,63019;0;1;0
-16,39228;14,63001;0;0;0
-16,39279;14,62972;1;0;0
-16,39284;14,6296;0;0;0
-16,39273;14,62943;0;1;0
-16,3931;14,62919;0;0;0
-16,39327;14,62938;0;0;0
-16,39384;14,62969;0;1;0
-16,39401;14,62973;0;1;0
-16,39396;14,62947;0;0;0
-16,3941;14,62925;1;0;0
-16,39405;14,62918;0;0;0
-16,39385;14,62904;0;0;0
-16,39385;14,6292;1;0;0
-16,44272;14,62896;1;0;0
-16,44289;14,62893;1;0;0
-16,44294;14,62906;1;0;0
-16,44294;14,62921;1;0;0
-16,44325;14,62922;1;0;0
-16,4433;14,62909;1;0;0
-16,44338;14,62905;0;0;0
-16,44327;14,62887;0;1;0
-16,44256;14,62878;0;0;0
-16,44234;14,62884;0;0;0
-16,44292;14,62879;0;1;0
-16,44331;14,6285;0;0;0
-16,44334;14,62866;1;0;0
-16,44374;14,62858;1;0;0
-16,44293;14,62835;1;0;0
-16,44295;14,62853;0;0;0
-16,44293;14,62866;0;0;0
-16,44267;14,62847;1;0;0
-16,44265;14,62823;1;0;0
-16,44263;14,628;0;0;0
-16,44237;14,62798;1;0;0
-16,4423;14,62797;1;0;0
-16,44223;14,62785;0;0;0
-16,44215;14,62769;1;0;0
-16,44245;14,62767;1;0;0
-16,44217;14,62759;1;0;0
-16,4421;14,62753;0;0;0
-16,44225;14,62738;1;0;0
-16,44218;14,62721;0;0;0
-16,44233;14,62709;0;0;0
-16,44238;14,62685;1;0;0
-16,44231;14,62643;1;0;0
-16,44268;14,62686;1;0;0
-16,44322;14,627;1;0;0
-16,44319;14,62723;1;0;0
-16,44319;14,62759;1;0;0
-16,44317;14,62807;0;0;0
-16,44335;14,62835;0;1;0
-16,44209;14,62796;1;0;0
-16,4422;14,62797;1;0;0
-16,36971;14,63261;1;0;0
-16,36987;14,63259;1;0;0
-16,36943;14,6326;0;1;0
-16,36926;14,63253;0;0;0
-16,36932;14,63241;0;0;0
-16,36963;14,63236;1;0;0
-16,36954;14,63293;0;0;0
-16,36953;14,63287;0;0;0
-16,36973;14,63283;0;1;0
-16,36985;14,63278;0;1;0
-16,36991;14,63279;0;0;0
-16,36983;14,63293;0;0;0
-16,36992;14,63289;0;0;0
-16,37014;14,63294;1;0;0
-16,37045;14,63297;0;0;0
-16,37058;14,63288;0;1;0
-16,37045;14,63333;1;0;0
-16,37084;14,63365;1;0;0
-16,37094;14,63355;1;0;0
-16,37119;14,63396;1;0;0
-16,3712;14,6335;1;0;0
-16,37118;14,63335;0;0;0
-16,37106;14,63319;0;0;0
-16,37098;14,633;1;0;0
-16,37106;14,6329;0;0;0
-16,37049;14,63255;0;1;0
-16,37055;14,63245;0;1;0
-16,37067;14,63215;0;1;0
-16,37069;14,63203;0;1;0
-16,37079;14,63189;1;0;0
-16,37057;14,63193;0;0;0
-16,3705;14,63213;0;1;0
-16,36979;14,63273;0;1;0
-16,36922;14,63256;0;0;0
-16,36985;14,63274;0;1;0
-16,5193;14,62809;0;0;0
-16,51923;14,62786;0;1;0
-16,519;14,62785;0;1;0
-16,51902;14,62795;0;1;0
-16,51903;14,6279;0;1;0
-16,51904;14,62772;0;1;0
-16,51909;14,62764;0;1;0
-16,51898;14,62772;0;1;0
-16,51901;14,6276;0;1;0
-16,51874;14,62764;0;1;0
-16,5187;14,62738;0;1;0
-16,51855;14,62738;0;1;0
-16,51844;14,62735;0;1;0
-16,51828;14,62729;1;0;0
-16,51838;14,62724;0;1;0
-16,51841;14,62722;0;1;0
-16,51867;14,62721;0;1;0
-16,51903;14,62702;0;0;0
-16,51917;14,62693;0;0;0
-16,51925;14,62694;0;0;0
-16,51924;14,6269;0;0;0
-16,52033;14,62825;0;1;0
-16,52021;14,62835;0;0;0
-16,52016;14,62802;0;0;0
-16,51999;14,62815;0;1;0
-16,51996;14,62807;0;1;0
-16,51989;14,62804;0;1;0
-16,52005;14,62801;0;1;0
-16,51992;14,62822;0;1;0
-16,51997;14,62826;0;1;0
-16,51991;14,62833;0;1;0
-16,5198;14,62827;0;1;0
-16,51978;14,62819;0;1;0
-16,51964;14,628;0;1;0
-16,51978;14,62848;0;1;0
-16,51981;14,62859;0;1;0
-16,51964;14,62865;0;1;0
-16,51968;14,62852;0;1;0
-16,51963;14,62848;0;1;0
-16,51968;14,62843;0;0;0
-16,51937;14,6283;0;1;0
-16,51946;14,62812;0;1;0
-16,5189;14,62787;0;0;0
-16,51875;14,6273;1;0;0
-16,5192;14,62711;1;0;0
-16,51959;14,62706;0;0;0
-16,51947;14,62764;0;0;0
-16,39203;14,62906;0;0;0
-16,52775;14,62775;0;1;0
-16,52789;14,62773;0;0;0
-16,52808;14,62759;0;0;0
-16,52764;14,62731;1;0;0
-16,52766;14,62793;0;1;0
-16,52751;14,62796;0;1;0
-16,5275;14,62788;0;1;0
-16,52717;14,62782;0;0;0
-16,52719;14,62771;0;0;0
-16,52724;14,6275;0;0;0
-16,52717;14,62795;0;1;0
-16,52712;14,6281;0;0;0
-16,52714;14,62818;0;0;0
-16,52707;14,6282;0;1;0
-16,52736;14,6284;0;0;0
-16,52726;14,62838;0;0;0
-16,52711;14,62834;0;0;0
-16,5267;14,62802;0;1;0
-16,52651;14,62723;1;0;0
-16,52672;14,62711;0;1;0
-16,52678;14,62714;0;1;0
-16,52684;14,62712;0;1;0
-16,5269;14,62731;0;1;0
-16,52715;14,62721;0;1;0
-16,5282;14,62872;0;1;0
-16,52805;14,62859;0;0;0
-16,52803;14,62861;0;0;0
-16,5284;14,62866;0;0;0
-16,52838;14,62855;0;0;0
-16,52838;14,62849;0;0;0
-16,52818;14,62856;0;1;0
-16,52837;14,62843;0;0;0
-16,52837;14,6284;0;1;0
-16,52836;14,62834;0;1;0
-16,52833;14,62829;0;0;0
-16,52833;14,62824;0;1;0
-16,52833;14,62819;0;1;0
-16,52833;14,62815;0;0;0
-16,52832;14,6281;0;0;0
-16,52831;14,62796;0;0;0
-16,52831;14,62798;0;0;0
-16,528;14,62829;0;1;0
-16,52803;14,62837;1;0;0
-16,52772;14,62852;0;1;0
-16,52782;14,62855;0;1;0
-16,5273;14,62869;1;0;0
-16,38145;14,63513;1;0;0
-16,38165;14,63514;0;0;1
-16,38159;14,63508;0;1;0
-16,38168;14,6349;0;1;0
-16,38157;14,63483;0;1;0
-16,38128;14,63448;0;1;0
-16,38133;14,63466;1;0;0
-16,38146;14,6347;1;0;0
-16,38093;14,63471;0;1;0
-16,38028;14,63523;0;1;0
-16,381;14,63483;0;1;0
-16,3808;14,63507;0;1;0
-16,38103;14,63505;1;0;0
-16,38056;14,63543;0;0;1
-16,38055;14,63537;0;0;0
-16,38;14,63475;0;0;0
-16,3799;14,63466;0;1;0
-16,37997;14,63463;0;1;0
-16,38008;14,63455;1;0;0
-16,38022;14,63448;0;0;0
-16,38028;14,63459;0;0;0
-16,38036;14,63457;1;0;0
-16,3803;14,63417;1;0;0
-16,3802;14,63398;0;1;0
-16,3802;14,6338;0;1;0
-16,3802;14,63366;1;0;0
-16,38066;14,63355;0;1;0
-16,38074;14,63395;0;1;0
-16,38075;14,63414;0;1;0
-16,38085;14,63406;0;0;0
-16,38107;14,63431;0;1;0
-16,46759;14,62236;1;0;0
-16,46769;14,62238;0;0;0
-16,46753;14,62253;1;0;0
-16,46787;14,62261;1;0;0
-16,46805;14,62257;1;0;0
-16,4679;14,62234;1;0;0
-16,46699;14,62254;0;0;0
-16,46652;14,62276;1;0;0
-16,4677;14,62158;1;0;0
-16,46757;14,62154;1;0;0
-16,46707;14,62218;1;0;0
-16,46706;14,62234;1;0;0
-16,46731;14,62203;1;0;0
-16,46737;14,62213;0;0;0
-16,46725;14,6224;1;0;0
-16,46757;14,62181;1;0;0
-16,46759;14,62208;1;0;0
-16,46787;14,62302;1;0;0
-16,46791;14,62319;1;0;0
-16,46803;14,62325;0;0;0
-16,46811;14,62341;0;0;0
-16,46826;14,62347;0;0;0
-16,46838;14,62345;0;0;0
-16,46847;14,6235;0;0;0
-16,46851;14,62337;0;1;0
-16,46893;14,62385;0;0;0
-16,46895;14,62358;0;0;0
-16,46912;14,62369;0;0;0
-16,46911;14,62359;0;0;0
-16,46906;14,62353;0;0;0
-16,47381;14,62179;1;0;0
-16,4741;14,62181;1;0;0
-16,47429;14,62188;1;0;0
-16,47392;14,62207;1;0;0
-16,47332;14,62241;1;0;0
-16,47334;14,62249;1;0;0
-16,47354;14,62245;1;0;0
-16,4735;14,62238;1;0;0
-16,47409;14,62236;1;0;0
-16,47381;14,62237;1;0;0
-16,47337;14,62224;1;0;0
-16,47371;14,62212;1;0;0
-16,46901;14,62346;0;0;0
-16,47362;14,62276;0;1;0
-16,47372;14,62317;0;0;1
-16,47345;14,62327;0;1;0
-16,47343;14,62304;1;0;0
-16,4733;14,62279;1;0;0
-16,47319;14,62264;1;0;0
-16,47303;14,62273;0;0;1
-16,473;14,62288;1;0;0
-16,47291;14,62271;1;0;0
-16,47282;14,62265;0;0;0
-16,47277;14,62285;1;0;0
-16,47266;14,62268;1;0;0
-16,47256;14,62297;0;0;0
-16,47298;14,62328;1;0;0
-16,47278;14,62276;1;0;0
-16,47265;14,62276;1;0;0
-16,47255;14,62274;1;0;0
-16,4727;14,62289;1;0;0
-16,47256;14,62304;0;0;0
-16,53632;14,6259;0;0;0
-16,53604;14,62595;1;0;0
-16,53593;14,6257;1;0;0
-16,5358;14,62531;1;0;0
-16,53597;14,62524;1;0;0
-16,53598;14,62555;1;0;0
-16,5355;14,62525;0;0;0
-16,5354;14,62504;1;0;0
-16,53539;14,62539;0;0;0
-16,53565;14,62504;0;0;0
