platform,custom_cdf_prefix,ae_accession
GPL81,mgu74av2mm,
GPL85,rgu34arn,
GPL201,hgfocushs,
GPL341,rae230arn,
GPL570,hgu133plus2hs,
GPL1261,mouse4302mm,
GPL6244,hugene10sths,
GPL6246,mogene10stmm,
GPL11180,htmg430pmmm,
GPL16570,mogene20stmm,
GPL17400,mogene21stmm,
GPL17811,hgu133plus2hs,
pd.mouse430.2,mouse4302mm,A-AFFY-45
pd.u133.x3p,u133x3phs,A-AFFY-54
pd.rat230.2,rat2302rn,A-AFFY-43
pd.hg.u133a,hgu133ahs,A-AFFY-33
pd.hg.u133.plus.2,hgu133plus2hs,A-AFFY-44
pd.mogene.1.0.st.v1,mogene10stmm,A-AFFY-130
pd.mogene.2.0.st,mogene20stmm,A-GEOD-16570
